,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
1,1,0,0,1,11,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.2,10.4,0.94,0.8
2,2,0,0,1,11,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
3,3,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.25,10.4,0.94,0.75
4,4,0,0,1,11,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,11,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.167,10.4,0.94,0.833
6,6,0,0,1,11,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.25,10.4,0.94,0.75
7,7,0,0,1,11,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
8,8,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.143,10.4,0.94,0.857
9,9,0,0,1,11,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
10,10,0,0,1,11,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.25,10.4,0.94,0.75
11,11,0,0,1,11,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
12,12,0,0,1,11,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
13,13,0,0,1,11,12.6,0.63,0.8,0.2,0.37,0.2,27.3,0.06,0.0,10.4,0.94,1.0
14,14,0,0,1,11,12.6,0.63,0.4,0.2,0.37,0.6,27.3,0.06,0.0,10.4,0.94,1.0
15,15,0,0,1,11,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
16,16,0,0,1,11,12.6,0.63,0.833,0.2,0.37,0.167,27.3,0.06,0.0,10.4,0.94,1.0
17,17,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.143,10.4,0.94,0.857
18,18,0,0,1,11,12.6,0.63,0.4,0.2,0.37,0.6,27.3,0.06,0.2,10.4,0.94,0.8
19,19,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.143,10.4,0.94,0.857
20,0,1,0,0,11,4.1,0.4,0.0,11.7,0.6,1.0,26.0,0.09,0.0,10.4,0.91,1.0
21,1,1,0,1,11,4.1,0.4,0.286,11.7,0.6,0.714,26.0,0.09,0.0,10.4,0.91,1.0
22,2,1,0,1,11,4.1,0.4,0.25,11.7,0.6,0.75,26.0,0.09,0.167,10.4,0.91,0.833
23,3,1,0,1,11,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.0,10.4,0.91,1.0
24,4,1,0,1,11,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.167,10.4,0.91,0.833
25,5,1,0,1,11,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.143,10.4,0.91,0.857
26,6,1,0,1,11,4.1,0.4,0.4,11.7,0.6,0.6,26.0,0.09,0.2,10.4,0.91,0.8
27,7,1,0,1,11,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.0,10.4,0.91,1.0
28,8,1,0,1,11,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
29,9,1,0,1,11,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.143,10.4,0.91,0.857
