,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,101,-0.3,0.96,0.941,-2.1,0.04,0.059,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,1,101,-0.3,0.96,0.88,-2.1,0.04,0.12,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,0,101,-0.3,0.96,0.98,-2.1,0.04,0.02,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,1,101,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,0,101,-0.3,0.96,0.961,-2.1,0.04,0.039,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,1,101,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,1,101,-0.3,0.96,0.957,-2.1,0.04,0.043,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,0,101,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,0,101,-0.3,0.96,0.926,-2.1,0.04,0.074,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,1,101,-0.3,0.96,0.976,-2.1,0.04,0.024,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,0,101,-0.3,0.96,0.898,-2.1,0.04,0.102,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,1,101,-0.3,0.96,0.955,-2.1,0.04,0.045,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,0,101,-0.3,0.96,0.918,-2.1,0.04,0.082,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,0,101,-0.3,0.96,0.936,-2.1,0.04,0.064,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,101,-0.3,0.96,0.938,-2.1,0.04,0.062,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,1,101,-0.3,0.96,0.93,-2.1,0.04,0.07,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,0,101,-0.3,0.96,0.947,-2.1,0.04,0.053,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,101,-0.3,0.96,0.98,-2.1,0.04,0.02,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,1,101,-0.3,0.96,0.96,-2.1,0.04,0.04,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,101,-0.3,0.96,0.961,-2.1,0.04,0.039,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,101,-0.9,0.95,0.816,-4.2,0.05,0.184,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,101,-0.9,0.95,0.981,-4.2,0.05,0.019,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,101,-0.9,0.95,0.966,-4.2,0.05,0.034,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,101,-0.9,0.95,0.952,-4.2,0.05,0.048,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,0,101,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,0,101,-0.9,0.95,0.978,-4.2,0.05,0.022,-1.0,1.0,1.0,0.0,0.0,0.0
26,6,1,0,1,101,-0.9,0.95,0.935,-4.2,0.05,0.065,-1.0,1.0,1.0,0.0,0.0,0.0
27,7,1,0,1,101,-0.9,0.95,0.946,-4.2,0.05,0.054,-1.0,1.0,1.0,0.0,0.0,0.0
28,8,1,0,1,101,-0.9,0.95,0.975,-4.2,0.05,0.025,-1.0,1.0,1.0,0.0,0.0,0.0
29,9,1,0,1,101,-0.9,0.95,0.964,-4.2,0.05,0.036,-1.0,1.0,1.0,0.0,0.0,0.0
30,10,1,0,1,101,-0.9,0.95,0.948,-4.2,0.05,0.052,-1.0,1.0,1.0,0.0,0.0,0.0
