,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,101,-0.3,0.96,0.964,-2.1,0.04,0.036,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,0,101,-0.3,0.96,0.977,-2.1,0.04,0.023,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,0,101,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,0,101,-0.3,0.96,0.898,-2.1,0.04,0.102,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,1,101,-0.3,0.96,0.958,-2.1,0.04,0.042,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,0,101,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,1,101,-0.3,0.96,0.982,-2.1,0.04,0.018,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,0,101,-0.3,0.96,0.983,-2.1,0.04,0.017,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,0,101,-0.3,0.96,0.96,-2.1,0.04,0.04,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,0,101,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,1,101,-0.3,0.96,0.933,-2.1,0.04,0.067,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,0,101,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,0,101,-0.3,0.96,0.976,-2.1,0.04,0.024,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,1,101,-0.3,0.96,0.963,-2.1,0.04,0.037,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,101,-0.3,0.96,0.938,-2.1,0.04,0.062,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,1,101,-0.3,0.96,0.898,-2.1,0.04,0.102,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,1,101,-0.3,0.96,0.929,-2.1,0.04,0.071,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,101,-0.3,0.96,0.942,-2.1,0.04,0.058,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,1,101,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,101,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,101,-0.9,0.95,0.918,-4.2,0.05,0.082,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,101,-0.9,0.95,0.939,-4.2,0.05,0.061,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,101,-0.9,0.95,0.957,-4.2,0.05,0.043,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,101,-0.9,0.95,0.941,-4.2,0.05,0.059,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,1,101,-0.9,0.95,0.884,-4.2,0.05,0.116,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,1,101,-0.9,0.95,0.935,-4.2,0.05,0.065,-1.0,1.0,1.0,0.0,0.0,0.0
26,6,1,0,1,101,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
27,7,1,0,1,101,-0.9,0.95,0.907,-4.2,0.05,0.093,-1.0,1.0,1.0,0.0,0.0,0.0
28,8,1,0,0,101,-0.9,0.95,0.94,-4.2,0.05,0.06,-1.0,1.0,1.0,0.0,0.0,0.0
29,9,1,0,1,101,-0.9,0.95,0.961,-4.2,0.05,0.039,-1.0,1.0,1.0,0.0,0.0,0.0
30,10,1,0,1,101,-0.9,0.95,0.93,-4.2,0.05,0.07,-1.0,1.0,1.0,0.0,0.0,0.0
31,11,1,0,0,101,-0.9,0.95,0.957,-4.2,0.05,0.043,-1.0,1.0,1.0,0.0,0.0,0.0
32,12,1,0,1,101,-0.9,0.95,0.94,-4.2,0.05,0.06,-1.0,1.0,1.0,0.0,0.0,0.0
33,13,1,0,1,101,-0.9,0.95,0.911,-4.2,0.05,0.089,-1.0,1.0,1.0,0.0,0.0,0.0
34,14,1,0,1,101,-0.9,0.95,0.949,-4.2,0.05,0.051,-1.0,1.0,1.0,0.0,0.0,0.0
35,15,1,0,1,101,-0.9,0.95,0.917,-4.2,0.05,0.083,-1.0,1.0,1.0,0.0,0.0,0.0
36,16,1,0,1,101,-0.9,0.95,0.923,-4.2,0.05,0.077,-1.0,1.0,1.0,0.0,0.0,0.0
37,17,1,0,0,101,-0.9,0.95,0.984,-4.2,0.05,0.016,-1.0,1.0,1.0,0.0,0.0,0.0
38,18,1,0,0,101,-0.9,0.95,0.979,-4.2,0.05,0.021,-1.0,1.0,1.0,0.0,0.0,0.0
39,19,1,0,1,101,-0.9,0.95,0.963,-4.2,0.05,0.037,-1.0,1.0,1.0,0.0,0.0,0.0
