"subject" "problem" "choice" "order"
"1" "1" 1 0 1
"2" "1" 2 1 2
"3" "1" 3 1 3
"4" "1" 4 0 4
"5" "2" 1 0 1
"8" "2" 2 1 4
"6" "2" 3 1 2
"7" "2" 4 1 3
"19" "3" 1 1 3
"18" "3" 2 1 2
"17" "3" 3 0 1
"20" "3" 4 1 4
"22" "4" 1 0 2
"21" "4" 2 1 1
"24" "4" 3 0 4
"23" "4" 4 1 3
"28" "5" 1 1 4
"27" "5" 2 1 3
"26" "5" 3 1 2
"25" "5" 4 0 1
"44" "6" 1 1 4
"43" "6" 2 0 3
"42" "6" 3 0 2
"41" "6" 4 1 1
"52" "7" 1 1 4
"51" "7" 2 0 3
"50" "7" 3 1 2
"49" "7" 4 1 1
"55" "8" 1 1 3
"53" "8" 2 0 1
"54" "8" 3 0 2
"56" "8" 4 1 4
"59" "9" 1 1 3
"60" "9" 2 1 4
"57" "9" 3 0 1
"58" "9" 4 0 2
"70" "10" 1 1 2
"69" "10" 2 1 1
"72" "10" 3 0 4
"71" "10" 4 0 3
"79" "11" 1 0 3
"77" "11" 2 1 1
"80" "11" 3 1 4
"78" "11" 4 1 2
"82" "12" 1 1 2
"81" "12" 2 0 1
"84" "12" 3 1 4
"83" "12" 4 0 3
"89" "13" 1 0 1
"92" "13" 2 1 4
"90" "13" 3 1 2
"91" "13" 4 1 3
"93" "14" 1 0 1
"95" "14" 2 1 3
"96" "14" 3 1 4
"94" "14" 4 0 2
"109" "15" 1 0 1
"111" "15" 2 1 3
"112" "15" 3 1 4
"110" "15" 4 1 2
"116" "16" 1 0 4
"115" "16" 2 1 3
"113" "16" 3 0 1
"114" "16" 4 1 2
"118" "17" 1 1 2
"120" "17" 2 0 4
"117" "17" 3 0 1
"119" "17" 4 1 3
"127" "18" 1 1 3
"125" "18" 2 1 1
"128" "18" 3 1 4
"126" "18" 4 0 2
"129" "19" 1 1 1
"130" "19" 2 0 2
"131" "19" 3 1 3
"132" "19" 4 0 4
"136" "20" 1 0 4
"134" "20" 2 1 2
"133" "20" 3 0 1
"135" "20" 4 1 3
"144" "21" 1 1 4
"141" "21" 2 0 1
"143" "21" 3 1 3
"142" "21" 4 0 2
"147" "22" 1 0 3
"146" "22" 2 1 2
"145" "22" 3 1 1
"148" "22" 4 1 4
"157" "23" 1 1 1
"158" "23" 2 1 2
"159" "23" 3 1 3
"160" "23" 4 1 4
"175" "24" 1 0 3
"176" "24" 2 1 4
"173" "24" 3 0 1
"174" "24" 4 0 2
"179" "25" 1 1 3
"178" "25" 2 1 2
"180" "25" 3 0 4
"177" "25" 4 1 1
"195" "26" 1 0 3
"193" "26" 2 1 1
"194" "26" 3 1 2
"196" "26" 4 1 4
