"subject" "problem" "trial" "option" "outcome"
"379" "1" 1 1 1 3
"380" "1" 1 2 0 4
"381" "1" 1 3 1 3
"382" "1" 1 4 0 4
"383" "1" 1 5 1 3
"384" "1" 1 6 0 4
"385" "1" 1 7 1 3
"386" "1" 1 8 0 0
"387" "1" 1 9 1 3
"388" "1" 1 10 0 4
"335" "1" 2 1 1 0
"336" "1" 2 2 0 -3
"337" "1" 2 3 1 0
"338" "1" 2 4 0 -3
"339" "1" 2 5 1 0
"340" "1" 2 6 0 -3
"341" "1" 2 7 1 0
"342" "1" 2 8 0 -3
"343" "1" 2 9 1 0
"344" "1" 2 10 0 -3
"345" "1" 2 11 1 0
"346" "1" 2 12 0 -3
"347" "1" 2 13 1 0
"411" "1" 3 1 1 -4
"412" "1" 3 2 0 -3
"413" "1" 3 3 1 -4
"414" "1" 3 4 1 -4
"415" "1" 3 5 0 -3
"416" "1" 3 6 1 -4
"417" "1" 3 7 0 -3
"418" "1" 3 8 1 0
"419" "1" 3 9 0 -3
"420" "1" 3 10 1 -4
"421" "1" 3 11 0 -3
"422" "1" 3 12 1 -4
"423" "1" 3 13 0 -3
"424" "1" 3 14 1 -4
"425" "1" 3 15 0 -3
"426" "1" 3 16 1 -4
"427" "1" 3 17 0 -3
"428" "1" 3 18 1 -4
"429" "1" 3 19 0 -3
"430" "1" 3 20 0 -3
"431" "1" 3 21 0 -3
"432" "1" 3 22 1 -4
"433" "1" 3 23 0 -3
"434" "1" 3 24 1 -4
"435" "1" 3 25 0 -3
"436" "1" 3 26 1 -4
"437" "1" 3 27 0 -3
"438" "1" 3 28 1 -4
"439" "1" 3 29 0 -3
"440" "1" 3 30 1 0
"441" "1" 4 1 1 3
"442" "1" 4 2 0 32
"939" "2" 1 1 1 3
"940" "2" 1 2 0 4
"941" "2" 1 3 0 4
"942" "2" 1 4 1 3
"943" "2" 1 5 0 4
"944" "2" 1 6 1 3
"945" "2" 1 7 0 4
"946" "2" 1 8 1 3
"947" "2" 1 9 0 4
"948" "2" 1 10 1 3
"949" "2" 1 11 1 3
"1007" "2" 2 1 1 0
"1008" "2" 2 2 0 -3
"986" "2" 3 1 0 -3
"987" "2" 3 2 1 0
"988" "2" 3 3 0 -3
"989" "2" 3 4 1 -4
"990" "2" 3 5 0 -3
"991" "2" 3 6 1 -4
"992" "2" 4 1 1 3
"993" "2" 4 2 0 0
"1341" "3" 1 1 1 3
"1342" "3" 1 2 1 3
"1343" "3" 1 3 0 4
"1344" "3" 1 4 1 3
"1345" "3" 1 5 0 0
"1346" "3" 1 6 1 3
"1347" "3" 1 7 0 4
"1348" "3" 1 8 0 4
"1349" "3" 1 9 1 3
"1350" "3" 1 10 0 4
