,subject,problem,choice,group,samplesize
0,1,0,1,happy,12
1,1,1,0,happy,10
2,1,2,1,happy,10
3,1,3,0,happy,10
4,1,4,0,happy,12
5,1,5,1,happy,19
6,1,6,0,happy,21
7,1,7,0,happy,15
8,1,8,0,happy,17
9,2,0,1,happy,14
10,2,1,0,happy,61
11,2,2,0,happy,14
12,2,3,1,happy,10
13,2,4,0,happy,21
14,2,5,1,happy,5
15,2,6,1,happy,4
16,2,7,0,happy,73
17,2,8,1,happy,43
18,3,0,0,happy,21
19,3,1,0,happy,25
20,3,2,0,happy,16
21,3,3,0,happy,11
22,3,4,1,happy,8
23,3,5,0,happy,14
24,3,6,1,happy,12
25,3,7,0,happy,3
26,3,8,0,happy,26
27,4,0,1,happy,35
28,4,1,0,happy,41
29,4,2,1,happy,72
30,4,3,0,happy,66
31,4,4,1,happy,65
32,4,5,0,happy,34
33,4,6,1,happy,33
34,4,7,1,happy,61
35,4,8,1,happy,69
36,5,0,0,happy,28
37,5,1,0,happy,36
38,5,2,0,happy,49
39,5,3,0,happy,40
40,5,4,0,happy,65
41,5,5,1,happy,24
42,5,6,0,happy,27
43,5,7,0,happy,17
44,5,8,1,happy,12
45,6,0,1,happy,19
46,6,1,0,happy,55
47,6,2,0,happy,87
48,6,3,0,happy,23
49,6,4,0,happy,69
50,6,5,0,happy,37
51,6,6,0,happy,25
52,6,7,0,happy,45
53,6,8,0,happy,38
54,7,0,0,happy,71
55,7,1,0,happy,65
56,7,2,1,happy,56
57,7,3,0,happy,109
58,7,4,0,happy,97
59,7,5,1,happy,48
60,7,6,0,happy,96
61,7,7,0,happy,110
62,7,8,1,happy,46
63,8,0,1,happy,40
64,8,1,0,happy,40
65,8,2,0,happy,40
66,8,3,0,happy,40
67,8,4,0,happy,40
68,8,5,1,happy,42
69,8,6,0,happy,40
70,8,7,0,happy,40
71,8,8,0,happy,40
72,9,0,0,happy,26
73,9,1,0,happy,39
74,9,2,0,happy,26
75,9,3,0,happy,30
76,9,4,1,happy,39
77,9,5,1,happy,18
78,9,6,0,happy,25
79,9,7,1,happy,31
80,9,8,0,happy,26
81,10,0,1,happy,41
82,10,1,0,happy,32
83,10,2,0,happy,52
84,10,3,0,happy,43
85,10,4,1,happy,79
86,10,5,1,happy,39
87,10,6,1,happy,45
88,10,7,0,happy,38
89,10,8,1,happy,48
90,11,0,1,happy,45
91,11,1,0,happy,42
92,11,2,0,happy,71
93,11,3,0,happy,90
94,11,4,0,happy,51
95,11,5,0,happy,7
96,11,6,1,happy,8
97,11,7,0,happy,21
98,11,8,0,happy,10
99,12,0,1,happy,16
100,12,1,0,happy,12
101,12,2,0,happy,14
102,12,3,0,happy,6
103,12,4,1,happy,16
104,12,5,0,happy,8
105,12,6,1,happy,11
106,12,7,1,happy,14
107,12,8,1,happy,11
108,13,0,1,happy,6
109,13,1,1,happy,14
110,13,2,1,happy,29
111,13,3,1,happy,12
112,13,4,0,happy,22
113,13,5,1,happy,12
114,13,6,1,happy,12
115,13,7,0,happy,29
116,13,8,0,happy,14
117,14,0,1,happy,13
118,14,1,0,happy,13
119,14,2,0,happy,20
120,14,3,1,happy,10
121,14,4,0,happy,15
122,14,5,0,happy,13
123,14,6,1,happy,15
124,14,7,0,happy,18
125,14,8,0,happy,12
126,15,0,0,happy,72
127,15,1,0,happy,32
128,15,2,0,happy,39
129,15,3,1,happy,42
130,15,4,0,happy,42
131,15,5,1,happy,34
132,15,6,0,happy,33
133,15,7,0,happy,30
134,15,8,0,happy,41
135,16,0,0,happy,12
136,16,1,1,happy,40
137,16,2,0,happy,10
138,16,3,1,happy,18
139,16,4,0,happy,11
140,16,5,0,happy,37
141,16,6,1,happy,24
142,16,7,1,happy,33
143,16,8,1,happy,14
144,17,0,0,happy,28
145,17,1,0,happy,16
146,17,2,0,happy,16
147,17,3,1,happy,20
148,17,4,1,happy,16
149,17,5,1,happy,14
150,17,6,0,happy,8
151,17,7,1,happy,24
152,17,8,1,happy,29
153,18,0,1,happy,268
154,18,1,0,happy,10
155,18,2,0,happy,18
156,18,3,0,happy,12
157,18,4,0,happy,8
158,18,5,0,happy,9
159,18,6,0,happy,7
160,18,7,0,happy,8
161,18,8,1,happy,14
162,19,0,0,happy,38
163,19,1,0,happy,51
164,19,2,1,happy,10
165,19,3,0,happy,39
166,19,4,0,happy,41
167,19,5,0,happy,39
168,19,6,0,happy,8
169,19,7,0,happy,67
170,19,8,0,happy,25
171,20,0,1,happy,8
172,20,1,0,happy,14
173,20,2,0,happy,17
174,20,3,0,happy,14
175,20,4,0,happy,9
176,20,5,0,happy,22
177,20,6,0,happy,10
178,20,7,1,happy,19
179,20,8,1,happy,9
180,21,0,0,happy,32
181,21,1,0,happy,40
182,21,2,0,happy,58
183,21,3,0,happy,28
184,21,4,0,happy,46
185,21,5,1,happy,26
186,21,6,0,happy,48
187,21,7,0,happy,39
188,21,8,0,happy,54
189,22,0,0,happy,29
190,22,1,1,happy,55
191,22,2,0,happy,30
192,22,3,0,happy,29
193,22,4,0,happy,64
194,22,5,1,happy,25
195,22,6,0,happy,28
196,22,7,0,happy,31
197,22,8,1,happy,36
198,23,0,1,happy,38
199,23,1,0,happy,30
200,23,2,0,happy,13
201,23,3,0,happy,43
202,23,4,0,happy,13
203,23,5,0,happy,5
204,23,6,1,happy,23
205,23,7,0,happy,42
206,23,8,1,happy,23
207,24,0,0,happy,4
208,24,1,1,happy,3
209,24,2,1,happy,3
210,24,3,1,happy,4
211,24,4,0,happy,4
212,24,5,1,happy,4
213,24,6,1,happy,4
214,24,7,0,happy,3
215,24,8,0,happy,8
216,25,0,0,happy,31
217,25,1,0,happy,63
218,25,2,0,happy,42
219,25,3,0,happy,8
220,25,4,0,happy,49
221,25,5,1,happy,93
222,25,6,0,happy,54
223,25,7,0,happy,71
224,25,8,1,happy,51
225,26,0,1,happy,26
226,26,1,0,happy,52
227,26,2,1,happy,34
228,26,3,0,happy,21
229,26,4,0,happy,41
230,26,5,0,happy,10
231,26,6,0,happy,7
232,26,7,0,happy,37
233,26,8,1,happy,8
234,27,0,0,happy,37
235,27,1,0,happy,183
236,27,2,1,happy,99
237,27,3,0,happy,149
238,27,4,1,happy,257
239,27,5,1,happy,37
240,27,6,0,happy,168
241,27,7,0,happy,64
242,27,8,1,happy,118
243,1,0,1,sad,7
244,1,1,0,sad,11
245,1,2,1,sad,13
246,1,3,0,sad,5
247,1,4,1,sad,17
248,1,5,0,sad,14
249,1,6,0,sad,3
250,1,7,0,sad,8
251,1,8,1,sad,18
252,2,0,0,sad,59
253,2,1,0,sad,85
254,2,2,0,sad,82
255,2,3,0,sad,87
256,2,4,0,sad,102
257,2,5,1,sad,96
258,2,6,0,sad,124
259,2,7,0,sad,196
260,2,8,1,sad,112
261,3,0,1,sad,85
262,3,1,0,sad,89
263,3,2,1,sad,72
