,subject,problem,group,choice,samplesize
0,1,S1G1,0,0,12
1,1,S2G1,0,1,10
2,1,S3G1,0,0,10
3,1,S4G1,0,0,10
4,1,S5G1,0,0,10
5,1,S6G1,0,1,10
6,1,S7G1,0,0,10
7,1,S8G1,0,0,12
8,1,S9G1,0,0,10
9,1,S10G1,0,0,10
10,1,S11G1,0,0,10
11,1,S12G1,0,0,12
12,1,S13G1,0,0,10
13,1,S14G1,0,0,10
14,1,S15G1,0,0,11
15,1,S16G1,0,0,10
16,1,S17G1,0,0,11
17,1,S18G1,0,0,10
18,1,S19G1,0,0,10
19,1,S20G1,0,0,10
20,1,S21G1,0,0,12
21,1,S1G2,0,0,12
22,1,S2G2,0,1,10
23,1,S3G2,0,1,10
24,1,S4G2,0,1,10
25,1,S5G2,0,1,10
26,1,S6G2,0,1,10
27,1,S7G2,0,0,11
28,1,S8G2,0,1,10
29,1,S9G2,0,1,11
30,1,S10G2,0,1,10
31,1,S11G2,0,1,10
32,1,S12G2,0,1,10
33,1,S13G2,0,1,10
34,1,S14G2,0,1,10
35,1,S15G2,0,1,11
36,1,S16G2,0,1,9
37,1,S17G2,0,1,10
38,1,S18G2,0,1,9
39,1,S19G2,0,1,10
40,1,S20G2,0,0,10
41,1,S21G2,0,1,10
42,1,S1G3,0,0,10
43,1,S2G3,0,0,10
44,1,S3G3,0,1,10
45,1,S4G3,0,1,9
46,1,S5G3,0,1,10
47,1,S6G3,0,1,9
48,1,S7G3,0,0,11
49,1,S8G3,0,1,9
50,1,S9G3,0,1,10
51,1,S10G3,0,0,10
52,1,S11G3,0,0,19
53,1,S12G3,0,0,10
54,1,S13G3,0,1,10
55,1,S14G3,0,0,10
56,1,S15G3,0,1,10
57,1,S16G3,0,1,11
58,1,S17G3,0,0,11
59,1,S18G3,0,0,10
60,1,S19G3,0,0,11
61,1,S20G3,0,0,10
62,1,S21G3,0,1,11
63,1,S1G4,0,0,11
64,1,S2G4,0,1,10
65,1,S3G4,0,0,10
66,1,S4G4,0,0,10
67,1,S5G4,0,0,9
68,1,S6G4,0,1,10
69,1,S7G4,0,1,10
70,1,S8G4,0,1,11
71,1,S9G4,0,0,10
72,1,S10G4,0,0,10
73,1,S11G4,0,0,8
74,1,S12G4,0,1,10
75,1,S13G4,0,0,10
76,1,S14G4,0,0,10
77,1,S15G4,0,0,11
78,1,S16G4,0,1,11
79,1,S17G4,0,0,10
80,1,S18G4,0,0,10
81,1,S19G4,0,1,11
82,1,S20G4,0,0,10
83,1,S21G4,0,0,10
84,2,S1G1,0,0,24
85,2,S2G1,0,0,29
86,2,S3G1,0,1,57
87,2,S4G1,0,0,1
88,2,S5G1,0,0,88
89,2,S6G1,0,1,16
90,2,S7G1,0,1,9
91,2,S8G1,0,1,49
92,2,S9G1,0,0,29
93,2,S10G1,0,0,24
94,2,S11G1,0,0,31
95,2,S12G1,0,0,10
96,2,S13G1,0,0,8
97,2,S14G1,0,0,35
98,2,S15G1,0,1,20
99,2,S16G1,0,1,15
100,2,S17G1,0,0,17
101,2,S18G1,0,1,11
102,2,S19G1,0,0,18
103,2,S20G1,0,0,23
104,2,S1G2,0,1,60
105,2,S2G2,0,1,23
106,2,S3G2,0,1,7
107,2,S4G2,0,1,21
108,2,S5G2,0,1,16
109,2,S6G2,0,0,6
110,2,S7G2,0,0,5
111,2,S8G2,0,1,32
112,2,S9G2,0,1,20
113,2,S10G2,0,1,23
114,2,S11G2,0,1,32
115,2,S12G2,0,1,19
116,2,S13G2,0,0,11
117,2,S14G2,0,1,19
118,2,S15G2,0,1,22
119,2,S16G2,0,1,15
120,2,S17G2,0,1,32
121,2,S18G2,0,1,14
122,2,S19G2,0,1,12
123,2,S20G2,0,1,17
124,2,S1G3,0,0,36
125,2,S2G3,0,0,12
126,2,S3G3,0,0,10
127,2,S4G3,0,1,3
128,2,S5G3,0,1,2
129,2,S6G3,0,1,4
130,2,S7G3,0,1,5
131,2,S8G3,0,0,15
132,2,S9G3,0,1,4
133,2,S10G3,0,1,7
134,2,S11G3,0,1,2
135,2,S12G3,0,1,3
136,2,S13G3,0,1,3
137,2,S14G3,0,1,17
138,2,S15G3,0,1,5
139,2,S16G3,0,1,3
140,2,S17G3,0,0,8
141,2,S18G3,0,0,7
142,2,S19G3,0,0,3
143,2,S20G3,0,1,9
144,2,S1G4,0,1,16
145,2,S2G4,0,0,2
146,2,S3G4,0,0,2
147,2,S4G4,0,1,3
148,2,S5G4,0,0,7
149,2,S6G4,0,1,6
150,2,S7G4,0,0,2
151,2,S8G4,0,1,12
152,2,S9G4,0,0,3
153,2,S10G4,0,1,9
154,2,S11G4,0,0,2
155,2,S12G4,0,0,2
156,2,S13G4,0,1,4
157,2,S14G4,0,1,2
158,2,S15G4,0,1,2
159,2,S16G4,0,0,3
160,2,S17G4,0,0,5
161,2,S18G4,0,0,4
162,2,S19G4,0,0,3
163,2,S20G4,0,1,8
164,3,S1G1,0,1,17
165,3,S2G1,0,1,27
166,3,S3G1,0,1,20
167,3,S4G1,0,0,5
168,3,S5G1,0,0,22
169,3,S6G1,0,1,15
170,3,S7G1,0,1,24
171,3,S8G1,0,1,13
172,3,S9G1,0,1,28
173,3,S10G1,0,0,31
174,3,S11G1,0,0,21
175,3,S12G1,0,1,17
176,3,S13G1,0,1,26
177,3,S14G1,0,1,27
178,3,S15G1,0,1,23
179,3,S16G1,0,1,27
180,3,S17G1,0,1,18
181,3,S18G1,0,0,16
182,3,S19G1,0,0,22
183,3,S20G1,0,1,24
184,3,S21G1,0,0,18
185,3,S1G2,0,1,17
186,3,S2G2,0,1,17
187,3,S3G2,0,1,11
188,3,S4G2,0,1,16
189,3,S5G2,0,1,27
190,3,S6G2,0,1,12
191,3,S7G2,0,1,14
192,3,S8G2,0,0,14
193,3,S9G2,0,1,26
194,3,S10G2,0,1,30
195,3,S11G2,0,0,27
196,3,S12G2,0,1,14
197,3,S13G2,0,1,18
198,3,S14G2,0,1,21
199,3,S15G2,0,0,21
200,3,S16G2,0,1,18
201,3,S17G2,0,1,31
202,3,S18G2,0,1,30
203,3,S19G2,0,1,21
204,3,S20G2,0,0,12
205,3,S21G2,0,0,19
206,3,S1G3,0,1,18
207,3,S2G3,0,1,47
208,3,S3G3,0,0,15
209,3,S4G3,0,1,13
210,3,S5G3,0,1,16
211,3,S6G3,0,1,18
212,3,S7G3,0,0,15
213,3,S8G3,0,1,12
214,3,S9G3,0,1,32
215,3,S10G3,0,1,32
216,3,S11G3,0,1,28
217,3,S12G3,0,1,18
218,3,S13G3,0,0,27
219,3,S14G3,0,0,13
220,3,S15G3,0,0,25
221,3,S16G3,0,1,44
222,3,S17G3,0,1,29
223,3,S18G3,0,1,20
224,3,S19G3,0,0,23
225,3,S20G3,0,1,25
226,3,S21G3,0,1,11
227,3,S1G4,0,0,20
228,3,S2G4,0,0,31
229,3,S3G4,0,1,14
230,3,S4G4,0,0,19
231,3,S5G4,0,0,14
232,3,S6G4,0,0,14
233,3,S7G4,0,1,12
234,3,S8G4,0,1,17
235,3,S9G4,0,1,26
236,3,S10G4,0,0,27
237,3,S11G4,0,1,1
238,3,S12G4,0,0,18
239,3,S13G4,0,1,23
240,3,S14G4,0,0,22
241,3,S15G4,0,0,31
242,3,S16G4,0,0,17
243,3,S17G4,0,0,19
244,3,S18G4,0,1,33
245,3,S19G4,0,0,14
246,3,S20G4,0,1,29
247,3,S21G4,0,0,17
248,4,S1G1,0,1,13
249,4,S2G1,0,1,13
250,4,S3G1,0,0,15
251,4,S4G1,0,1,12
252,4,S5G1,0,1,15
253,4,S6G1,0,0,14
254,4,S7G1,0,1,12
255,4,S8G1,0,0,13
256,4,S9G1,0,1,15
257,4,S10G1,0,0,14
258,4,S11G1,0,1,13
259,4,S12G1,0,1,15
260,4,S13G1,0,1,14
261,4,S14G1,0,1,18
262,4,S15G1,0,0,22
263,4,S16G1,0,1,9
264,4,S17G1,0,1,13
265,4,S18G1,0,1,13
266,4,S19G1,0,0,15
267,4,S20G1,0,1,10
268,4,S21G1,0,1,15
269,4,S1G2,0,0,12
270,4,S2G2,0,0,13
271,4,S3G2,0,0,16
272,4,S4G2,0,0,35
273,4,S5G2,0,0,13
274,4,S6G2,0,1,13
275,4,S7G2,0,1,20
276,4,S8G2,0,1,13
277,4,S9G2,0,0,18
278,4,S10G2,0,1,17
279,4,S11G2,0,1,14
280,4,S12G2,0,1,11
281,4,S13G2,0,0,15
282,4,S14G2,0,1,13
283,4,S15G2,0,0,16
284,4,S16G2,0,0,14
285,4,S17G2,0,0,12
286,4,S18G2,0,0,13
287,4,S19G2,0,0,21
