"","subj","description","dec","g1p1","g1o1","g1o2","g2p1","g2o1","g2o2","r_aprob1","r_aout1","r_aprob2","r_aout2","r_bprob1","r_bout1","r_bprob2","r_bout2","exp","exclude","decision_overweighting","overweight","samples","outcome_explic","trial","age","female","targets","g1p2","g2p2","reduced","reduced_zero","reduced_out"
"1",1002,1,1,0.94,10.4,27.3,0.63,12.6,0.2,0.939999997615814,10.4,0.0599999986588955,27.3,0.629999995231628,12.6,0.370000004768372,0.2,1,0,1,1,NA,NA,1,20,0,1,0.06,0.37,0,0,0
"2",1002,1,2,0.6,11.7,4.1,0.09,26,10.4,0.600000023841858,11.7,0.400000005960464,4.1,0.0900000035762787,26,0.910000026226044,10.4,1,0,2,1,NA,NA,2,20,0,1,0.4,0.91,0,0,0
"3",1002,1,2,0.91,7,18,0.61,3.4,23.8,0.910000026226044,7,0.0900000035762787,18,0.610000014305115,3.4,0.389999985694885,23.8,1,0,1,0,NA,NA,3,20,0,1,0.09,0.39,0,0,0
"4",1002,1,2,0.6,3.9,23,0.93,7.3,23.8,0.600000023841858,3.9,0.400000005960464,23,0.930000007152557,7.3,0.0700000002980232,23.8,1,0,2,1,NA,NA,4,20,0,1,0.4,0.07,0,0,0
"5",1002,1,2,0.94,7.3,27,0.6,3.9,23.5,0.939999997615814,7.3,0.0599999986588955,27,0.600000023841858,3.9,0.400000005960464,23.5,1,0,1,0,NA,NA,5,20,0,1,0.06,0.4,0,0,0
"6",1002,1,2,0.4,19.7,0.1,0.05,25.7,10.6,0.400000005960464,19.7,0.600000023841858,0.1,0.0500000007450581,25.7,0.949999988079071,10.6,1,0,2,1,NA,NA,6,20,0,1,0.6,0.95,0,0,0
"7",1002,1,1,0.92,10.6,23.5,0.59,1.1,17.9,0.920000016689301,10.6,0.0799999982118607,23.5,0.589999973773956,1.1,0.409999996423721,17.9,1,0,1,1,NA,NA,7,20,0,1,0.08,0.41,0,0,0
"8",1002,1,2,0.55,5.9,20.2,0.06,22.8,7.6,0.550000011920929,5.9,0.449999988079071,20.2,0.0599999986588955,22.8,0.939999997615814,7.6,1,0,2,1,NA,NA,8,20,0,1,0.45,0.94,0,0,0
"9",1002,1,2,0.6,13,1.5,0.07,26.8,10.3,0.600000023841858,13,0.400000005960464,1.5,0.0700000002980232,26.8,0.930000007152557,10.3,1,0,2,1,NA,NA,9,20,0,1,0.4,0.93,0,0,0
"10",1002,1,1,0.06,23.7,7.1,0.41,24,3.6,0.0599999986588955,23.7,0.939999997615814,7.1,0.409999996423721,24,0.589999973773956,3.6,1,0,1,1,NA,NA,10,20,0,1,0.94,0.59,0,0,0
"11",1002,1,2,0.9,8.7,1.6,0.35,1.2,16.7,0.899999976158142,8.7,0.100000001490116,1.6,0.349999994039536,1.2,0.649999976158142,16.7,1,0,2,1,NA,NA,11,20,0,1,0.1,0.65,0,0,0
"12",1002,1,1,0.39,8.6,13.1,0.08,0.4,8.4,0.389999985694885,8.6,0.610000014305115,13.1,0.0799999982118607,0.4,0.920000016689301,8.4,1,0,1,1,NA,NA,12,20,0,1,0.61,0.92,0,0,0
"13",1002,1,2,0.05,0.1,9.3,0.4,24.4,3.5,0.0500000007450581,0.1,0.949999988079071,9.3,0.400000005960464,24.4,0.600000023841858,3.5,1,0,2,1,NA,NA,13,20,0,1,0.95,0.6,0,0,0
"14",1002,1,1,0.43,10,7.2,0.09,6.1,12.7,0.430000007152557,10,0.569999992847443,7.2,0.0900000035762787,6.1,0.910000026226044,12.7,1,0,1,1,NA,NA,14,20,0,1,0.57,0.91,0,0,0
"15",1002,1,2,0.08,1.7,8.8,0.47,9.8,13.7,0.0799999982118607,1.7,0.920000016689301,8.8,0.469999998807907,9.8,0.529999971389771,13.7,1,0,2,1,NA,NA,15,20,0,1,0.92,0.53,0,0,0
"16",1002,1,1,0.54,9,7.3,0.93,12.3,0.7,0.540000021457672,9,0.46000000834465,7.3,0.930000007152557,12.3,0.0700000002980232,0.7,1,0,1,1,NA,NA,16,20,0,1,0.46,0.07,0,0,0
"17",1002,1,1,0.05,6.1,12.5,0.56,2.3,16,0.0500000007450581,6.1,0.949999988079071,12.5,0.560000002384186,2.3,0.439999997615814,16,1,0,2,0,NA,NA,17,20,0,1,0.95,0.44,0,0,0
"18",1002,1,1,0.61,12.7,0.1,0.09,1.5,12.5,0.610000014305115,12.7,0.389999985694885,0.1,0.0900000035762787,1.5,0.910000026226044,12.5,1,0,1,1,NA,NA,18,20,0,1,0.39,0.91,0,0,0
"19",1002,1,1,0.94,12.2,3.7,0.39,2.3,12.2,0.939999997615814,12.2,0.0599999986588955,3.7,0.389999985694885,2.3,0.610000014305115,12.2,1,0,2,0,NA,NA,19,20,0,1,0.06,0.61,0,0,0
"20",1002,1,2,0.06,1.7,8.4,0.52,13,10.3,0.0599999986588955,1.7,0.939999997615814,8.4,0.519999980926514,13,0.479999989271164,10.3,1,0,2,1,NA,NA,20,20,0,1,0.94,0.48,0,0,0
"21",1002,1,2,0.4,18.2,1.7,0.39,6.1,15,0.400000005960464,18.2,0.600000023841858,1.7,0.389999985694885,6.1,0.610000014305115,15,1,1,0,NA,NA,NA,21,20,0,0,0.6,0.61,0,0,0
"22",1002,1,2,0.36,2.4,18,0.53,15.6,0.6,0.360000014305115,2.4,0.639999985694885,18,0.529999971389771,15.6,0.469999998807907,0.6,1,1,0,NA,NA,NA,22,20,0,0,0.64,0.47,0,0,0
"23",1002,1,2,0.62,4.7,12.3,0.6,1,27.2,0.620000004768372,4.7,0.379999995231628,12.3,0.600000023841858,1,0.400000005960464,27.2,1,1,0,NA,NA,NA,23,20,0,0,0.38,0.4,0,0,0
"24",1002,1,2,0.5,4.1,13.4,0.5,12.9,11.4,0.5,4.1,0.5,13.4,0.5,12.9,0.5,11.4,1,1,0,NA,NA,NA,24,20,0,0,0.5,0.5,0,0,0
"25",1002,1,1,0.45,11.1,11.5,0.46,3.7,11.9,0.449999988079071,11.1,0.550000011920929,11.5,0.46000000834465,3.7,0.540000021457672,11.9,1,1,0,NA,NA,NA,25,20,0,0,0.55,0.54,0,0,0
