,cond_color,probvar,cost,choseH,subject,mn_ss
0,diff,high,high,0,91,1.0
1,diff,high,high,0,94,5.5
2,diff,high,high,0,98,4.0
3,diff,high,high,0,99,2.66666666667
4,diff,high,high,0,101,3.0
5,diff,high,high,0,103,4.0
6,diff,high,high,0,105,1.5
7,diff,high,high,0,109,3.0
8,diff,high,high,0,111,1.66666666667
9,diff,high,high,0,114,2.0
10,diff,high,high,0,115,1.6
11,diff,high,high,0,117,2.0
12,diff,high,high,0,120,2.0
13,diff,high,high,0,128,2.0
14,diff,high,high,0,134,1.5
15,diff,high,high,0,135,2.0
16,diff,high,high,0,138,3.5
17,diff,high,high,0,139,11.3333333333
18,diff,high,high,0,142,1.0
19,diff,high,high,0,143,3.66666666667
20,diff,high,high,0,146,4.33333333333
21,diff,high,high,0,150,5.0
22,diff,high,high,0,152,4.0
23,diff,high,high,0,154,2.0
24,diff,high,high,0,155,3.5
25,diff,high,high,0,161,1.0
26,diff,high,high,0,162,2.66666666667
27,diff,high,high,0,173,2.0
28,diff,high,high,0,174,1.0
29,diff,high,high,0,177,6.0
30,diff,high,high,0,178,3.75
31,diff,high,high,0,183,2.0
32,diff,high,high,0,184,1.0
33,diff,high,high,0,186,1.5
34,diff,high,high,0,188,3.75
35,diff,high,high,0,190,1.0
36,diff,high,high,0,195,9.33333333333
37,diff,high,high,0,199,1.0
38,diff,high,high,0,200,2.0
39,diff,high,high,0,201,2.0
40,diff,high,high,0,204,1.0
41,diff,high,high,0,206,3.0
42,diff,high,high,0,207,1.66666666667
43,diff,high,high,0,210,2.5
44,diff,high,high,0,213,2.5
45,diff,high,high,0,215,2.25
46,diff,high,high,0,216,6.5
47,diff,high,high,1,91,1.66666666667
48,diff,high,high,1,94,5.25
49,diff,high,high,1,98,3.33333333333
50,diff,high,high,1,99,2.0
51,diff,high,high,1,101,4.0
52,diff,high,high,1,103,5.0
53,diff,high,high,1,105,2.0
54,diff,high,high,1,109,3.75
55,diff,high,high,1,111,1.33333333333
56,diff,high,high,1,114,2.33333333333
57,diff,high,high,1,115,2.0
58,diff,high,high,1,117,3.75
59,diff,high,high,1,120,2.5
60,diff,high,high,1,128,2.0
61,diff,high,high,1,129,2.0
