,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,11,12.6,0.63,0.833,0.2,0.37,0.167,27.3,0.06,0.0,10.4,0.94,1.0
1,1,0,0,1,14,12.6,0.63,0.875,0.2,0.37,0.125,27.3,0.06,0.0,10.4,0.94,1.0
2,2,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
3,3,0,0,1,3,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.5,10.4,0.94,0.5
4,4,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,8,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
6,6,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
7,7,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
8,8,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
9,9,0,0,1,2,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,1.0,10.4,0.94,0.0
10,10,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
11,11,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
12,12,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
13,13,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
14,14,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
15,15,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
16,16,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
17,17,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.5,10.4,0.94,0.5
18,18,0,0,1,12,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
19,19,0,0,1,10,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
20,20,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
21,21,0,0,1,5,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.333,10.4,0.94,0.667
22,22,0,0,1,3,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.5,10.4,0.94,0.5
23,23,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
24,24,0,0,1,2,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,1.0,10.4,0.94,0.0
25,25,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
26,26,0,0,1,9,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
27,27,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
28,28,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
29,29,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
30,30,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
31,31,0,0,1,13,12.6,0.63,0.8,0.2,0.37,0.2,27.3,0.06,0.0,10.4,0.94,1.0
32,32,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
33,33,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
34,34,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
35,35,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
36,36,0,0,1,8,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
37,37,0,0,1,7,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
38,38,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
39,39,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
40,40,0,0,1,19,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
41,41,0,0,1,2,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,1.0,10.4,0.94,0.0
42,42,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
43,43,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
44,44,0,0,1,5,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
45,45,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
46,46,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
47,47,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
48,48,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
49,49,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
50,50,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
51,51,0,0,1,7,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
52,52,0,0,1,6,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
53,53,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
54,54,0,0,1,12,12.6,0.63,0.857,0.2,0.37,0.143,27.3,0.06,0.0,10.4,0.94,1.0
55,55,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
56,56,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
57,57,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
58,58,0,0,1,10,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
59,59,0,0,1,8,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.2,10.4,0.94,0.8
60,60,0,0,1,8,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
61,61,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
62,62,0,0,1,7,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
63,63,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
64,64,0,0,1,5,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
65,65,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
66,66,0,0,1,14,12.6,0.63,0.818,0.2,0.37,0.182,27.3,0.06,0.0,10.4,0.94,1.0
67,67,0,0,1,17,12.6,0.63,0.9,0.2,0.37,0.1,27.3,0.06,0.0,10.4,0.94,1.0
68,68,0,0,1,11,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
69,69,0,0,1,9,12.6,0.63,0.8,0.2,0.37,0.2,27.3,0.06,0.25,10.4,0.94,0.75
70,70,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
71,71,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
72,72,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
73,73,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
74,74,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
75,75,0,0,1,9,12.6,0.63,0.833,0.2,0.37,0.167,27.3,0.06,0.333,10.4,0.94,0.667
76,76,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
77,77,0,0,1,8,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
78,78,0,0,1,10,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
79,79,0,0,1,7,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
80,80,0,0,1,2,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,1.0,10.4,0.94,0.0
81,81,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
82,82,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
83,83,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
84,84,0,0,1,12,12.6,0.63,0.857,0.2,0.37,0.143,27.3,0.06,0.0,10.4,0.94,1.0
85,85,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
86,86,0,0,1,10,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.2,10.4,0.94,0.8
87,87,0,0,1,10,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
88,88,0,0,1,7,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
89,89,0,0,1,5,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
90,90,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
91,91,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
92,92,0,0,1,4,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.333,10.4,0.94,0.667
93,93,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
94,94,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
95,95,0,0,1,6,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
96,96,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
97,97,0,0,1,9,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.2,10.4,0.94,0.8
98,98,0,0,1,2,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,1.0,10.4,0.94,0.0
99,99,0,0,1,5,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
100,0,1,0,1,4,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
101,1,1,0,1,5,4.1,0.4,0.0,11.7,0.6,1.0,26.0,0.09,0.5,10.4,0.91,0.5
102,2,1,0,1,2,4.1,0.4,0.0,11.7,0.6,1.0,26.0,0.09,1.0,10.4,0.91,0.0
103,3,1,0,1,7,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.0,10.4,0.91,1.0
104,4,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
105,5,1,0,1,4,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
106,6,1,0,1,11,4.1,0.4,0.0,11.7,0.6,1.0,26.0,0.09,0.125,10.4,0.91,0.875
107,7,1,0,1,7,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
108,8,1,0,1,4,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
109,9,1,0,1,10,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.0,10.4,0.91,1.0
110,10,1,0,1,5,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
111,11,1,0,1,8,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.333,10.4,0.91,0.667
112,12,1,0,1,8,4.1,0.4,0.286,11.7,0.6,0.714,26.0,0.09,0.0,10.4,0.91,1.0
113,13,1,0,1,5,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.0,10.4,0.91,1.0
114,14,1,0,1,9,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.25,10.4,0.91,0.75
115,15,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
116,16,1,0,1,10,4.1,0.4,0.167,11.7,0.6,0.833,26.0,0.09,0.0,10.4,0.91,1.0
117,17,1,0,1,9,4.1,0.4,0.25,11.7,0.6,0.75,26.0,0.09,0.0,10.4,0.91,1.0
118,18,1,0,1,7,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.25,10.4,0.91,0.75
119,19,1,0,1,4,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
120,20,1,0,1,7,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.25,10.4,0.91,0.75
121,21,1,0,1,6,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.0,10.4,0.91,1.0
122,22,1,0,1,8,4.1,0.4,0.0,11.7,0.6,1.0,26.0,0.09,0.2,10.4,0.91,0.8
123,23,1,0,1,8,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.0,10.4,0.91,1.0
124,24,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
125,25,1,0,1,9,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.0,10.4,0.91,1.0
126,26,1,0,1,8,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.0,10.4,0.91,1.0
127,27,1,0,1,8,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.0,10.4,0.91,1.0
128,28,1,0,1,5,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.25,10.4,0.91,0.75
129,29,1,0,1,12,4.1,0.4,0.143,11.7,0.6,0.857,26.0,0.09,0.0,10.4,0.91,1.0
130,30,1,0,1,4,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.5,10.4,0.91,0.5
131,31,1,0,1,2,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,1.0,10.4,0.91,0.0
132,32,1,0,1,7,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
133,33,1,0,1,8,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.0,10.4,0.91,1.0
134,34,1,0,1,8,4.1,0.4,0.4,11.7,0.6,0.6,26.0,0.09,0.0,10.4,0.91,1.0
135,35,1,0,1,7,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.0,10.4,0.91,1.0
