,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,14,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
1,1,0,0,1,11,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
2,2,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
3,3,0,0,1,6,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
4,4,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,24,12.6,0.63,0.727,0.2,0.37,0.273,27.3,0.06,0.077,10.4,0.94,0.923
6,6,0,0,1,9,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
7,7,0,0,1,10,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
8,8,0,0,1,19,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.091,10.4,0.94,0.909
9,9,0,0,0,13,12.6,0.63,0.9,0.2,0.37,0.1,27.3,0.06,0.0,10.4,0.94,1.0
10,10,0,0,1,12,12.6,0.63,0.625,0.2,0.37,0.375,27.3,0.06,0.0,10.4,0.94,1.0
11,11,0,0,1,15,12.6,0.63,0.7,0.2,0.37,0.3,27.3,0.06,0.0,10.4,0.94,1.0
12,12,0,0,1,21,12.6,0.63,0.727,0.2,0.37,0.273,27.3,0.06,0.1,10.4,0.94,0.9
13,13,0,0,1,41,12.6,0.63,0.773,0.2,0.37,0.227,27.3,0.06,0.105,10.4,0.94,0.895
14,14,0,0,1,14,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
15,15,0,0,1,9,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
16,16,0,0,1,13,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.0,10.4,0.94,1.0
17,17,0,0,1,16,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
18,18,0,0,1,13,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.125,10.4,0.94,0.875
19,19,0,0,1,12,12.6,0.63,0.625,0.2,0.37,0.375,27.3,0.06,0.0,10.4,0.94,1.0
20,0,1,0,1,21,4.1,0.4,0.222,11.7,0.6,0.778,26.0,0.09,0.083,10.4,0.91,0.917
21,1,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
22,2,1,0,1,14,4.1,0.4,0.333,11.7,0.6,0.667,26.0,0.09,0.0,10.4,0.91,1.0
23,3,1,0,1,6,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
24,4,1,0,1,6,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
25,5,1,0,1,9,4.1,0.4,0.4,11.7,0.6,0.6,26.0,0.09,0.0,10.4,0.91,1.0
26,6,1,0,1,5,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.0,10.4,0.91,1.0
27,7,1,0,1,23,4.1,0.4,0.231,11.7,0.6,0.769,26.0,0.09,0.0,10.4,0.91,1.0
28,8,1,0,1,9,4.1,0.4,0.4,11.7,0.6,0.6,26.0,0.09,0.0,10.4,0.91,1.0
29,9,1,0,1,20,4.1,0.4,0.2,11.7,0.6,0.8,26.0,0.09,0.0,10.4,0.91,1.0
30,10,1,0,1,6,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.333,10.4,0.91,0.667
31,11,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
32,12,1,0,1,13,4.1,0.4,0.375,11.7,0.6,0.625,26.0,0.09,0.0,10.4,0.91,1.0
33,13,1,0,1,3,4.1,0.4,1.0,11.7,0.6,0.0,26.0,0.09,0.0,10.4,0.91,1.0
34,14,1,0,1,6,4.1,0.4,0.667,11.7,0.6,0.333,26.0,0.09,0.667,10.4,0.91,0.333
35,15,1,0,1,8,4.1,0.4,0.6,11.7,0.6,0.4,26.0,0.09,0.333,10.4,0.91,0.667
36,16,1,0,1,24,4.1,0.4,0.25,11.7,0.6,0.75,26.0,0.09,0.0,10.4,0.91,1.0
37,17,1,0,1,21,4.1,0.4,0.143,11.7,0.6,0.857,26.0,0.09,0.143,10.4,0.91,0.857
38,18,1,0,1,21,4.1,0.4,0.273,11.7,0.6,0.727,26.0,0.09,0.1,10.4,0.91,0.9
39,19,1,0,1,30,4.1,0.4,0.188,11.7,0.6,0.812,26.0,0.09,0.0,10.4,0.91,1.0
40,0,2,0,1,5,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.667,23.8,0.39,0.333
41,1,2,0,1,6,18.0,0.09,0.333,7.0,0.91,0.667,3.4,0.61,0.667,23.8,0.39,0.333
42,2,2,0,1,7,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.667,23.8,0.39,0.333
43,3,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
44,4,2,0,1,2,18.0,0.09,1.0,7.0,0.91,0.0,3.4,0.61,0.0,23.8,0.39,1.0
45,5,2,0,1,6,18.0,0.09,0.25,7.0,0.91,0.75,3.4,0.61,0.5,23.8,0.39,0.5
46,6,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
47,7,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
48,8,2,0,1,10,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,1.0,23.8,0.39,0.0
49,9,2,0,1,4,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.5,23.8,0.39,0.5
50,10,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
51,11,2,0,1,5,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.5,23.8,0.39,0.5
52,12,2,0,1,2,18.0,0.09,1.0,7.0,0.91,0.0,3.4,0.61,0.0,23.8,0.39,1.0
53,13,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
54,14,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
55,15,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
56,16,2,0,1,4,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.5,23.8,0.39,0.5
57,17,2,0,1,8,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.667,23.8,0.39,0.333
58,18,2,0,1,2,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.0,23.8,0.39,1.0
59,19,2,0,1,7,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.75,23.8,0.39,0.25
60,0,3,0,1,3,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.5,23.0,0.4,0.5
61,1,3,0,1,2,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.0,23.0,0.4,1.0
62,2,3,0,1,6,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,1.0,23.0,0.4,0.0
63,3,3,0,1,15,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.875,23.0,0.4,0.125
64,4,3,0,1,6,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.667,23.0,0.4,0.333
65,5,3,0,1,2,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.0,23.0,0.4,1.0
66,6,3,0,1,3,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.5,23.0,0.4,0.5
67,7,3,0,1,2,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.0,23.0,0.4,1.0
68,8,3,0,1,14,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,1.0,23.0,0.4,0.0
69,9,3,0,1,3,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.5,23.0,0.4,0.5
