,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,493,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.805,0.0,0.2,0.195
1,1,0,0,1,101,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.893,0.0,0.2,0.107
2,2,0,0,0,79,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.711,0.0,0.2,0.289
3,3,0,0,1,75,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.925,0.0,0.2,0.075
4,4,0,0,0,595,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.807,0.0,0.2,0.193
5,5,0,0,0,82,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.697,0.0,0.2,0.303
6,6,0,0,0,150,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.761,0.0,0.2,0.239
7,7,0,0,0,22,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.4,0.0,0.2,0.6
8,8,0,0,1,468,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.84,0.0,0.2,0.16
9,9,0,0,0,33,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.6,0.0,0.2,0.4
10,10,0,0,0,333,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.796,0.0,0.2,0.204
11,11,0,0,1,137,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.877,0.0,0.2,0.123
12,12,0,0,1,467,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.837,0.0,0.2,0.163
13,13,0,0,1,613,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.835,0.0,0.2,0.165
14,14,0,0,0,309,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.793,0.0,0.2,0.207
15,15,0,0,0,209,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.783,0.0,0.2,0.217
16,16,0,0,1,251,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.849,0.0,0.2,0.151
17,17,0,0,1,83,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.925,0.0,0.2,0.075
18,18,0,0,0,407,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.801,0.0,0.2,0.199
19,19,0,0,0,314,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.795,0.0,0.2,0.205
20,20,0,0,0,358,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.799,0.0,0.2,0.201
21,21,0,0,0,47,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.64,0.0,0.2,0.36
22,22,0,0,1,76,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.925,0.0,0.2,0.075
23,23,0,0,0,257,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.789,0.0,0.2,0.211
24,24,0,0,1,180,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.877,0.0,0.2,0.123
25,25,0,0,0,208,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.78,0.0,0.2,0.22
26,26,0,0,0,307,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.795,0.0,0.2,0.205
27,27,0,0,0,293,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.792,0.0,0.2,0.208
28,28,0,0,0,392,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
29,29,0,0,0,266,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.788,0.0,0.2,0.212
30,30,0,0,0,238,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.785,0.0,0.2,0.215
31,31,0,0,0,86,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.707,0.0,0.2,0.293
32,32,0,0,0,51,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.64,0.0,0.2,0.36
33,33,0,0,0,121,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.761,0.0,0.2,0.239
34,34,0,0,0,308,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.794,0.0,0.2,0.206
35,35,0,0,0,111,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.736,0.0,0.2,0.264
36,36,0,0,0,55,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.654,0.0,0.2,0.346
37,37,0,0,1,114,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.887,0.0,0.2,0.113
38,38,0,0,1,230,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.858,0.0,0.2,0.142
