,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,56,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
1,1,0,0,0,47,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.812,0.0,0.2,0.188
2,2,0,0,0,55,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.826,0.0,0.2,0.174
3,3,0,0,0,42,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.762,0.0,0.2,0.238
4,4,0,0,0,33,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
5,5,0,0,0,77,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.903,0.0,0.2,0.097
6,6,0,0,0,31,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.706,0.0,0.2,0.294
7,7,0,0,0,31,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.706,0.0,0.2,0.294
8,8,0,0,0,58,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
9,9,0,0,0,69,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.865,0.0,0.2,0.135
10,10,0,0,0,38,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.737,0.0,0.2,0.263
11,11,0,0,0,79,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.889,0.0,0.2,0.111
12,12,0,0,0,37,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.727,0.0,0.2,0.273
13,13,0,0,0,93,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.889,0.0,0.2,0.111
14,14,0,0,0,61,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.844,0.0,0.2,0.156
15,15,0,0,0,31,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.684,0.0,0.2,0.316
16,16,0,0,0,62,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
17,17,0,0,0,69,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.853,0.0,0.2,0.147
18,18,0,0,0,67,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.854,0.0,0.2,0.146
19,19,0,0,0,48,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.81,0.0,0.2,0.19
20,0,1,0,0,73,3.0,0.25,0.303,0.0,0.75,0.697,4.0,0.2,0.1,0.0,0.8,0.9
21,1,1,0,1,17,3.0,0.25,0.1,0.0,0.75,0.9,4.0,0.2,0.429,0.0,0.8,0.571
22,2,1,0,1,92,3.0,0.25,0.227,0.0,0.75,0.773,4.0,0.2,0.188,0.0,0.8,0.812
23,3,1,0,1,120,3.0,0.25,0.278,0.0,0.75,0.722,4.0,0.2,0.208,0.0,0.8,0.792
24,4,1,0,0,30,3.0,0.25,0.476,0.0,0.75,0.524,4.0,0.2,0.111,0.0,0.8,0.889
25,5,1,0,1,30,3.0,0.25,0.118,0.0,0.75,0.882,4.0,0.2,0.231,0.0,0.8,0.769
26,6,1,0,1,10,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.6,0.0,0.8,0.4
27,7,1,0,1,105,3.0,0.25,0.333,0.0,0.75,0.667,4.0,0.2,0.238,0.0,0.8,0.762
28,8,1,0,1,18,3.0,0.25,0.143,0.0,0.75,0.857,4.0,0.2,0.364,0.0,0.8,0.636
29,9,1,0,1,48,3.0,0.25,0.25,0.0,0.75,0.75,4.0,0.2,0.25,0.0,0.8,0.75
30,10,1,0,1,89,3.0,0.25,0.255,0.0,0.75,0.745,4.0,0.2,0.214,0.0,0.8,0.786
31,11,1,0,1,48,3.0,0.25,0.273,0.0,0.75,0.727,4.0,0.2,0.269,0.0,0.8,0.731
32,12,1,0,1,149,3.0,0.25,0.272,0.0,0.75,0.728,4.0,0.2,0.191,0.0,0.8,0.809
33,13,1,0,1,14,3.0,0.25,0.125,0.0,0.75,0.875,4.0,0.2,0.5,0.0,0.8,0.5
34,14,1,0,1,89,3.0,0.25,0.227,0.0,0.75,0.773,4.0,0.2,0.2,0.0,0.8,0.8
