,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,197,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.743,0.0,0.2,0.257
1,1,0,0,1,78,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
2,2,0,0,1,111,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.768,0.0,0.2,0.232
3,3,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
4,4,0,0,1,29,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.941,0.0,0.2,0.059
5,5,0,0,1,28,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.941,0.0,0.2,0.059
6,6,0,0,1,60,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.824,0.0,0.2,0.176
7,7,0,0,1,44,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.87,0.0,0.2,0.13
8,8,0,0,1,196,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.74,0.0,0.2,0.26
9,9,0,0,1,46,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.87,0.0,0.2,0.13
10,10,0,0,1,54,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.857,0.0,0.2,0.143
11,11,0,0,1,44,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.87,0.0,0.2,0.13
12,12,0,0,1,37,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.9,0.0,0.2,0.1
13,13,0,0,1,136,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.758,0.0,0.2,0.242
14,14,0,0,1,78,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
15,15,0,0,1,59,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.828,0.0,0.2,0.172
16,16,0,0,1,145,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.753,0.0,0.2,0.247
17,17,0,0,1,89,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.784,0.0,0.2,0.216
18,18,0,0,1,48,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.864,0.0,0.2,0.136
19,19,0,0,1,63,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.828,0.0,0.2,0.172
20,0,1,0,0,34,3.0,0.25,0.375,0.0,0.75,0.625,4.0,0.2,0.0,0.0,0.8,1.0
21,1,1,0,1,96,3.0,0.25,0.163,0.0,0.75,0.837,4.0,0.2,0.191,0.0,0.8,0.809
22,2,1,0,1,86,3.0,0.25,0.156,0.0,0.75,0.844,4.0,0.2,0.195,0.0,0.8,0.805
23,3,1,0,1,36,3.0,0.25,0.13,0.0,0.75,0.87,4.0,0.2,0.308,0.0,0.8,0.692
24,4,1,0,1,11,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.667,0.0,0.8,0.333
25,5,1,0,0,189,3.0,0.25,0.206,0.0,0.75,0.794,4.0,0.2,0.098,0.0,0.8,0.902
26,6,1,0,1,50,3.0,0.25,0.214,0.0,0.75,0.786,4.0,0.2,0.318,0.0,0.8,0.682
27,7,1,0,1,29,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.267,0.0,0.8,0.733
28,8,1,0,0,21,3.0,0.25,0.5,0.0,0.75,0.5,4.0,0.2,0.0,0.0,0.8,1.0
29,9,1,0,1,15,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.5,0.0,0.8,0.5
30,10,1,0,0,19,3.0,0.25,0.571,0.0,0.75,0.429,4.0,0.2,0.0,0.0,0.8,1.0
31,11,1,0,0,70,3.0,0.25,0.314,0.0,0.75,0.686,4.0,0.2,0.114,0.0,0.8,0.886
32,12,1,0,1,81,3.0,0.25,0.205,0.0,0.75,0.795,4.0,0.2,0.238,0.0,0.8,0.762
33,13,1,0,0,67,3.0,0.25,0.194,0.0,0.75,0.806,4.0,0.2,0.0,0.0,0.8,1.0
34,14,1,0,0,112,3.0,0.25,0.347,0.0,0.75,0.653,4.0,0.2,0.175,0.0,0.8,0.825
35,15,1,0,1,200,3.0,0.25,0.315,0.0,0.75,0.685,4.0,0.2,0.222,0.0,0.8,0.778
36,16,1,0,1,74,3.0,0.25,0.211,0.0,0.75,0.789,4.0,0.2,0.25,0.0,0.8,0.75
37,17,1,0,1,82,3.0,0.25,0.19,0.0,0.75,0.81,4.0,0.2,0.225,0.0,0.8,0.775
38,18,1,0,1,85,3.0,0.25,0.205,0.0,0.75,0.795,4.0,0.2,0.239,0.0,0.8,0.761
39,19,1,0,0,157,3.0,0.25,0.293,0.0,0.75,0.707,4.0,0.2,0.159,0.0,0.8,0.841
40,0,2,0,1,7,-32.0,0.1,0.2,0.0,0.9,0.8,-3.0,1.0,1.0,0.0,0.0,0.0
41,1,2,0,1,15,-32.0,0.1,0.167,0.0,0.9,0.833,-3.0,1.0,1.0,0.0,0.0,0.0
42,2,2,0,1,2,-32.0,0.1,1.0,0.0,0.9,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
43,3,2,0,1,5,-32.0,0.1,0.333,0.0,0.9,0.667,-3.0,1.0,1.0,0.0,0.0,0.0
44,4,2,0,1,2,-32.0,0.1,1.0,0.0,0.9,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
45,5,2,0,0,14,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
46,6,2,0,1,2,-32.0,0.1,1.0,0.0,0.9,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
47,7,2,0,0,16,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
