,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,126,-0.3,0.96,0.967,-2.1,0.04,0.033,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,1,102,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,1,126,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,1,94,-0.3,0.96,0.957,-2.1,0.04,0.043,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,1,115,-0.3,0.96,0.959,-2.1,0.04,0.041,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,1,87,-0.3,0.96,0.949,-2.1,0.04,0.051,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,1,159,-0.3,0.96,0.988,-2.1,0.04,0.012,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,1,96,-0.3,0.96,0.957,-2.1,0.04,0.043,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,1,126,-0.3,0.96,0.974,-2.1,0.04,0.026,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,1,99,-0.3,0.96,0.943,-2.1,0.04,0.057,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,1,141,-0.3,0.96,0.971,-2.1,0.04,0.029,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,1,92,-0.3,0.96,0.947,-2.1,0.04,0.053,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,1,43,-0.3,0.96,0.833,-2.1,0.04,0.167,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,1,133,-0.3,0.96,0.983,-2.1,0.04,0.017,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,95,-0.3,0.96,0.942,-2.1,0.04,0.058,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,1,81,-0.3,0.96,0.933,-2.1,0.04,0.067,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,1,162,-0.3,0.96,0.989,-2.1,0.04,0.011,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,101,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,1,87,-0.3,0.96,0.949,-2.1,0.04,0.051,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,70,-0.3,0.96,0.917,-2.1,0.04,0.083,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,60,-0.9,0.95,0.889,-4.2,0.05,0.111,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,105,-0.9,0.95,0.942,-4.2,0.05,0.058,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,200,-0.9,0.95,0.971,-4.2,0.05,0.029,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,48,-0.9,0.95,0.875,-4.2,0.05,0.125,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,1,102,-0.9,0.95,0.925,-4.2,0.05,0.075,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,1,86,-0.9,0.95,0.921,-4.2,0.05,0.079,-1.0,1.0,1.0,0.0,0.0,0.0
26,6,1,0,1,154,-0.9,0.95,0.961,-4.2,0.05,0.039,-1.0,1.0,1.0,0.0,0.0,0.0
27,7,1,0,1,200,-0.9,0.95,0.977,-4.2,0.05,0.023,-1.0,1.0,1.0,0.0,0.0,0.0
28,8,1,0,1,44,-0.9,0.95,0.85,-4.2,0.05,0.15,-1.0,1.0,1.0,0.0,0.0,0.0
29,9,1,0,1,86,-0.9,0.95,0.933,-4.2,0.05,0.067,-1.0,1.0,1.0,0.0,0.0,0.0
30,10,1,0,1,200,-0.9,0.95,0.981,-4.2,0.05,0.019,-1.0,1.0,1.0,0.0,0.0,0.0
31,11,1,0,1,200,-0.9,0.95,0.978,-4.2,0.05,0.022,-1.0,1.0,1.0,0.0,0.0,0.0
32,12,1,0,1,87,-0.9,0.95,0.938,-4.2,0.05,0.062,-1.0,1.0,1.0,0.0,0.0,0.0
33,13,1,0,1,200,-0.9,0.95,0.989,-4.2,0.05,0.011,-1.0,1.0,1.0,0.0,0.0,0.0
34,14,1,0,1,200,-0.9,0.95,0.971,-4.2,0.05,0.029,-1.0,1.0,1.0,0.0,0.0,0.0
