"subject" "problem" "choice" "order"
"134" 23 1 1 2
"136" 23 2 0 4
"137" 23 3 0 5
"135" 23 4 0 3
"133" 23 5 1 1
"138" 23 6 1 6
"158" 29 1 0 2
"162" 29 2 0 6
"161" 29 3 0 5
"159" 29 4 0 3
"157" 29 5 1 1
"160" 29 6 1 4
"164" 30 1 1 2
"165" 30 2 1 3
"163" 30 3 1 1
"167" 30 4 1 5
"166" 30 5 0 4
"168" 30 6 0 6
"171" 31 1 0 3
"172" 31 2 0 4
"169" 31 3 1 1
"174" 31 4 0 6
"173" 31 5 1 5
"170" 31 6 1 2
"176" 32 1 1 2
"175" 32 2 1 1
"180" 32 3 1 6
"177" 32 4 0 3
"179" 32 5 1 5
"178" 32 6 1 4
"186" 33 1 0 6
"185" 33 2 0 5
"182" 33 3 0 2
"184" 33 4 1 4
"181" 33 5 1 1
"183" 33 6 1 3
"191" 34 1 0 5
"188" 34 2 0 2
"189" 34 3 1 3
"192" 34 4 1 6
"187" 34 5 1 1
"190" 34 6 1 4
"198" 37 1 1 6
"197" 37 2 1 5
"195" 37 3 1 3
"194" 37 4 1 2
"196" 37 5 1 4
"193" 37 6 0 1
"204" 38 1 1 6
"199" 38 2 0 1
"200" 38 3 1 2
"203" 38 4 0 5
"201" 38 5 1 3
"202" 38 6 1 4
"210" 39 1 1 6
"205" 39 2 1 1
"206" 39 3 1 2
"208" 39 4 1 4
"209" 39 5 1 5
"207" 39 6 0 3
"216" 41 1 0 6
"214" 41 2 1 4
"212" 41 3 1 2
"211" 41 4 0 1
"213" 41 5 1 3
"215" 41 6 1 5
"222" 42 1 0 6
"221" 42 2 1 5
"219" 42 3 1 3
"217" 42 4 0 1
"218" 42 5 1 2
"220" 42 6 0 4
"223" 43 1 0 1
"228" 43 2 1 6
"226" 43 3 1 4
"224" 43 4 1 2
"227" 43 5 1 5
"225" 43 6 0 3
"229" 44 1 0 1
"232" 44 2 0 4
"234" 44 3 1 6
"230" 44 4 0 2
"233" 44 5 1 5
"231" 44 6 1 3
"237" 45 1 0 3
"240" 45 2 1 6
"236" 45 3 1 2
"235" 45 4 0 1
"238" 45 5 1 4
"239" 45 6 1 5
"243" 46 1 0 3
"246" 46 2 0 6
"244" 46 3 1 4
"242" 46 4 0 2
"241" 46 5 1 1
"245" 46 6 0 5
"248" 47 1 0 2
"249" 47 2 0 3
"252" 47 3 1 6
"247" 47 4 0 1
"251" 47 5 0 5
"250" 47 6 1 4
"258" 48 1 0 6
"253" 48 2 0 1
"254" 48 3 1 2
"255" 48 4 0 3
"257" 48 5 1 5
"256" 48 6 1 4
"262" 49 1 0 4
"264" 49 2 0 6
"263" 49 3 1 5
"261" 49 4 0 3
"259" 49 5 1 1
"260" 49 6 1 2
"269" 50 1 0 5
"270" 50 2 0 6
"268" 50 3 1 4
"265" 50 4 0 1
"267" 50 5 1 3
"266" 50 6 1 2
"276" 51 1 0 6
"273" 51 2 0 3
"275" 51 3 0 5
"271" 51 4 0 1
"274" 51 5 1 4
"272" 51 6 1 2
"280" 52 1 1 4
"281" 52 2 1 5
"277" 52 3 1 1
"278" 52 4 0 2
"282" 52 5 1 6
"279" 52 6 0 3
"286" 53 1 1 4
"283" 53 2 1 1
"284" 53 3 1 2
"285" 53 4 1 3
"288" 53 5 1 6
"287" 53 6 1 5
"294" 59 1 0 6
"293" 59 2 0 5
"290" 59 3 1 2
"291" 59 4 0 3
"292" 59 5 1 4
"289" 59 6 1 1
"295" 60 1 1 1
"296" 60 2 1 2
"300" 60 3 1 6
"298" 60 4 1 4
"299" 60 5 1 5
"297" 60 6 1 3
