"subject" "problem" "trial" "option" "outcome"
"4" 23 1 1 1 3
"5" 23 1 2 0 0
"12" 23 2 1 0 0
"13" 23 2 2 1 0
"14" 23 2 3 0 0
"15" 23 2 4 1 0
"16" 23 2 5 0 0
"17" 23 2 6 1 0
"18" 23 3 1 0 -3
"19" 23 3 2 1 0
"20" 23 3 3 0 -3
"21" 23 3 4 1 0
"22" 23 3 5 0 -3
"23" 23 3 6 1 -32
"24" 23 3 7 0 -3
"25" 23 3 8 1 -32
"26" 23 3 9 0 -3
"27" 23 3 10 1 0
"6" 23 4 1 0 -3
"7" 23 4 2 1 0
"8" 23 4 3 0 -3
"9" 23 4 4 1 -4
"10" 23 4 5 0 -3
"11" 23 4 6 1 -4
"1" 23 5 1 0 0
"2" 23 5 2 1 3
"3" 23 5 3 0 0
"28" 23 6 1 0 0
"29" 23 6 2 1 0
"30" 23 6 3 0 0
"31" 23 6 4 1 0
"32" 23 6 5 0 0
"33" 23 6 6 1 3
"34" 23 6 7 0 0
"35" 23 6 8 1 0
"82" 29 1 1 1 3
"83" 29 1 2 1 3
"84" 29 1 3 1 3
"85" 29 1 4 1 3
"86" 29 1 5 1 3
"87" 29 1 6 1 3
"88" 29 1 7 1 3
"89" 29 1 8 1 3
"90" 29 1 9 1 3
"91" 29 1 10 1 3
"92" 29 1 11 0 4
"93" 29 1 12 0 4
"94" 29 1 13 0 4
"95" 29 1 14 0 4
"96" 29 1 15 0 4
"97" 29 1 16 0 0
"98" 29 1 17 0 0
"99" 29 1 18 0 4
"100" 29 1 19 0 4
"101" 29 1 20 0 4
"187" 29 2 1 0 4
"188" 29 2 2 0 0
"189" 29 2 3 0 0
"190" 29 2 4 0 0
"191" 29 2 5 0 0
"192" 29 2 6 0 4
"193" 29 2 7 0 0
"194" 29 2 8 0 0
"195" 29 2 9 0 0
"196" 29 2 10 0 0
"197" 29 2 11 0 0
"198" 29 2 12 0 0
"199" 29 2 13 0 0
"200" 29 2 14 0 4
"201" 29 2 15 1 0
"202" 29 2 16 1 0
"203" 29 2 17 1 0
"204" 29 2 18 1 0
"205" 29 2 19 1 0
"206" 29 2 20 1 0
"207" 29 2 21 1 0
"208" 29 2 22 1 3
"145" 29 3 1 1 0
"146" 29 3 2 1 0
"147" 29 3 3 1 0
"148" 29 3 4 1 0
"149" 29 3 5 1 0
"150" 29 3 6 1 0
"151" 29 3 7 1 0
"152" 29 3 8 1 0
"153" 29 3 9 1 -32
"154" 29 3 10 1 0
"155" 29 3 11 1 0
"156" 29 3 12 1 0
"157" 29 3 13 1 0
"158" 29 3 14 1 0
"159" 29 3 15 1 0
"160" 29 3 16 1 0
"161" 29 3 17 1 0
"162" 29 3 18 1 0
"163" 29 3 19 1 0
"164" 29 3 20 1 0
"165" 29 3 21 1 -32
"166" 29 3 22 0 -3
"167" 29 3 23 0 -3
"168" 29 3 24 0 -3
"169" 29 3 25 0 -3
"170" 29 3 26 0 -3
"171" 29 3 27 0 -3
"172" 29 3 28 0 -3
"173" 29 3 29 0 -3
"174" 29 3 30 0 -3
"175" 29 3 31 0 -3
"176" 29 3 32 0 -3
"177" 29 3 33 0 -3
"178" 29 3 34 0 -3
"179" 29 3 35 0 -3
"180" 29 3 36 0 -3
"181" 29 3 37 0 -3
"182" 29 3 38 0 -3
"183" 29 3 39 0 -3
"184" 29 3 40 0 -3
"185" 29 3 41 0 -3
"186" 29 3 42 0 -3
"102" 29 4 1 1 -4
"103" 29 4 2 1 -4
"104" 29 4 3 1 -4
"105" 29 4 4 1 0
"106" 29 4 5 1 -4
"107" 29 4 6 0 -3
"108" 29 4 7 0 -3
"109" 29 4 8 0 -3
"110" 29 4 9 0 -3
"111" 29 4 10 0 -3
"112" 29 4 11 0 -3
"113" 29 4 12 0 -3
"114" 29 4 13 0 -3
"115" 29 4 14 0 -3
"116" 29 4 15 0 -3
"36" 29 5 1 0 0
"37" 29 5 2 1 3
"38" 29 5 3 0 0
"39" 29 5 4 1 3
"40" 29 5 5 1 3
"41" 29 5 6 0 0
"42" 29 5 7 0 0
"43" 29 5 8 0 0
"44" 29 5 9 0 32
"45" 29 5 10 0 0
"46" 29 5 11 0 32
"47" 29 5 12 0 0
"48" 29 5 13 0 0
"49" 29 5 14 0 0
"50" 29 5 15 0 32
"51" 29 5 16 0 0
"52" 29 5 17 0 0
"53" 29 5 18 0 0
"54" 29 5 19 0 0
"55" 29 5 20 0 32
"56" 29 5 21 0 0
"57" 29 5 22 0 0
"58" 29 5 23 0 0
"59" 29 5 24 0 0
"60" 29 5 25 0 0
"61" 29 5 26 0 0
"62" 29 5 27 0 0
"63" 29 5 28 0 0
"64" 29 5 29 0 32
"65" 29 5 30 1 3
"66" 29 5 31 1 3
"67" 29 5 32 1 3
"68" 29 5 33 1 3
"69" 29 5 34 1 3
"70" 29 5 35 1 3
"71" 29 5 36 0 0
"72" 29 5 37 0 0
"73" 29 5 38 0 0
"74" 29 5 39 0 0
"75" 29 5 40 0 0
"76" 29 5 41 0 0
"77" 29 5 42 0 0
"78" 29 5 43 0 0
"79" 29 5 44 0 0
"80" 29 5 45 0 0
"81" 29 5 46 0 32
"117" 29 6 1 1 0
"118" 29 6 2 1 0
"119" 29 6 3 1 0
"120" 29 6 4 1 3
"121" 29 6 5 1 0
"122" 29 6 6 1 0
"123" 29 6 7 1 0
"124" 29 6 8 1 3
"125" 29 6 9 0 32
"126" 29 6 10 0 0
"127" 29 6 11 0 0
"128" 29 6 12 0 0
"129" 29 6 13 0 0
"130" 29 6 14 0 0
"131" 29 6 15 0 0
"132" 29 6 16 0 0
"133" 29 6 17 0 0
"134" 29 6 18 0 0
"135" 29 6 19 0 0
"136" 29 6 20 0 0
"137" 29 6 21 0 0
"138" 29 6 22 0 0
"139" 29 6 23 0 0
"140" 29 6 24 0 0
"141" 29 6 25 0 0
"142" 29 6 26 0 0
"143" 29 6 27 0 0
"144" 29 6 28 0 0
"236" 30 1 1 0 4
"237" 30 1 2 0 4
"238" 30 1 3 0 4
"239" 30 1 4 0 0
"240" 30 1 5 1 3
"241" 30 1 6 1 3
"242" 30 1 7 1 3
"243" 30 1 8 1 3
"244" 30 1 9 1 3
"245" 30 1 10 1 3
"246" 30 1 11 1 3
"247" 30 1 12 1 3
"248" 30 1 13 1 3
"249" 30 1 14 1 3
"250" 30 1 15 1 3
"251" 30 2 1 1 0
"252" 30 2 2 1 0
"253" 30 2 3 1 0
"254" 30 2 4 1 0
"255" 30 2 5 1 0
"256" 30 2 6 1 0
"257" 30 2 7 1 3
"258" 30 2 8 1 0
"259" 30 2 9 1 0
"260" 30 2 10 1 0
"261" 30 2 11 1 0
"262" 30 2 12 1 3
"263" 30 2 13 0 0
"264" 30 2 14 0 0
"265" 30 2 15 0 0
"266" 30 2 16 0 0
"267" 30 2 17 0 0
"268" 30 2 18 0 0
"269" 30 2 19 0 0
"270" 30 2 20 0 4
"209" 30 3 1 0 -3
"210" 30 3 2 0 -3
"211" 30 3 3 1 0
"212" 30 3 4 0 -3
"213" 30 3 5 1 0
"214" 30 3 6 1 0
"215" 30 3 7 0 -3
"216" 30 3 8 0 -3
"217" 30 3 9 1 -32
"218" 30 3 10 0 -3
"219" 30 3 11 1 0
"220" 30 3 12 0 -3
"221" 30 3 13 1 0
"222" 30 3 14 0 -3
"223" 30 3 15 1 0
"224" 30 3 16 0 -3
"225" 30 3 17 1 0
"226" 30 3 18 0 -3
"227" 30 3 19 1 -32
"228" 30 3 20 1 0
"229" 30 3 21 1 0
"230" 30 3 22 1 0
"231" 30 3 23 1 0
"232" 30 3 24 1 0
"233" 30 3 25 1 0
