,iteration,success,nllh,k,N,bic,theta,prelec_gamma,prelec_elevation,p_stay,tau
0,0,True,955.697240832,5,230,1938.58487821,2,1.26829399545,1.56816553963,0.7189551002,27.3249995474
1,0,True,945.432860839,5,230,1918.05611822,3,1.16213252415,1.56717921333,0.481121096288,0.260509616265
2,0,True,947.260664219,5,230,1921.71172498,4,1.11875786996,1.61126241066,0.258781140579,1.69740275983e-07
3,1,True,945.101965226,5,230,1917.394327,2,1.23926475891,1.70429906655,0.75783955896,4.55673835769e-07
4,1,True,1501.61719558,5,230,3030.42478771,3,1.18120656772,1.48217241652,0.454612178207,36.5817664783
5,1,True,1144.35962719,5,230,2315.90965093,4,1.42464970739,3.4780596829,0.679976369455,9.53443746226e-10
6,2,True,955.697240824,5,230,1938.58487819,2,1.26829539341,1.56816372231,0.718956965635,25.6703475094
7,2,True,1106.05014031,5,230,2239.29067716,3,1.51757497021,3.37582608108,0.737426502648,1.38691582848e-09
8,2,True,2083.49825123,5,230,4194.18689901,4,1.42329311008,2.14969409482,0.640840779049,39.9999997902
9,3,True,1067.865409,5,230,2162.92121455,2,1.85133207221,4.99681799473,0.818133715755,9.14585865713e-09
10,3,True,1189.61229394,5,230,2406.41498443,3,1.75603506345e-05,1.12745071476,0.111724832158,1.18156329492e-08
11,3,True,1143.81286842,5,230,2314.81613339,4,1.34041912724,3.14214027323,0.676058352816,3.40529739208e-09
12,4,True,955.697240827,5,230,1938.5848782,2,1.26828959841,1.56816826896,0.718957423634,39.5169790613
13,4,True,944.340507564,5,230,1915.87141167,3,1.15353474473,1.60996626481,0.488213411507,4.59213162103e-08
14,4,True,944.723102336,5,230,1916.63660122,4,1.10736779707,1.53528415985,0.127219344755,5.18666168832e-07
