,iteration,success,nllh,k,N,bic,theta,p_stay,pow_gain,prelec_elevation,prelec_gamma,tau,w_loss
0,0,True,1239.68591427,7,234,2517.55907635,2,0.907899810539,1.14994884802,1.75395992133,0.951586916076,1.13873369169,0.979876797929
1,0,True,1239.6383086,7,234,2517.463865,3,0.801451535489,0.2572121031,0.401647152392,0.867269466524,0.689582841581,3.63680457853
2,0,True,1409.2282685,7,234,2856.6437848,4,0.104084487238,4.23483558698e-08,0.00199838552779,4.14108580954e-08,2.06882318631,1.05842113349
3,0,True,1239.19824798,7,234,2516.58374376,5,0.463201447292,0.847997622866,1.10364526928,0.911622420352,0.405616767239,0.780007243546
4,0,True,1775.04761132,7,234,3588.28247045,6,0.882424407377,1.24814351711e-09,2.36091773428,2.44963184008,2.38256406044e-06,1.11954734629
5,1,True,1242.37690515,7,234,2522.9410581,2,0.911722142359,0.000315050708436,0.0368605925461,1.06146584165,2.51144984234e-09,3.48127732877
6,1,False,1243.67313947,7,234,2525.53352674,3,0.812980910965,1.72292009375,2.5463956773,0.960865305945,3.30709617757e-06,0.972715973519
7,1,True,1239.36462318,7,234,2516.91649416,4,0.65290202956,9.68535087796e-09,0.0170457286772,0.450828519573,0.509957761295,0.81128818323
8,1,True,1243.96210644,7,234,2526.11146068,5,0.489205116712,0.615129254772,0.821353255964,0.894637634161,0.0348241609139,2.21733673297
9,1,False,2022.8731695,7,234,4083.9335868,6,0.898587863973,12.2206018441,0.588845889899,3.51702956599,1.86606863098e-09,0.492439311447
10,2,True,2923.92798725,7,234,5886.04322232,2,0.0461400552702,7.06845873555e-07,0.00106166897819,0.664671360325,3.21145795879e-07,0.972823561714
11,2,True,1259.23534844,7,234,2556.65794468,3,0.717633947619,3.18243752105e-08,0.013834838158,2.95132662352e-07,0.481393470514,2.20392755137
12,2,True,1239.36854823,7,234,2516.92434426,4,0.652970793789,1.15141100291,1.55007714512,0.926110472575,0.510059490398,0.9198425279
13,2,True,1239.18599348,7,234,2516.55923476,5,0.463092390307,1.45280021224,1.91057071668,0.935647182482,0.405695422803,1.20642308471
14,2,True,1239.2160625,7,234,2516.61937281,6,0.232677890537,0.0278599571258,0.0517053041468,0.806165350726,0.337261626428,1.74375304093
15,3,True,1239.68295061,7,234,2517.55314902,2,0.9079119873,0.593152343861,0.929123530711,0.907781159184,1.13574253977,0.0112427819592
16,3,True,1643.63767735,7,234,3325.4626025,3,0.918001194595,0.960793083275,4.98089110261,1.63367390446,8.78863159799e-10,2.49650460332
17,3,False,1242.51278817,7,234,2523.21282415,4,0.678988449253,0.00261920773908,0.0237202672027,0.761160016206,0.129379026865,5.56362546996
18,3,True,1264.34452211,7,234,2566.87629202,5,0.179073950932,0.262297467291,0.337503334504,0.90353813494,0.50329733325,2.51996596914e-05
19,3,True,1775.76199867,7,234,3589.71124514,6,0.882301293646,1.33370007102,4.96299646038,1.57842889949,5.18219196081e-10,0.303963389108
20,4,True,1586.24755554,7,234,3210.6823589,2,0.941181428045,1.58536645545,4.99769544723,1.38686274674,4.54645624839e-08,0.462616256643
21,4,True,1643.62423601,7,234,3325.43571983,3,0.918012536129,1.16057097543,4.80225955122,1.50683252969,2.9062496159e-09,1.16735315889
22,4,True,1244.19846394,7,234,2526.58417569,4,0.671824076324,1.46847293306,2.03719814466,0.937047222836,0.0155370705062,2.16605278879
23,4,False,1240.59632347,7,234,2519.37989475,5,0.513463446073,0.00888625827325,0.0286085932682,0.740540403468,0.451750949077,0.0170003317319
24,4,True,1239.28824837,7,234,2516.76374454,6,0.233406762446,0.946493944979,1.20330113959,0.914526312502,0.336761014656,2.70631045403
