,iteration,success,nllh,k,N,bic,theta,p_stay,pow_gain,tau,w_loss
0,0,True,1239.91751487,5,234,2507.11163531,2,0.907872701536,0.681669781714,1.14973274183,0.921889368732
1,0,True,1284.22295994,5,234,2595.72252545,3,0.756927921257,0.763775787346,4.25276186313,8.68006880191e-06
2,0,True,1240.36630135,5,234,2508.00920828,4,0.653511146709,0.78067896738,0.513952788532,1.33354521501
3,0,True,1240.6979462,5,234,2508.67249797,5,0.465027630778,0.805021844572,0.407548294991,0.464056123577
4,0,True,1241.38550395,5,234,2510.04761348,6,0.237721427295,0.822109129727,0.33693564291,1.55110781564
5,1,True,1239.91751485,5,234,2507.11163529,2,0.907871662937,0.681677431248,1.14972197589,1.0681336336
6,1,True,1240.22043112,5,234,2507.71746782,3,0.801500329085,0.74354517662,0.696578179125,1.05800589972
7,1,True,1240.36630136,5,234,2508.00920831,4,0.65351732862,0.780672790373,0.513906030368,1.79286223963
8,1,True,1240.69794613,5,234,2508.67249784,5,0.465023602432,0.805028759872,0.407495955316,2.13037433074
9,1,True,1241.3855041,5,234,2510.04761377,6,0.237697743648,0.82212298978,0.336939783229,1.81063870346
10,2,True,1239.91751486,5,234,2507.1116353,2,0.907872599904,0.681672055335,1.14970739714,1.1735597543
11,2,True,1240.22043111,5,234,2507.7174678,3,0.801499769718,0.743544898471,0.696615868097,1.14341535628
12,2,True,1240.36630132,5,234,2508.00920822,4,0.653511001948,0.780671434339,0.513926748356,134.593970813
13,2,True,1240.69794627,5,234,2508.67249812,5,0.465020367918,0.805043138765,0.407518299053,1.02057739199
14,2,True,1241.38550416,5,234,2510.04761389,6,0.237737038655,0.82208875113,0.336969740795,1.82313094959
15,3,True,1239.91751486,5,234,2507.11163529,2,0.907871763728,0.681685544773,1.14973679238,1.03838307923
16,3,True,1240.22043114,5,234,2507.71746787,3,0.801495232029,0.743557054238,0.696579338528,1.10447952273
17,3,True,1240.36630134,5,234,2508.00920825,4,0.653513016713,0.780675748588,0.513905165925,1.49598879715
18,3,True,1240.69794621,5,234,2508.67249799,5,0.4650366389,0.805006275288,0.407489898346,1.5029945182
19,3,True,1241.38550399,5,234,2510.04761356,6,0.237696858657,0.822105350361,0.336949837584,1.68285535723
20,4,True,1239.91751489,5,234,2507.11163536,2,0.907870840015,0.681669835107,1.14980573419,0.860273681141
21,4,True,1240.22043112,5,234,2507.71746782,3,0.801498417948,0.743546482861,0.696659912372,1.06864977241
22,4,True,1276.23551085,5,234,2579.74762728,4,0.53754824806,0.833227485317,2.14863765979,1.68222290215e-06
23,4,True,1240.69794624,5,234,2508.67249805,5,0.465044701553,0.80501151625,0.407492499889,1.34199525926
24,4,True,1246.81972698,5,234,2520.91605954,6,0.0342792349311,0.856901291711,0.439597559493,1.30237945052e-06
