,iteration,success,nllh,k,N,bic,theta,p_stay,prelec_elevation,prelec_gamma,tau
0,0,True,2096.05143927,5,234,4219.37948412,2,0.954909353293,4.9999963843,4.99998789979,1.27728125935e-06
1,0,True,1239.64239081,5,234,2506.5613872,3,0.801453760962,1.41131267094,0.923858000209,0.689571250703
2,0,True,1694.42160988,5,234,3416.11982534,4,0.902424605522,3.65261351005,1.385233747,2.49582343911e-10
3,0,True,1239.19429186,5,234,2505.6651893,5,0.463176526299,1.30090723857,0.916986128978,0.405684632459
4,0,True,1239.28507791,5,234,2505.8467614,6,0.23317294395,1.27159188875,0.916061411024,0.33679024369
5,1,True,1239.68300308,5,234,2506.64261173,2,0.907908016411,1.524709998,0.940549149759,1.13662816245
6,1,True,1239.6423908,5,234,2506.56138719,3,0.801457609242,1.41132586469,0.923839929318,0.689521287936
7,1,True,1255.96548056,5,234,2539.20756669,4,0.554038202617,1.27309865196,0.90013246805,1.22034127292e-08
8,1,True,1394.82703223,5,234,2816.93067004,5,0.852385595164,3.13319862951,0.578261909946,0.000269152602523
9,1,True,1239.28507799,5,234,2505.84676156,6,0.233185282468,1.27162756001,0.916033858672,0.336824976395
10,2,True,1239.68300312,5,234,2506.64261182,2,0.907910101045,1.52471972426,0.94055273304,1.13657910331
11,2,True,1239.64239078,5,234,2506.56138714,3,0.801456721745,1.41129402082,0.923859846106,0.689540916273
12,2,True,1694.49055398,5,234,3416.25771353,4,0.90242566612,4.44887734133,1.51785089334,7.32235494017e-10
13,2,True,1239.19429185,5,234,2505.66518929,5,0.463173807279,1.30089983478,0.916985873106,0.405669100255
14,2,True,1775.10914536,5,234,3577.4948963,6,0.882410665759,4.41694052238,1.49400222015,9.1820285254e-11
15,3,True,1239.6830031,5,234,2506.64261178,2,0.907908909126,1.52467491311,0.940585371749,1.13671423193
16,3,True,2223.33457989,5,234,4473.94576536,3,0.942903314888,4.99999381995,4.99999924866,0.533255349587
17,3,True,1694.45855247,5,234,3416.19371053,4,0.902433125584,4.04505473153,1.44887442414,2.60925578719e-09
18,3,True,1239.19429183,5,234,2505.66518923,5,0.463185398103,1.30088503251,0.917012690944,0.405670869551
19,3,True,1775.05852531,5,234,3577.3936562,6,0.882358221672,3.91527049041,1.41323085923,5.36701816693e-10
20,4,True,2096.04080219,5,234,4219.35820996,2,0.954522616375,3.33774889995,4.99930372596,1.11459301855e-08
21,4,True,1239.64239081,5,234,2506.5613872,3,0.801460815596,1.41132278416,0.92386212858,0.689598171142
22,4,True,1694.38243765,5,234,3416.04148087,4,0.902437737375,3.23708994432,1.30462612719,3.64890135947e-10
23,4,True,1239.19429183,5,234,2505.66518924,5,0.463184607249,1.3008664189,0.917016546307,0.40566391191
24,4,True,1239.28507826,5,234,2505.8467621,6,0.233126854476,1.27163052721,0.916047496971,0.336810297916
