,iteration,success,nllh,k,N,bic,theta,prelec_gamma,p_stay,tau
0,0,True,2774.86729752,4,234,5571.5558795,2,4.99999997746,0.94089370152,14.4497409024
1,0,True,1246.95283321,4,234,2515.72695087,3,1.018570147,0.799850236419,0.695305840906
2,0,True,1544.64142525,4,234,3111.10413497,4,1.00277867885,0.616937964902,38.2226918025
3,1,True,2096.25551309,4,234,4214.33231064,2,3.45550693438,0.954580093515,1.99535716776e-08
4,1,True,2175.92784293,4,234,4373.67697031,3,4.94503115187,0.943438403589,5.44705231648e-08
5,1,True,1248.37589897,4,234,2518.5730824,4,0.997134866063,0.650882627728,0.509024818672
6,2,True,2775.98743134,4,234,5573.79614714,2,4.99999969906,0.940056388123,27.8439747784
7,2,True,2175.92734589,4,234,4373.67597623,3,4.97102371979,0.943479422269,2.21275664296e-06
8,2,True,1248.37589896,4,234,2518.57308237,4,0.997145470447,0.650888803657,0.509003276056
9,3,True,1245.3043483,4,234,2512.42998105,2,1.06651700402,0.907158535869,1.16542125196
10,3,True,1472.61291402,4,234,2967.04711251,3,1.02656295489,0.781000565074,38.9808374811
11,3,True,1248.37589901,4,234,2518.57308247,4,0.997122527274,0.650887218076,0.508990645832
12,4,True,1245.3043483,4,234,2512.42998105,2,1.06652256046,0.907158711202,1.16547077467
13,4,True,1246.95283314,4,234,2515.72695074,3,1.01859625416,0.799849048538,0.695354559476
14,4,True,1248.37589897,4,234,2518.57308241,4,0.997155514527,0.650880396853,0.509019690979
