,iteration,success,nllh,k,N,bic,theta,p_stay,tau
0,0,True,1245.45156393,3,234,2507.26909121,2,0.907096846092,1.15859821468
1,0,True,1246.97728793,3,234,2510.32053921,3,0.79975937274,0.694386253822
2,0,True,1248.37690372,3,234,2513.11977079,4,0.650928403913,0.509036115819
3,1,True,1245.45156393,3,234,2507.26909121,2,0.907096344157,1.15856304111
4,1,True,1472.67825806,3,234,2961.72247947,3,0.780799981263,32.4796578804
5,1,True,1248.37690373,3,234,2513.11977081,4,0.650928163604,0.509076511162
6,2,True,1245.45156396,3,234,2507.26909127,2,0.907095374355,1.15856948903
7,2,True,1472.67825806,3,234,2961.72247947,3,0.780799982167,34.9469335906
8,2,True,1248.37690382,3,234,2513.11977099,4,0.65091828729,0.509029447514
9,3,True,1255.54336461,3,234,2527.45269257,2,0.896916516217,34.0320799148
10,3,True,1472.67825806,3,234,2961.72247947,3,0.780799982452,33.3325986254
11,3,True,1248.37690373,3,234,2513.1197708,4,0.650926961831,0.509032251595
12,4,True,1255.54336461,3,234,2527.45269257,2,0.896916516168,37.5098897511
13,4,True,1246.97728793,3,234,2510.32053921,3,0.799760095923,0.694452714347
14,4,True,1544.64270355,3,234,3105.65137045,4,0.616881863822,34.4031438779
