,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,51,12.6,0.63,0.524,0.2,0.37,0.476,27.3,0.06,0.069,10.4,0.94,0.931
1,1,0,0,1,51,12.6,0.63,0.571,0.2,0.37,0.429,27.3,0.06,0.138,10.4,0.94,0.862
2,2,0,0,1,51,12.6,0.63,0.778,0.2,0.37,0.222,27.3,0.06,0.031,10.4,0.94,0.969
3,3,0,0,1,51,12.6,0.63,0.607,0.2,0.37,0.393,27.3,0.06,0.045,10.4,0.94,0.955
4,4,0,0,1,51,12.6,0.63,0.517,0.2,0.37,0.483,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,51,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
6,6,0,0,1,51,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.033,10.4,0.94,0.967
7,7,0,0,1,51,12.6,0.63,0.682,0.2,0.37,0.318,27.3,0.06,0.0,10.4,0.94,1.0
8,8,0,0,1,51,12.6,0.63,0.444,0.2,0.37,0.556,27.3,0.06,0.125,10.4,0.94,0.875
9,9,0,0,1,51,12.6,0.63,0.655,0.2,0.37,0.345,27.3,0.06,0.095,10.4,0.94,0.905
10,10,0,0,1,51,12.6,0.63,0.538,0.2,0.37,0.462,27.3,0.06,0.083,10.4,0.94,0.917
11,11,0,0,1,51,12.6,0.63,0.64,0.2,0.37,0.36,27.3,0.06,0.08,10.4,0.94,0.92
12,12,0,0,1,51,12.6,0.63,0.72,0.2,0.37,0.28,27.3,0.06,0.08,10.4,0.94,0.92
13,13,0,0,1,51,12.6,0.63,0.464,0.2,0.37,0.536,27.3,0.06,0.182,10.4,0.94,0.818
14,14,0,0,1,51,12.6,0.63,0.556,0.2,0.37,0.444,27.3,0.06,0.174,10.4,0.94,0.826
15,15,0,0,1,51,12.6,0.63,0.542,0.2,0.37,0.458,27.3,0.06,0.077,10.4,0.94,0.923
16,16,0,0,1,51,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.172,10.4,0.94,0.828
17,17,0,0,1,51,12.6,0.63,0.643,0.2,0.37,0.357,27.3,0.06,0.136,10.4,0.94,0.864
18,18,0,0,1,51,12.6,0.63,0.577,0.2,0.37,0.423,27.3,0.06,0.083,10.4,0.94,0.917
19,19,0,0,1,51,12.6,0.63,0.64,0.2,0.37,0.36,27.3,0.06,0.08,10.4,0.94,0.92
20,0,1,0,1,51,4.1,0.4,0.458,11.7,0.6,0.542,26.0,0.09,0.038,10.4,0.91,0.962
21,1,1,0,1,51,4.1,0.4,0.269,11.7,0.6,0.731,26.0,0.09,0.083,10.4,0.91,0.917
22,2,1,0,1,51,4.1,0.4,0.273,11.7,0.6,0.727,26.0,0.09,0.0,10.4,0.91,1.0
23,3,1,0,1,51,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.133,10.4,0.91,0.867
24,4,1,0,1,51,4.1,0.4,0.577,11.7,0.6,0.423,26.0,0.09,0.083,10.4,0.91,0.917
25,5,1,0,1,51,4.1,0.4,0.458,11.7,0.6,0.542,26.0,0.09,0.038,10.4,0.91,0.962
26,6,1,0,1,51,4.1,0.4,0.393,11.7,0.6,0.607,26.0,0.09,0.091,10.4,0.91,0.909
27,7,1,0,1,51,4.1,0.4,0.267,11.7,0.6,0.733,26.0,0.09,0.2,10.4,0.91,0.8
28,8,1,0,1,51,4.1,0.4,0.381,11.7,0.6,0.619,26.0,0.09,0.034,10.4,0.91,0.966
29,9,1,0,1,51,4.1,0.4,0.48,11.7,0.6,0.52,26.0,0.09,0.2,10.4,0.91,0.8
30,10,1,0,1,51,4.1,0.4,0.421,11.7,0.6,0.579,26.0,0.09,0.097,10.4,0.91,0.903
31,11,1,0,1,51,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.136,10.4,0.91,0.864
32,12,1,0,1,51,4.1,0.4,0.375,11.7,0.6,0.625,26.0,0.09,0.038,10.4,0.91,0.962
33,13,1,0,1,51,4.1,0.4,0.269,11.7,0.6,0.731,26.0,0.09,0.208,10.4,0.91,0.792
34,14,1,0,1,51,4.1,0.4,0.3,11.7,0.6,0.7,26.0,0.09,0.15,10.4,0.91,0.85
35,15,1,0,1,51,4.1,0.4,0.5,11.7,0.6,0.5,26.0,0.09,0.107,10.4,0.91,0.893
36,16,1,0,1,51,4.1,0.4,0.429,11.7,0.6,0.571,26.0,0.09,0.241,10.4,0.91,0.759
37,17,1,0,1,51,4.1,0.4,0.619,11.7,0.6,0.381,26.0,0.09,0.069,10.4,0.91,0.931
38,18,1,0,1,51,4.1,0.4,0.417,11.7,0.6,0.583,26.0,0.09,0.115,10.4,0.91,0.885
39,19,1,0,1,51,4.1,0.4,0.36,11.7,0.6,0.64,26.0,0.09,0.04,10.4,0.91,0.96
40,0,2,0,1,51,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.741,23.8,0.39,0.259
41,1,2,0,1,51,18.0,0.09,0.038,7.0,0.91,0.962,3.4,0.61,0.625,23.8,0.39,0.375
42,2,2,0,1,51,18.0,0.09,0.1,7.0,0.91,0.9,3.4,0.61,0.45,23.8,0.39,0.55
43,3,2,0,1,51,18.0,0.09,0.045,7.0,0.91,0.955,3.4,0.61,0.643,23.8,0.39,0.357
44,4,2,0,1,51,18.0,0.09,0.115,7.0,0.91,0.885,3.4,0.61,0.708,23.8,0.39,0.292
45,5,2,0,1,51,18.0,0.09,0.056,7.0,0.91,0.944,3.4,0.61,0.594,23.8,0.39,0.406
46,6,2,0,1,51,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.5,23.8,0.39,0.5
47,7,2,0,1,51,18.0,0.09,0.095,7.0,0.91,0.905,3.4,0.61,0.724,23.8,0.39,0.276
48,8,2,0,1,51,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.64,23.8,0.39,0.36
49,9,2,0,1,51,18.0,0.09,0.125,7.0,0.91,0.875,3.4,0.61,0.538,23.8,0.39,0.462
50,10,2,0,1,51,18.0,0.09,0.08,7.0,0.91,0.92,3.4,0.61,0.64,23.8,0.39,0.36
51,11,2,0,1,51,18.0,0.09,0.148,7.0,0.91,0.852,3.4,0.61,0.609,23.8,0.39,0.391
52,12,2,0,1,51,18.0,0.09,0.065,7.0,0.91,0.935,3.4,0.61,0.579,23.8,0.39,0.421
53,13,2,0,1,51,18.0,0.09,0.0,7.0,0.91,1.0,3.4,0.61,0.741,23.8,0.39,0.259
54,14,2,0,1,51,18.0,0.09,0.034,7.0,0.91,0.966,3.4,0.61,0.619,23.8,0.39,0.381
55,15,2,0,1,51,18.0,0.09,0.045,7.0,0.91,0.955,3.4,0.61,0.75,23.8,0.39,0.25
56,16,2,0,1,51,18.0,0.09,0.261,7.0,0.91,0.739,3.4,0.61,0.63,23.8,0.39,0.37
57,17,2,0,1,51,18.0,0.09,0.043,7.0,0.91,0.957,3.4,0.61,0.63,23.8,0.39,0.37
58,18,2,0,1,51,18.0,0.09,0.154,7.0,0.91,0.846,3.4,0.61,0.583,23.8,0.39,0.417
59,19,2,0,1,51,18.0,0.09,0.077,7.0,0.91,0.923,3.4,0.61,0.625,23.8,0.39,0.375
60,0,3,0,1,51,23.8,0.07,0.037,7.3,0.93,0.963,3.9,0.6,0.522,23.0,0.4,0.478
61,1,3,0,1,51,23.8,0.07,0.04,7.3,0.93,0.96,3.9,0.6,0.6,23.0,0.4,0.4
62,2,3,0,1,51,23.8,0.07,0.083,7.3,0.93,0.917,3.9,0.6,0.577,23.0,0.4,0.423
63,3,3,0,1,51,23.8,0.07,0.042,7.3,0.93,0.958,3.9,0.6,0.615,23.0,0.4,0.385
64,4,3,0,1,51,23.8,0.07,0.038,7.3,0.93,0.962,3.9,0.6,0.667,23.0,0.4,0.333
65,5,3,0,1,51,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.652,23.0,0.4,0.348
66,6,3,0,1,51,23.8,0.07,0.103,7.3,0.93,0.897,3.9,0.6,0.619,23.0,0.4,0.381
67,7,3,0,1,51,23.8,0.07,0.032,7.3,0.93,0.968,3.9,0.6,0.737,23.0,0.4,0.263
68,8,3,0,1,51,23.8,0.07,0.04,7.3,0.93,0.96,3.9,0.6,0.64,23.0,0.4,0.36
69,9,3,0,1,51,23.8,0.07,0.143,7.3,0.93,0.857,3.9,0.6,0.621,23.0,0.4,0.379
70,10,3,0,1,51,23.8,0.07,0.105,7.3,0.93,0.895,3.9,0.6,0.484,23.0,0.4,0.516
71,11,3,0,1,51,23.8,0.07,0.136,7.3,0.93,0.864,3.9,0.6,0.571,23.0,0.4,0.429
72,12,3,0,1,51,23.8,0.07,0.033,7.3,0.93,0.967,3.9,0.6,0.6,23.0,0.4,0.4
73,13,3,0,1,51,23.8,0.07,0.087,7.3,0.93,0.913,3.9,0.6,0.63,23.0,0.4,0.37
74,14,3,0,1,51,23.8,0.07,0.038,7.3,0.93,0.962,3.9,0.6,0.417,23.0,0.4,0.583
75,15,3,0,1,51,23.8,0.07,0.0,7.3,0.93,1.0,3.9,0.6,0.484,23.0,0.4,0.516
76,16,3,0,1,51,23.8,0.07,0.067,7.3,0.93,0.933,3.9,0.6,0.371,23.0,0.4,0.629
77,17,3,0,1,51,23.8,0.07,0.077,7.3,0.93,0.923,3.9,0.6,0.667,23.0,0.4,0.333
78,18,3,0,1,51,23.8,0.07,0.158,7.3,0.93,0.842,3.9,0.6,0.516,23.0,0.4,0.484
79,19,3,0,1,51,23.8,0.07,0.148,7.3,0.93,0.852,3.9,0.6,0.652,23.0,0.4,0.348
80,0,4,0,1,51,27.0,0.06,0.037,7.3,0.94,0.963,3.9,0.6,0.565,23.5,0.4,0.435
81,1,4,0,1,51,27.0,0.06,0.0,7.3,0.94,1.0,3.9,0.6,0.75,23.5,0.4,0.25
82,2,4,0,0,51,27.0,0.06,0.091,7.3,0.94,0.909,3.9,0.6,0.75,23.5,0.4,0.25
83,3,4,0,1,51,27.0,0.06,0.04,7.3,0.94,0.96,3.9,0.6,0.52,23.5,0.4,0.48
84,4,4,0,1,51,27.0,0.06,0.08,7.3,0.94,0.92,3.9,0.6,0.6,23.5,0.4,0.4
85,5,4,0,1,51,27.0,0.06,0.045,7.3,0.94,0.955,3.9,0.6,0.679,23.5,0.4,0.321
86,6,4,0,1,51,27.0,0.06,0.04,7.3,0.94,0.96,3.9,0.6,0.64,23.5,0.4,0.36
87,7,4,0,1,51,27.0,0.06,0.043,7.3,0.94,0.957,3.9,0.6,0.667,23.5,0.4,0.333
88,8,4,0,1,51,27.0,0.06,0.036,7.3,0.94,0.964,3.9,0.6,0.5,23.5,0.4,0.5
89,9,4,0,1,51,27.0,0.06,0.105,7.3,0.94,0.895,3.9,0.6,0.581,23.5,0.4,0.419
90,10,4,0,1,51,27.0,0.06,0.04,7.3,0.94,0.96,3.9,0.6,0.76,23.5,0.4,0.24
91,11,4,0,1,51,27.0,0.06,0.037,7.3,0.94,0.963,3.9,0.6,0.739,23.5,0.4,0.261
92,12,4,0,0,51,27.0,0.06,0.148,7.3,0.94,0.852,3.9,0.6,0.739,23.5,0.4,0.261
93,13,4,0,1,51,27.0,0.06,0.042,7.3,0.94,0.958,3.9,0.6,0.615,23.5,0.4,0.385
94,14,4,0,1,51,27.0,0.06,0.036,7.3,0.94,0.964,3.9,0.6,0.364,23.5,0.4,0.636
95,15,4,0,1,51,27.0,0.06,0.074,7.3,0.94,0.926,3.9,0.6,0.391,23.5,0.4,0.609
96,16,4,0,1,51,27.0,0.06,0.136,7.3,0.94,0.864,3.9,0.6,0.5,23.5,0.4,0.5
97,17,4,0,1,51,27.0,0.06,0.042,7.3,0.94,0.958,3.9,0.6,0.731,23.5,0.4,0.269
98,18,4,0,1,51,27.0,0.06,0.05,7.3,0.94,0.95,3.9,0.6,0.6,23.5,0.4,0.4
99,19,4,0,1,51,27.0,0.06,0.034,7.3,0.94,0.966,3.9,0.6,0.762,23.5,0.4,0.238
100,0,5,0,1,51,0.1,0.6,0.586,19.7,0.4,0.414,10.6,0.95,0.905,25.7,0.05,0.095
101,1,5,0,1,51,0.1,0.6,0.625,19.7,0.4,0.375,10.6,0.95,1.0,25.7,0.05,0.0
102,2,5,0,1,51,0.1,0.6,0.808,19.7,0.4,0.192,10.6,0.95,0.917,25.7,0.05,0.083
103,3,5,0,1,51,0.1,0.6,0.76,19.7,0.4,0.24,10.6,0.95,0.92,25.7,0.05,0.08
104,4,5,0,1,51,0.1,0.6,0.571,19.7,0.4,0.429,10.6,0.95,0.931,25.7,0.05,0.069
105,5,5,0,1,51,0.1,0.6,0.536,19.7,0.4,0.464,10.6,0.95,1.0,25.7,0.05,0.0
106,6,5,0,1,51,0.1,0.6,0.632,19.7,0.4,0.368,10.6,0.95,0.968,25.7,0.05,0.032
107,7,5,0,0,51,0.1,0.6,0.4,19.7,0.4,0.6,10.6,0.95,0.967,25.7,0.05,0.033
108,8,5,0,1,51,0.1,0.6,0.522,19.7,0.4,0.478,10.6,0.95,0.926,25.7,0.05,0.074
109,9,5,0,1,51,0.1,0.6,0.524,19.7,0.4,0.476,10.6,0.95,0.931,25.7,0.05,0.069
110,10,5,0,1,51,0.1,0.6,0.619,19.7,0.4,0.381,10.6,0.95,1.0,25.7,0.05,0.0
111,11,5,0,1,51,0.1,0.6,0.611,19.7,0.4,0.389,10.6,0.95,0.875,25.7,0.05,0.125
112,12,5,0,1,51,0.1,0.6,0.655,19.7,0.4,0.345,10.6,0.95,1.0,25.7,0.05,0.0
113,13,5,0,1,51,0.1,0.6,0.682,19.7,0.4,0.318,10.6,0.95,1.0,25.7,0.05,0.0
114,14,5,0,1,51,0.1,0.6,0.476,19.7,0.4,0.524,10.6,0.95,0.828,25.7,0.05,0.172
115,15,5,0,1,51,0.1,0.6,0.615,19.7,0.4,0.385,10.6,0.95,0.958,25.7,0.05,0.042
116,16,5,0,1,51,0.1,0.6,0.632,19.7,0.4,0.368,10.6,0.95,0.935,25.7,0.05,0.065
117,17,5,0,1,51,0.1,0.6,0.708,19.7,0.4,0.292,10.6,0.95,0.885,25.7,0.05,0.115
118,18,5,0,1,51,0.1,0.6,0.571,19.7,0.4,0.429,10.6,0.95,0.955,25.7,0.05,0.045
119,19,5,0,1,51,0.1,0.6,0.621,19.7,0.4,0.379,10.6,0.95,1.0,25.7,0.05,0.0
120,0,6,0,1,51,1.1,0.59,0.474,17.9,0.41,0.526,23.5,0.08,0.065,10.6,0.92,0.935
121,1,6,0,1,51,1.1,0.59,0.731,17.9,0.41,0.269,23.5,0.08,0.125,10.6,0.92,0.875
122,2,6,0,1,51,1.1,0.59,0.667,17.9,0.41,0.333,23.5,0.08,0.043,10.6,0.92,0.957
123,3,6,0,1,51,1.1,0.59,0.652,17.9,0.41,0.348,23.5,0.08,0.074,10.6,0.92,0.926
124,4,6,0,1,51,1.1,0.59,0.56,17.9,0.41,0.44,23.5,0.08,0.08,10.6,0.92,0.92
125,5,6,0,1,51,1.1,0.59,0.692,17.9,0.41,0.308,23.5,0.08,0.125,10.6,0.92,0.875
126,6,6,0,1,51,1.1,0.59,0.667,17.9,0.41,0.333,23.5,0.08,0.0,10.6,0.92,1.0
127,7,6,0,1,51,1.1,0.59,0.739,17.9,0.41,0.261,23.5,0.08,0.074,10.6,0.92,0.926
128,8,6,0,1,51,1.1,0.59,0.636,17.9,0.41,0.364,23.5,0.08,0.071,10.6,0.92,0.929
129,9,6,0,1,51,1.1,0.59,0.545,17.9,0.41,0.455,23.5,0.08,0.107,10.6,0.92,0.893
130,10,6,0,1,51,1.1,0.59,0.667,17.9,0.41,0.333,23.5,0.08,0.172,10.6,0.92,0.828
131,11,6,0,1,51,1.1,0.59,0.545,17.9,0.41,0.455,23.5,0.08,0.0,10.6,0.92,1.0
132,12,6,0,1,51,1.1,0.59,0.609,17.9,0.41,0.391,23.5,0.08,0.037,10.6,0.92,0.963
