,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,101,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.059,10.4,0.94,0.941
1,1,0,0,0,101,12.6,0.63,0.75,0.2,0.37,0.25,27.3,0.06,0.017,10.4,0.94,0.983
2,2,0,0,1,101,12.6,0.63,0.603,0.2,0.37,0.397,27.3,0.06,0.048,10.4,0.94,0.952
3,3,0,0,0,101,12.6,0.63,0.643,0.2,0.37,0.357,27.3,0.06,0.023,10.4,0.94,0.977
4,4,0,0,1,101,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.06,10.4,0.94,0.94
5,5,0,0,0,101,12.6,0.63,0.679,0.2,0.37,0.321,27.3,0.06,0.136,10.4,0.94,0.864
6,6,0,0,0,101,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.043,10.4,0.94,0.957
7,7,0,0,1,101,12.6,0.63,0.542,0.2,0.37,0.458,27.3,0.06,0.058,10.4,0.94,0.942
8,8,0,0,1,101,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.043,10.4,0.94,0.957
9,9,0,0,1,101,12.6,0.63,0.63,0.2,0.37,0.37,27.3,0.06,0.13,10.4,0.94,0.87
10,10,0,0,1,101,12.6,0.63,0.596,0.2,0.37,0.404,27.3,0.06,0.021,10.4,0.94,0.979
11,11,0,0,0,101,12.6,0.63,0.696,0.2,0.37,0.304,27.3,0.06,0.056,10.4,0.94,0.944
12,12,0,0,0,101,12.6,0.63,0.778,0.2,0.37,0.222,27.3,0.06,0.036,10.4,0.94,0.964
13,13,0,0,1,101,12.6,0.63,0.519,0.2,0.37,0.481,27.3,0.06,0.0,10.4,0.94,1.0
14,14,0,0,1,101,12.6,0.63,0.576,0.2,0.37,0.424,27.3,0.06,0.049,10.4,0.94,0.951
15,15,0,0,1,101,12.6,0.63,0.596,0.2,0.37,0.404,27.3,0.06,0.0,10.4,0.94,1.0
