,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.86,0.0,0.2,0.14
1,1,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.791,0.0,0.2,0.209
2,2,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
3,3,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.773,0.0,0.2,0.227
4,4,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.793,0.0,0.2,0.207
5,5,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.875,0.0,0.2,0.125
6,6,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.776,0.0,0.2,0.224
7,7,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
8,8,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.81,0.0,0.2,0.19
9,9,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
10,10,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
11,11,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.774,0.0,0.2,0.226
12,12,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
13,13,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.804,0.0,0.2,0.196
14,14,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.702,0.0,0.2,0.298
15,15,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.841,0.0,0.2,0.159
16,16,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.796,0.0,0.2,0.204
17,17,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.771,0.0,0.2,0.229
18,18,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
19,19,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
20,20,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.772,0.0,0.2,0.228
21,21,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.784,0.0,0.2,0.216
22,22,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.857,0.0,0.2,0.143
23,23,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.821,0.0,0.2,0.179
24,24,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
25,25,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
26,26,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.808,0.0,0.2,0.192
27,27,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.827,0.0,0.2,0.173
28,28,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.84,0.0,0.2,0.16
29,29,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.764,0.0,0.2,0.236
30,30,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.796,0.0,0.2,0.204
31,31,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.857,0.0,0.2,0.143
32,32,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.872,0.0,0.2,0.128
33,33,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.78,0.0,0.2,0.22
34,34,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.689,0.0,0.2,0.311
35,35,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.654,0.0,0.2,0.346
36,36,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.78,0.0,0.2,0.22
37,37,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
38,38,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
39,39,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.796,0.0,0.2,0.204
40,40,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.816,0.0,0.2,0.184
41,41,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
42,42,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.774,0.0,0.2,0.226
43,43,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.733,0.0,0.2,0.267
44,44,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.822,0.0,0.2,0.178
45,45,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.782,0.0,0.2,0.218
46,46,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
47,47,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.827,0.0,0.2,0.173
48,48,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.729,0.0,0.2,0.271
49,49,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.76,0.0,0.2,0.24
50,50,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
51,51,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.83,0.0,0.2,0.17
52,52,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.787,0.0,0.2,0.213
53,53,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
54,54,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.788,0.0,0.2,0.212
55,55,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.804,0.0,0.2,0.196
56,56,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.784,0.0,0.2,0.216
57,57,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.825,0.0,0.2,0.175
58,58,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.791,0.0,0.2,0.209
59,59,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.741,0.0,0.2,0.259
60,60,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
61,61,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.792,0.0,0.2,0.208
62,62,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.805,0.0,0.2,0.195
63,63,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.849,0.0,0.2,0.151
64,64,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.82,0.0,0.2,0.18
65,65,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
66,66,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.786,0.0,0.2,0.214
67,67,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.774,0.0,0.2,0.226
68,68,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.826,0.0,0.2,0.174
69,69,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
70,70,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
71,71,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.735,0.0,0.2,0.265
72,72,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.828,0.0,0.2,0.172
73,73,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.776,0.0,0.2,0.224
74,74,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.88,0.0,0.2,0.12
75,75,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.877,0.0,0.2,0.123
76,76,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
77,77,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.764,0.0,0.2,0.236
78,78,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.795,0.0,0.2,0.205
79,79,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.827,0.0,0.2,0.173
80,80,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.935,0.0,0.2,0.065
81,81,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.816,0.0,0.2,0.184
82,82,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.848,0.0,0.2,0.152
83,83,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.88,0.0,0.2,0.12
84,84,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.792,0.0,0.2,0.208
85,85,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.852,0.0,0.2,0.148
86,86,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.673,0.0,0.2,0.327
87,87,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.756,0.0,0.2,0.244
88,88,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
89,89,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
90,90,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.839,0.0,0.2,0.161
91,91,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.907,0.0,0.2,0.093
92,92,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.78,0.0,0.2,0.22
93,93,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.761,0.0,0.2,0.239
94,94,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
95,95,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.766,0.0,0.2,0.234
96,96,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.791,0.0,0.2,0.209
97,97,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.804,0.0,0.2,0.196
98,98,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.86,0.0,0.2,0.14
99,99,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.732,0.0,0.2,0.268
100,100,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.884,0.0,0.2,0.116
101,101,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.741,0.0,0.2,0.259
102,102,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.878,0.0,0.2,0.122
103,103,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
104,104,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
105,105,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.843,0.0,0.2,0.157
106,106,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.696,0.0,0.2,0.304
107,107,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
108,108,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.788,0.0,0.2,0.212
109,109,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.667,0.0,0.2,0.333
110,110,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.815,0.0,0.2,0.185
111,111,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.848,0.0,0.2,0.152
112,112,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.877,0.0,0.2,0.123
113,113,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.852,0.0,0.2,0.148
114,114,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.824,0.0,0.2,0.176
115,115,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
116,116,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
117,117,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
118,118,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.875,0.0,0.2,0.125
119,119,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.87,0.0,0.2,0.13
120,120,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.827,0.0,0.2,0.173
121,121,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.786,0.0,0.2,0.214
122,122,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.814,0.0,0.2,0.186
123,123,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.745,0.0,0.2,0.255
124,124,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.83,0.0,0.2,0.17
125,125,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.816,0.0,0.2,0.184
126,126,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.739,0.0,0.2,0.261
127,127,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.822,0.0,0.2,0.178
128,128,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.735,0.0,0.2,0.265
129,129,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.878,0.0,0.2,0.122
130,130,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
131,131,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.723,0.0,0.2,0.277
132,132,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.837,0.0,0.2,0.163
133,133,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
134,134,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.902,0.0,0.2,0.098
135,135,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.808,0.0,0.2,0.192
136,136,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.705,0.0,0.2,0.295
137,137,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
138,138,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
139,139,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
140,140,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
141,141,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.848,0.0,0.2,0.152
142,142,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
143,143,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.878,0.0,0.2,0.122
144,144,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.792,0.0,0.2,0.208
145,145,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.83,0.0,0.2,0.17
146,146,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.809,0.0,0.2,0.191
147,147,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.755,0.0,0.2,0.245
148,148,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.891,0.0,0.2,0.109
149,149,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.812,0.0,0.2,0.188
150,150,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.765,0.0,0.2,0.235
151,151,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
152,152,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.706,0.0,0.2,0.294
153,153,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.809,0.0,0.2,0.191
154,154,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.818,0.0,0.2,0.182
155,155,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.735,0.0,0.2,0.265
156,156,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.773,0.0,0.2,0.227
157,157,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
158,158,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.804,0.0,0.2,0.196
159,159,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.879,0.0,0.2,0.121
160,160,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.776,0.0,0.2,0.224
161,161,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.812,0.0,0.2,0.188
162,162,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.712,0.0,0.2,0.288
163,163,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.824,0.0,0.2,0.176
164,164,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.745,0.0,0.2,0.255
165,165,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
166,166,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.878,0.0,0.2,0.122
167,167,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.898,0.0,0.2,0.102
168,168,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.792,0.0,0.2,0.208
169,169,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.772,0.0,0.2,0.228
170,170,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.857,0.0,0.2,0.143
171,171,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.796,0.0,0.2,0.204
172,172,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.828,0.0,0.2,0.172
173,173,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
174,174,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
175,175,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.854,0.0,0.2,0.146
176,176,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.766,0.0,0.2,0.234
177,177,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.766,0.0,0.2,0.234
178,178,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.788,0.0,0.2,0.212
179,179,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.674,0.0,0.2,0.326
180,180,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.756,0.0,0.2,0.244
181,181,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
182,182,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.745,0.0,0.2,0.255
183,183,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.804,0.0,0.2,0.196
184,184,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.809,0.0,0.2,0.191
185,185,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.808,0.0,0.2,0.192
186,186,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.696,0.0,0.2,0.304
187,187,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.76,0.0,0.2,0.24
188,188,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
189,189,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.821,0.0,0.2,0.179
190,190,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.772,0.0,0.2,0.228
191,191,0,0,1,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.755,0.0,0.2,0.245
192,192,0,0,0,100,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.7,0.0,0.2,0.3
