,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,51,-0.3,0.96,0.947,-2.1,0.04,0.053,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,0,51,-0.3,0.96,0.905,-2.1,0.04,0.095,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,0,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,1,51,-0.3,0.96,0.88,-2.1,0.04,0.12,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,0,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,1,51,-0.3,0.96,0.957,-2.1,0.04,0.043,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,0,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,1,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,0,51,-0.3,0.96,0.971,-2.1,0.04,0.029,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,0,51,-0.3,0.96,0.92,-2.1,0.04,0.08,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,1,51,-0.3,0.96,0.88,-2.1,0.04,0.12,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,0,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,0,51,-0.3,0.96,0.923,-2.1,0.04,0.077,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,0,51,-0.3,0.96,0.958,-2.1,0.04,0.042,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,0,51,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,1,51,-0.3,0.96,0.84,-2.1,0.04,0.16,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,51,-0.3,0.96,0.912,-2.1,0.04,0.088,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,0,51,-0.3,0.96,0.966,-2.1,0.04,0.034,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,51,-0.3,0.96,0.971,-2.1,0.04,0.029,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,51,-0.9,0.95,0.923,-4.2,0.05,0.077,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,51,-0.9,0.95,0.957,-4.2,0.05,0.043,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,51,-0.9,0.95,0.92,-4.2,0.05,0.08,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,51,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,1,51,-0.9,0.95,0.917,-4.2,0.05,0.083,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,1,51,-0.9,0.95,0.958,-4.2,0.05,0.042,-1.0,1.0,1.0,0.0,0.0,0.0
26,6,1,0,0,51,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
27,7,1,0,1,51,-0.9,0.95,0.958,-4.2,0.05,0.042,-1.0,1.0,1.0,0.0,0.0,0.0
28,8,1,0,1,51,-0.9,0.95,0.96,-4.2,0.05,0.04,-1.0,1.0,1.0,0.0,0.0,0.0
29,9,1,0,1,51,-0.9,0.95,0.958,-4.2,0.05,0.042,-1.0,1.0,1.0,0.0,0.0,0.0
30,10,1,0,1,51,-0.9,0.95,0.955,-4.2,0.05,0.045,-1.0,1.0,1.0,0.0,0.0,0.0
31,11,1,0,1,51,-0.9,0.95,0.88,-4.2,0.05,0.12,-1.0,1.0,1.0,0.0,0.0,0.0
32,12,1,0,1,51,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
33,13,1,0,0,51,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
34,14,1,0,0,51,-0.9,0.95,0.917,-4.2,0.05,0.083,-1.0,1.0,1.0,0.0,0.0,0.0
35,15,1,0,0,51,-0.9,0.95,0.955,-4.2,0.05,0.045,-1.0,1.0,1.0,0.0,0.0,0.0
36,16,1,0,0,51,-0.9,0.95,0.963,-4.2,0.05,0.037,-1.0,1.0,1.0,0.0,0.0,0.0
37,17,1,0,0,51,-0.9,0.95,0.955,-4.2,0.05,0.045,-1.0,1.0,1.0,0.0,0.0,0.0
38,18,1,0,1,51,-0.9,0.95,0.923,-4.2,0.05,0.077,-1.0,1.0,1.0,0.0,0.0,0.0
39,19,1,0,0,51,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
40,0,2,0,0,51,-6.3,0.3,0.364,-15.2,0.7,0.636,-12.2,1.0,1.0,0.0,0.0,0.0
41,1,2,0,0,51,-6.3,0.3,0.32,-15.2,0.7,0.68,-12.2,1.0,1.0,0.0,0.0,0.0
42,2,2,0,0,51,-6.3,0.3,0.273,-15.2,0.7,0.727,-12.2,1.0,1.0,0.0,0.0,0.0
43,3,2,0,0,51,-6.3,0.3,0.381,-15.2,0.7,0.619,-12.2,1.0,1.0,0.0,0.0,0.0
44,4,2,0,0,51,-6.3,0.3,0.095,-15.2,0.7,0.905,-12.2,1.0,1.0,0.0,0.0,0.0
