"subject" "problem" "choice" "order"
"1" 1 1 0 4
"2" 1 2 1 9
"3" 1 3 1 1
"4" 1 4 1 6
"5" 1 5 1 7
"6" 1 6 1 5
"7" 1 7 1 8
"8" 1 8 0 3
"9" 1 9 0 2
"28" 2 1 1 8
"29" 2 2 1 7
"30" 2 3 0 6
"31" 2 4 0 5
"32" 2 5 1 2
"33" 2 6 0 3
"34" 2 7 1 1
"35" 2 8 0 9
"36" 2 9 1 4
"46" 3 1 0 8
"47" 3 2 1 1
"48" 3 3 0 7
"49" 3 4 1 2
"50" 3 5 1 4
"51" 3 6 0 9
"52" 3 7 1 5
"53" 3 8 1 3
"54" 3 9 0 6
"73" 4 1 1 8
"74" 4 2 1 3
"75" 4 3 0 4
"76" 4 4 1 6
"77" 4 5 1 2
"78" 4 6 0 9
"79" 4 7 0 7
"80" 4 8 0 5
"81" 4 9 0 1
"100" 5 1 0 7
"101" 5 2 0 4
"102" 5 3 0 2
"103" 5 4 0 1
"104" 5 5 1 5
"105" 5 6 1 3
"106" 5 7 1 9
"107" 5 8 0 6
"108" 5 9 1 8
"127" 6 1 0 3
"128" 6 2 1 1
"129" 6 3 0 5
"130" 6 4 1 2
"131" 6 5 1 4
"132" 6 6 1 6
"133" 6 7 1 7
"134" 6 8 0 8
"135" 6 9 1 9
"136" 7 1 0 9
"137" 7 2 1 2
"138" 7 3 0 4
"139" 7 4 0 7
"140" 7 5 0 3
"141" 7 6 0 8
"142" 7 7 0 6
"143" 7 8 1 1
"144" 7 9 1 5
"154" 8 1 0 2
"155" 8 2 1 7
"156" 8 3 1 8
"157" 8 4 1 6
"158" 8 5 0 9
"159" 8 6 0 3
"160" 8 7 0 4
"161" 8 8 1 1
"162" 8 9 0 5
"181" 9 1 0 3
"182" 9 2 1 1
"183" 9 3 0 9
"184" 9 4 0 8
"185" 9 5 0 5
"186" 9 6 0 4
"187" 9 7 0 7
"188" 9 8 1 6
"189" 9 9 0 2
"208" 10 1 0 6
"209" 10 2 0 9
"210" 10 3 1 2
"211" 10 4 1 4
"212" 10 5 1 1
"213" 10 6 1 3
"214" 10 7 1 5
"215" 10 8 1 7
"216" 10 9 0 8
"235" 11 1 0 8
"236" 11 2 0 6
"237" 11 3 1 2
"238" 11 4 0 4
"239" 11 5 1 1
"240" 11 6 1 3
"241" 11 7 0 9
"242" 11 8 1 5
"243" 11 9 1 7
"262" 12 1 0 9
"263" 12 2 1 1
"264" 12 3 1 4
"265" 12 4 1 2
"266" 12 5 0 6
"267" 12 6 1 8
"268" 12 7 0 3
"269" 12 8 0 7
"270" 12 9 1 5
"289" 13 1 0 4
"290" 13 2 1 2
"291" 13 3 1 1
"292" 13 4 0 9
"293" 13 5 1 5
"294" 13 6 0 7
"295" 13 7 1 3
"296" 13 8 1 8
"297" 13 9 1 6
"316" 14 1 1 5
"317" 14 2 1 2
"318" 14 3 1 3
"319" 14 4 1 9
"320" 14 5 1 1
"321" 14 6 0 7
"322" 14 7 1 8
"323" 14 8 1 4
"324" 14 9 0 6
"343" 15 1 0 4
"344" 15 2 1 8
"345" 15 3 0 2
"346" 15 4 1 1
"347" 15 5 1 3
"348" 15 6 1 6
"349" 15 7 1 5
"350" 15 8 0 9
"351" 15 9 0 7
"370" 16 1 0 7
"371" 16 2 1 8
"372" 16 3 0 6
"373" 16 4 1 4
"374" 16 5 1 5
"375" 16 6 0 3
"376" 16 7 1 1
"377" 16 8 1 2
"378" 16 9 1 9
"397" 17 1 1 6
"398" 17 2 1 2
"399" 17 3 0 1
"400" 17 4 1 3
"401" 17 5 0 8
"402" 17 6 0 5
"403" 17 7 1 4
"404" 17 8 0 9
"405" 17 9 1 7
"433" 18 1 1 9
"434" 18 2 0 2
"435" 18 3 1 6
"436" 18 4 0 5
"437" 18 5 1 7
"438" 18 6 0 3
"439" 18 7 0 8
"440" 18 8 1 4
"441" 18 9 0 1
"460" 19 1 0 2
"461" 19 2 1 8
"462" 19 3 1 7
"463" 19 4 1 5
"464" 19 5 1 1
"465" 19 6 1 9
"466" 19 7 1 4
"467" 19 8 0 6
"468" 19 9 1 3
"487" 20 1 1 1
"488" 20 2 1 8
"489" 20 3 1 6
"490" 20 4 1 9
"491" 20 5 0 3
"492" 20 6 0 2
"493" 20 7 1 7
"494" 20 8 1 4
"495" 20 9 0 5
"514" 21 1 0 3
"515" 21 2 1 9
"516" 21 3 1 5
"517" 21 4 1 2
"518" 21 5 1 4
"519" 21 6 1 7
"520" 21 7 1 1
"521" 21 8 1 6
"522" 21 9 1 8
"541" 22 1 0 9
"542" 22 2 0 4
"543" 22 3 0 5
"544" 22 4 1 6
"545" 22 5 1 7
"546" 22 6 0 8
"547" 22 7 1 2
"548" 22 8 0 1
"549" 22 9 1 3
"568" 23 1 1 3
"569" 23 2 1 4
"570" 23 3 0 7
"571" 23 4 0 2
"572" 23 5 1 8
"573" 23 6 0 1
"574" 23 7 1 9
"575" 23 8 0 6
"576" 23 9 1 5
"613" 24 1 1 6
"614" 24 2 1 8
"615" 24 3 1 5
"616" 24 4 0 7
"617" 24 5 1 9
"618" 24 6 0 3
"619" 24 7 0 4
"620" 24 8 1 2
"621" 24 9 0 1
"649" 25 1 1 2
"650" 25 2 0 4
"651" 25 3 1 6
"652" 25 4 1 7
"653" 25 5 1 1
"654" 25 6 0 8
"655" 25 7 1 9
"656" 25 8 1 5
"657" 25 9 0 3
"676" 26 1 1 9
"677" 26 2 0 5
"678" 26 3 1 8
