,subject,problem,choice,group,samplesize
6,1,0,0,1,19.0
4,1,1,1,1,38.0
1,1,2,0,1,18.0
5,1,3,1,1,16.0
3,1,4,0,1,24.0
2,1,5,0,1,47.0
10,2,0,0,1,2.0
9,2,1,0,1,2.0
11,2,2,0,1,2.0
7,2,3,1,1,3.0
8,2,4,0,1,2.0
12,2,5,1,1,2.0
14,3,1,1,1,21.0
15,3,3,1,1,5.0
13,3,4,0,1,17.0
16,4,1,1,1,2.0
20,4,2,0,1,6.0
17,4,3,0,1,4.0
18,4,4,1,1,7.0
19,4,5,1,1,7.0
22,5,1,1,1,5.0
25,5,2,0,1,8.0
24,5,3,1,1,6.0
23,5,4,0,1,4.0
21,5,5,0,1,11.0
31,6,0,1,1,3.0
26,6,1,0,1,2.0
30,6,2,0,1,2.0
27,6,3,1,1,2.0
29,6,4,0,1,2.0
28,6,5,0,1,2.0
36,7,0,1,1,6.0
35,7,1,1,1,10.0
34,7,2,0,1,11.0
32,7,3,0,1,9.0
33,7,4,0,1,17.0
37,7,5,0,1,8.0
39,8,0,0,1,2.0
40,8,1,1,1,14.0
41,8,2,0,1,8.0
38,8,3,0,1,3.0
42,8,4,0,1,7.0
43,8,5,1,1,9.0
46,9,0,1,1,7.0
45,9,3,1,1,12.0
44,9,4,0,1,2.0
47,9,5,1,1,14.0
52,10,0,1,1,3.0
51,10,1,0,1,3.0
48,10,2,0,1,5.0
50,10,3,1,1,3.0
49,10,5,1,1,3.0
53,11,0,1,1,36.0
55,11,1,1,1,84.0
58,11,2,0,1,46.0
54,11,3,0,1,41.0
56,11,4,0,1,42.0
57,11,5,0,1,45.0
62,12,0,1,1,12.0
63,12,1,1,1,24.0
60,12,3,0,1,9.0
59,12,4,0,1,5.0
61,12,5,0,1,39.0
66,13,0,0,1,8.0
64,13,2,1,1,10.0
67,13,3,1,1,9.0
68,13,4,0,1,13.0
65,13,5,0,1,13.0
70,14,0,1,1,6.0
73,14,1,0,1,18.0
74,14,2,0,1,24.0
69,14,3,0,1,19.0
72,14,4,1,1,27.0
71,14,5,0,1,32.0
78,15,0,0,1,8.0
75,15,1,1,1,9.0
77,15,3,0,1,8.0
79,15,4,1,1,15.0
76,15,5,0,1,13.0
82,16,0,1,1,22.0
84,16,1,1,1,21.0
85,16,2,0,1,20.0
80,16,3,1,1,6.0
81,16,4,0,1,39.0
83,16,5,0,1,44.0
91,17,0,0,1,8.0
86,17,1,1,1,10.0
90,17,2,0,1,6.0
89,17,3,0,1,10.0
88,17,4,0,1,11.0
87,17,5,0,1,13.0
92,18,0,1,1,6.0
94,18,1,0,1,10.0
93,18,2,0,1,8.0
96,18,3,0,1,13.0
97,18,4,0,1,14.0
95,18,5,0,1,11.0
98,19,0,1,1,11.0
101,19,1,1,1,13.0
103,19,2,0,1,22.0
102,19,3,0,1,25.0
100,19,4,1,1,15.0
99,19,5,0,1,25.0
104,20,0,1,1,9.0
105,20,1,0,1,21.0
107,20,2,0,1,13.0
109,20,3,0,1,19.0
108,20,4,0,1,18.0
106,20,5,0,1,22.0
112,21,0,1,1,11.0
113,21,1,1,1,11.0
114,21,2,0,1,11.0
111,21,3,0,1,15.0
115,21,4,1,1,15.0
110,21,5,0,1,24.0
120,22,0,0,1,12.0
116,22,1,0,1,8.0
121,22,2,0,1,9.0
117,22,3,1,1,14.0
119,22,4,0,1,9.0
118,22,5,0,1,9.0
122,23,0,1,1,4.0
123,23,1,1,1,8.0
125,23,2,0,1,23.0
127,23,3,0,1,25.0
124,23,4,1,1,19.0
126,23,5,0,1,15.0
128,24,2,1,1,3.0
133,25,0,1,1,2.0
131,25,1,0,1,2.0
134,25,2,1,1,2.0
132,25,3,1,1,2.0
130,25,4,0,1,2.0
129,25,5,0,1,2.0
135,26,0,1,1,22.0
136,26,1,0,1,34.0
138,26,2,1,1,14.0
139,26,3,0,1,20.0
137,26,4,0,1,33.0
140,26,5,0,1,21.0
141,27,0,1,1,4.0
144,27,1,1,1,21.0
145,27,2,0,1,21.0
143,27,3,1,1,22.0
146,27,4,0,1,13.0
142,27,5,0,1,14.0
149,28,0,0,1,25.0
151,28,1,0,1,37.0
152,28,2,0,1,63.0
147,28,3,0,1,43.0
150,28,4,0,1,27.0
148,28,5,1,1,44.0
157,29,0,0,1,20.0
154,29,1,0,1,28.0
158,29,2,0,1,20.0
155,29,3,0,1,29.0
156,29,4,0,1,20.0
153,29,5,0,1,30.0
161,30,0,0,1,13.0
164,30,1,0,1,10.0
159,30,2,0,1,12.0
160,30,3,0,1,18.0
163,30,4,0,1,13.0
162,30,5,0,1,16.0
167,31,0,0,1,21.0
165,31,1,0,1,31.0
169,31,2,0,1,21.0
170,31,3,1,1,20.0
166,31,4,0,1,23.0
168,31,5,0,1,35.0
172,32,0,1,1,7.0
174,32,1,0,1,8.0
175,32,2,0,1,10.0
171,32,3,1,1,4.0
176,32,4,0,1,4.0
173,32,5,0,1,6.0
182,33,0,0,1,4.0
181,33,1,1,1,26.0
178,33,2,0,1,14.0
180,33,3,0,1,25.0
179,33,4,0,1,3.0
177,33,5,0,1,6.0
183,34,4,0,1,8.0
184,34,5,0,1,13.0
189,35,0,1,1,4.0
188,35,1,0,1,2.0
185,35,2,0,1,11.0
186,35,3,0,1,6.0
187,35,4,0,1,6.0
190,35,5,0,1,27.0
192,36,0,0,1,21.0
191,36,1,1,1,27.0
193,36,2,0,1,24.0
194,36,3,0,1,19.0
195,36,4,0,1,15.0
196,36,5,1,1,16.0
197,37,0,1,1,4.0
198,37,1,0,1,7.0
199,37,2,0,1,4.0
201,37,4,0,1,2.0
200,37,5,0,1,4.0
206,38,0,0,1,16.0
202,38,1,1,1,12.0
207,38,2,0,1,10.0
204,38,3,0,1,16.0
205,38,4,0,1,14.0
203,38,5,1,1,14.0
209,39,0,1,1,3.0
210,39,1,1,1,19.0
211,39,2,0,1,25.0
208,39,4,0,1,4.0
212,39,5,0,1,10.0
214,40,0,1,1,2.0
218,40,1,0,1,2.0
215,40,2,0,1,2.0
217,40,3,1,1,2.0
216,40,4,0,1,2.0
213,40,5,1,1,2.0
220,41,0,1,1,4.0
223,41,1,1,1,6.0
219,41,2,0,1,4.0
224,41,3,1,1,3.0
221,41,4,0,1,3.0
222,41,5,1,1,2.0
228,42,0,1,1,5.0
227,42,1,1,1,26.0
229,42,2,0,1,5.0
225,42,3,1,1,3.0
230,42,4,0,1,5.0
226,42,5,1,1,10.0
1,1,0,1,2,9.0
40,1,1,1,2,9.0
79,1,2,0,2,8.0
118,1,3,1,2,9.0
157,1,4,0,2,8.0
196,1,5,1,2,11.0
2,2,0,1,2,2.0
41,2,1,1,2,2.0
80,2,2,0,2,2.0
119,2,3,1,2,2.0
158,2,4,0,2,4.0
197,2,5,0,2,4.0
3,3,0,0,2,46.0
42,3,1,0,2,39.0
81,3,2,1,2,80.0
120,3,3,0,2,44.0
159,3,4,0,2,51.0
198,3,5,1,2,87.0
4,4,0,1,2,53.0
43,4,1,1,2,76.0
82,4,2,1,2,50.0
121,4,3,1,2,35.0
160,4,4,1,2,80.0
199,4,5,0,2,49.0
5,5,0,0,2,18.0
44,5,1,0,2,34.0
83,5,2,0,2,22.0
122,5,3,0,2,18.0
161,5,4,0,2,20.0
200,5,5,1,2,22.0
6,6,0,0,2,27.0
45,6,1,1,2,52.0
84,6,2,0,2,52.0
123,6,3,1,2,51.0
162,6,4,1,2,58.0
201,6,5,0,2,57.0
7,7,0,1,2,43.0
46,7,1,1,2,39.0
85,7,2,0,2,50.0
124,7,3,0,2,86.0
163,7,4,0,2,133.0
202,7,5,0,2,41.0
8,8,0,1,2,23.0
47,8,1,1,2,31.0
86,8,2,0,2,58.0
125,8,3,1,2,38.0
164,8,4,0,2,24.0
203,8,5,1,2,3.0
9,9,0,1,2,2.0
48,9,1,1,2,2.0
87,9,2,1,2,2.0
126,9,3,0,2,3.0
165,9,4,0,2,4.0
204,9,5,0,2,2.0
10,10,0,0,2,34.0
49,10,1,0,2,31.0
88,10,2,0,2,33.0
127,10,3,0,2,31.0
166,10,4,0,2,27.0
205,10,5,1,2,47.0
11,11,0,0,2,23.0
50,11,1,1,2,30.0
89,11,2,0,2,21.0
128,11,3,1,2,23.0
167,11,4,0,2,36.0
206,11,5,1,2,2.0
12,12,0,0,2,37.0
51,12,1,1,2,40.0
90,12,2,0,2,5.0
129,12,3,0,2,46.0
168,12,4,0,2,58.0
207,12,5,0,2,6.0
13,13,0,1,2,15.0
52,13,1,0,2,41.0
91,13,2,0,2,76.0
130,13,3,0,2,30.0
169,13,4,1,2,26.0
208,13,5,0,2,64.0
14,14,0,1,2,36.0
53,14,1,1,2,61.0
92,14,2,0,2,96.0
131,14,3,0,2,110.0
170,14,4,0,2,16.0
209,14,5,1,2,48.0
15,15,0,0,2,48.0
54,15,1,0,2,47.0
93,15,2,1,2,14.0
132,15,3,0,2,29.0
171,15,4,0,2,62.0
210,15,5,1,2,49.0
16,16,0,1,2,10.0
55,16,1,1,2,23.0
94,16,2,0,2,12.0
133,16,3,1,2,45.0
172,16,4,0,2,8.0
211,16,5,1,2,17.0
17,17,0,1,2,5.0
56,17,1,0,2,15.0
95,17,2,0,2,11.0
134,17,3,0,2,20.0
173,17,4,0,2,34.0
212,17,5,0,2,14.0
18,18,0,1,2,25.0
57,18,1,1,2,34.0
96,18,2,0,2,15.0
135,18,3,0,2,29.0
174,18,4,1,2,47.0
213,18,5,1,2,51.0
19,19,0,1,2,95.0
58,19,1,0,2,108.0
97,19,2,0,2,139.0
136,19,3,0,2,7.0
175,19,4,0,2,73.0
214,19,5,0,2,97.0
20,20,0,1,2,58.0
59,20,1,1,2,66.0
98,20,2,0,2,43.0
137,20,3,0,2,64.0
176,20,4,1,2,44.0
215,20,5,0,2,67.0
21,21,0,1,2,42.0
60,21,1,0,2,47.0
99,21,2,1,2,32.0
138,21,3,1,2,39.0
177,21,4,0,2,40.0
216,21,5,0,2,30.0
22,22,0,1,2,30.0
61,22,1,0,2,56.0
100,22,2,0,2,27.0
139,22,3,0,2,72.0
178,22,4,1,2,57.0
217,22,5,0,2,115.0
23,23,0,0,2,2.0
62,23,1,1,2,36.0
101,23,2,1,2,4.0
140,23,3,1,2,3.0
179,23,4,1,2,2.0
218,23,5,0,2,22.0
24,24,0,1,2,18.0
63,24,1,0,2,19.0
102,24,2,1,2,16.0
141,24,3,1,2,9.0
180,24,4,0,2,16.0
219,24,5,0,2,8.0
25,25,0,1,2,23.0
64,25,1,0,2,22.0
103,25,2,0,2,26.0
142,25,3,0,2,23.0
181,25,4,1,2,24.0
220,25,5,1,2,33.0
26,26,0,0,2,36.0
65,26,1,0,2,70.0
104,26,2,1,2,66.0
143,26,3,0,2,48.0
182,26,4,0,2,47.0
221,26,5,0,2,34.0
27,27,0,1,2,85.0
66,27,1,0,2,90.0
105,27,2,0,2,93.0
144,27,3,1,2,97.0
183,27,4,0,2,95.0
222,27,5,0,2,166.0
28,28,0,0,2,15.0
67,28,1,0,2,14.0
106,28,2,1,2,18.0
145,28,3,1,2,21.0
184,28,4,1,2,14.0
223,28,5,1,2,15.0
29,29,0,0,2,43.0
68,29,1,0,2,25.0
107,29,2,1,2,23.0
146,29,3,0,2,38.0
185,29,4,0,2,40.0
224,29,5,0,2,20.0
30,30,0,1,2,26.0
69,30,1,1,2,33.0
108,30,2,0,2,9.0
147,30,3,1,2,6.0
186,30,4,1,2,21.0
225,30,5,0,2,9.0
31,31,0,0,2,26.0
70,31,1,1,2,38.0
109,31,2,1,2,47.0
148,31,3,0,2,38.0
187,31,4,1,2,34.0
226,31,5,0,2,41.0
32,32,0,1,2,30.0
71,32,1,0,2,25.0
110,32,2,0,2,60.0
149,32,3,0,2,31.0
188,32,4,0,2,25.0
227,32,5,0,2,25.0
