,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,1.0,0.0,0.0,1.0,34.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
1,1.0,1.0,0.0,0.0,89.0,3.0,0.25,0.258,0.0,0.75,0.742,4.0,0.2,0.155,0.0,0.8,0.845
2,1.0,2.0,0.0,0.0,199.0,-32.0,0.1,0.08,0.0,0.9,0.92,-3.0,1.0,1.0,0.0,0.0,0.0
3,2.0,0.0,0.0,1.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
4,2.0,1.0,0.0,0.0,22.0,3.0,0.25,0.222,0.0,0.75,0.778,4.0,0.2,0.0,0.0,0.8,1.0
5,2.0,2.0,0.0,0.0,31.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
6,3.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.0,0.0,0.2,1.0
7,3.0,1.0,0.0,0.0,2.0,3.0,0.25,1.0,0.0,0.75,0.0,4.0,0.2,0.0,0.0,0.8,1.0
8,3.0,2.0,0.0,0.0,19.0,-32.0,0.1,0.167,0.0,0.9,0.833,-3.0,1.0,1.0,0.0,0.0,0.0
9,4.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
10,4.0,1.0,0.0,0.0,13.0,3.0,0.25,0.2,0.0,0.75,0.8,4.0,0.2,0.125,0.0,0.8,0.875
11,4.0,2.0,0.0,1.0,2.0,-32.0,0.1,1.0,0.0,0.9,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
12,5.0,0.0,0.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
13,5.0,1.0,0.0,0.0,11.0,3.0,0.25,0.333,0.0,0.75,0.667,4.0,0.2,0.0,0.0,0.8,1.0
14,5.0,2.0,0.0,0.0,18.0,-32.0,0.1,0.2,0.0,0.9,0.8,-3.0,1.0,1.0,0.0,0.0,0.0
15,6.0,0.0,0.0,1.0,15.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.875,0.0,0.2,0.125
16,6.0,1.0,0.0,1.0,49.0,3.0,0.25,0.174,0.0,0.75,0.826,4.0,0.2,0.115,0.0,0.8,0.885
17,6.0,2.0,0.0,0.0,8.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
18,7.0,0.0,0.0,1.0,36.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.88,0.0,0.2,0.12
19,7.0,1.0,0.0,1.0,45.0,3.0,0.25,0.045,0.0,0.75,0.955,4.0,0.2,0.13,0.0,0.8,0.87
20,7.0,2.0,0.0,0.0,17.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
21,8.0,0.0,0.0,1.0,27.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.692,0.0,0.2,0.308
22,8.0,1.0,0.0,1.0,27.0,3.0,0.25,0.214,0.0,0.75,0.786,4.0,0.2,0.231,0.0,0.8,0.769
23,8.0,2.0,0.0,0.0,9.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
24,9.0,0.0,0.0,1.0,18.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.889,0.0,0.2,0.111
25,9.0,1.0,0.0,0.0,39.0,3.0,0.25,0.238,0.0,0.75,0.762,4.0,0.2,0.222,0.0,0.8,0.778
26,9.0,2.0,0.0,1.0,17.0,-32.0,0.1,0.143,0.0,0.9,0.857,-3.0,1.0,1.0,0.0,0.0,0.0
27,10.0,0.0,0.0,0.0,42.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.833,0.0,0.2,0.167
28,10.0,1.0,0.0,0.0,61.0,3.0,0.25,0.433,0.0,0.75,0.567,4.0,0.2,0.097,0.0,0.8,0.903
29,10.0,2.0,0.0,0.0,6.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
30,11.0,0.0,0.0,1.0,20.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.846,0.0,0.2,0.154
31,11.0,1.0,0.0,1.0,46.0,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.25,0.0,0.8,0.75
32,11.0,2.0,0.0,0.0,14.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
33,12.0,0.0,0.0,0.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.6,0.0,0.2,0.4
34,12.0,1.0,0.0,0.0,27.0,3.0,0.25,0.267,0.0,0.75,0.733,4.0,0.2,0.083,0.0,0.8,0.917
35,12.0,2.0,0.0,0.0,36.0,-32.0,0.1,0.105,0.0,0.9,0.895,-3.0,1.0,1.0,0.0,0.0,0.0
36,13.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
37,13.0,1.0,0.0,0.0,2.0,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.0,0.0,0.8,1.0
38,13.0,2.0,0.0,1.0,14.0,-32.0,0.1,0.25,0.0,0.9,0.75,-3.0,1.0,1.0,0.0,0.0,0.0
39,14.0,0.0,0.0,1.0,17.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.875,0.0,0.2,0.125
40,14.0,1.0,0.0,1.0,34.0,3.0,0.25,0.308,0.0,0.75,0.692,4.0,0.2,0.095,0.0,0.8,0.905
41,14.0,2.0,0.0,0.0,15.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
42,15.0,0.0,0.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
43,15.0,1.0,0.0,1.0,43.0,3.0,0.25,0.3,0.0,0.75,0.7,4.0,0.2,0.174,0.0,0.8,0.826
44,15.0,2.0,0.0,0.0,26.0,-32.0,0.1,0.062,0.0,0.9,0.938,-3.0,1.0,1.0,0.0,0.0,0.0
45,16.0,0.0,0.0,1.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.889,0.0,0.2,0.111
46,16.0,1.0,0.0,1.0,14.0,3.0,0.25,0.143,0.0,0.75,0.857,4.0,0.2,0.143,0.0,0.8,0.857
47,16.0,2.0,0.0,0.0,7.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
48,17.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
49,17.0,1.0,0.0,0.0,2.0,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.0,0.0,0.8,1.0
50,17.0,2.0,0.0,1.0,17.0,-32.0,0.1,0.222,0.0,0.9,0.778,-3.0,1.0,1.0,0.0,0.0,0.0
51,18.0,0.0,0.0,1.0,58.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.829,0.0,0.2,0.171
52,18.0,1.0,0.0,1.0,15.0,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.375,0.0,0.8,0.625
53,18.0,2.0,0.0,0.0,4.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
54,19.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
55,19.0,1.0,0.0,1.0,8.0,3.0,0.25,0.25,0.0,0.75,0.75,4.0,0.2,0.25,0.0,0.8,0.75
56,19.0,2.0,0.0,0.0,11.0,-32.0,0.1,0.2,0.0,0.9,0.8,-3.0,1.0,1.0,0.0,0.0,0.0
57,20.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
58,20.0,1.0,0.0,1.0,11.0,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.167,0.0,0.8,0.833
59,20.0,2.0,0.0,1.0,19.0,-32.0,0.1,0.125,0.0,0.9,0.875,-3.0,1.0,1.0,0.0,0.0,0.0
60,21.0,0.0,0.0,1.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
61,21.0,1.0,0.0,0.0,15.0,3.0,0.25,0.4,0.0,0.75,0.6,4.0,0.2,0.4,0.0,0.8,0.6
62,21.0,2.0,0.0,0.0,2.0,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
63,22.0,0.0,0.0,1.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
