,subject,problem,choice,group,samplesize
0,,0,1,0,34
1,,0,1,0,14
2,,0,1,0,2
3,,0,1,0,2
4,,0,1,0,8
5,,0,1,0,15
6,,0,1,0,36
7,,0,1,0,27
8,,0,1,0,18
9,,0,0,0,42
10,,0,1,0,20
11,,0,0,0,10
12,,0,1,0,6
13,,0,1,0,17
14,,0,1,0,9
15,,0,1,0,19
16,,0,1,0,4
17,,0,1,0,58
18,,0,1,0,4
19,,0,1,0,2
20,,0,1,0,10
21,,0,1,0,13
22,,0,1,0,4
23,,0,0,0,15
24,,0,1,0,5
25,,1,0,0,89
26,,1,0,0,22
27,,1,0,0,2
28,,1,0,0,13
29,,1,0,0,11
30,,1,1,0,49
31,,1,1,0,45
32,,1,1,0,27
33,,1,0,0,39
34,,1,0,0,61
35,,1,1,0,46
36,,1,0,0,27
37,,1,0,0,2
38,,1,1,0,34
39,,1,1,0,43
40,,1,1,0,14
41,,1,0,0,2
42,,1,1,0,15
43,,1,1,0,8
44,,1,1,0,11
45,,1,0,0,15
46,,1,0,0,14
47,,1,0,0,6
48,,1,1,0,19
49,,1,0,0,7
50,,2,0,0,199
51,,2,0,0,31
52,,2,0,0,19
53,,2,1,0,2
54,,2,0,0,18
55,,2,0,0,8
56,,2,0,0,17
57,,2,0,0,9
58,,2,1,0,17
59,,2,0,0,6
60,,2,0,0,14
61,,2,0,0,36
62,,2,1,0,14
63,,2,0,0,15
64,,2,0,0,26
65,,2,0,0,7
66,,2,1,0,17
67,,2,0,0,4
68,,2,0,0,11
69,,2,1,0,19
70,,2,0,0,2
71,,2,0,0,12
72,,2,1,0,9
73,,2,0,0,16
74,,2,1,0,21
75,,3,1,0,73
76,,3,1,0,29
77,,3,1,0,12
78,,3,1,0,43
79,,3,0,0,53
80,,3,1,0,11
81,,3,0,0,23
82,,3,1,0,15
83,,3,0,0,19
84,,3,1,0,9
85,,3,0,0,48
86,,3,0,0,27
87,,3,1,0,19
88,,3,1,0,67
89,,3,0,0,26
90,,3,1,0,14
91,,3,0,0,8
92,,3,1,0,18
93,,3,1,0,2
94,,3,0,0,19
95,,3,1,0,9
96,,3,0,0,27
97,,3,1,0,21
98,,3,0,0,29
99,,3,0,0,70
100,,4,0,0,28
101,,4,0,0,14
102,,4,0,0,8
103,,4,0,0,2
104,,4,0,0,16
105,,4,0,0,8
106,,4,1,0,22
107,,4,0,0,7
108,,4,0,0,18
109,,4,0,0,10
110,,4,0,0,9
111,,4,0,0,6
112,,4,0,0,31
113,,4,0,0,10
114,,4,0,0,27
115,,4,0,0,6
116,,4,0,0,12
117,,4,1,0,20
118,,4,0,0,2
119,,4,1,0,17
120,,4,1,0,2
121,,4,1,0,40
122,,4,0,0,10
123,,4,0,0,14
124,,4,0,0,34
125,,5,0,0,38
126,,5,0,0,9
127,,5,0,0,12
128,,5,0,0,4
129,,5,0,0,49
130,,5,0,0,10
131,,5,1,0,45
132,,5,0,0,9
133,,5,0,0,18
134,,5,0,0,15
135,,5,0,0,53
136,,5,0,0,8
137,,5,0,0,41
138,,5,0,0,16
139,,5,0,0,16
140,,5,0,0,31
141,,5,0,0,17
142,,5,1,0,8
143,,5,1,0,2
144,,5,0,0,31
145,,5,0,0,3
146,,5,0,0,11
147,,5,0,0,17
148,,5,0,0,20
149,,5,0,0,25
