,sid,gameind,probid,probvar,cond_color,cond_ecology,cost,samplesize,n_switch,choice,choseH,mn_diff
0,91,0,normal-37,high,diff,normal,high,1,0,A,0,9
1,91,1,normal-55,high,diff,normal,low,3,1,B,1,14
2,91,2,normal-4,low,diff,normal,low,1,0,A,0,7
3,91,3,normal-15,low,diff,normal,high,2,1,B,1,7
4,91,4,normal-52,high,diff,normal,low,2,1,A,0,14
5,91,5,normal-45,high,diff,normal,high,1,0,A,0,9
6,91,6,normal-11,low,diff,normal,high,4,3,B,1,14
7,91,7,normal-2,low,diff,normal,low,1,0,B,1,14
8,91,8,normal-16,low,diff,normal,low,2,1,B,1,6
9,91,9,normal-43,high,diff,normal,high,1,0,B,1,12
10,91,10,normal-33,high,diff,normal,low,2,1,B,1,11
11,91,11,normal-17,low,diff,normal,high,1,0,A,0,5
12,91,12,normal-49,high,diff,normal,low,2,1,A,0,10
13,91,13,normal-5,low,diff,normal,low,1,0,A,0,13
14,91,14,normal-32,high,diff,normal,low,1,0,B,1,11
15,91,15,normal-13,low,diff,normal,high,1,0,B,1,5
16,91,16,normal-21,low,diff,normal,low,1,0,B,1,9
17,91,17,normal-29,low,diff,normal,low,1,0,A,0,14
18,91,18,normal-40,high,diff,normal,low,2,1,A,0,8
19,91,19,normal-25,low,diff,normal,high,1,0,A,0,14
20,91,20,normal-44,high,diff,normal,high,2,1,B,1,8
21,91,21,normal-34,high,diff,normal,high,1,0,A,0,12
22,91,22,normal-30,high,diff,normal,high,2,1,B,1,9
23,91,23,normal-23,low,diff,normal,high,2,1,B,1,14
24,92,0,normal-37,high,same,normal,high,6,2,A,0,9
25,92,1,normal-14,low,same,normal,high,4,1,B,1,13
26,92,2,normal-13,low,same,normal,low,4,1,B,1,5
27,92,3,normal-9,low,same,normal,low,10,1,B,1,12
28,92,4,normal-3,low,same,normal,low,10,1,B,1,12
29,92,5,normal-58,high,same,normal,high,6,1,B,1,12
30,92,6,normal-0,low,same,normal,high,4,1,B,1,14
31,92,7,normal-56,high,same,normal,low,10,3,B,1,10
32,92,8,normal-54,high,same,normal,high,4,1,B,1,7
33,92,9,normal-46,high,same,normal,low,19,2,B,1,6
34,92,10,normal-18,low,same,normal,high,4,1,B,1,10
35,92,11,normal-42,high,same,normal,low,28,2,A,0,5
36,92,12,normal-57,high,same,normal,low,10,1,B,1,13
37,92,13,normal-59,high,same,normal,high,4,1,B,1,12
38,92,14,normal-19,low,same,normal,high,4,1,B,1,13
39,92,15,normal-22,low,same,normal,low,10,2,B,1,14
40,92,16,normal-48,high,same,normal,high,4,1,A,0,9
41,92,17,normal-47,high,same,normal,low,21,3,B,1,13
42,92,18,normal-51,high,same,normal,low,18,2,B,1,12
