,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
1,1,0,0,1,43,12.6,0.63,0.783,0.2,0.37,0.217,27.3,0.06,0.1,10.4,0.94,0.9
2,2,0,0,1,8,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
3,3,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
4,4,0,0,1,17,12.6,0.63,0.7,0.2,0.37,0.3,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,5,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.5,10.4,0.94,0.5
6,6,0,0,1,25,12.6,0.63,0.7,0.2,0.37,0.3,27.3,0.06,0.133,10.4,0.94,0.867
7,7,0,0,1,27,12.6,0.63,0.733,0.2,0.37,0.267,27.3,0.06,0.083,10.4,0.94,0.917
8,8,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
9,9,0,0,1,30,12.6,0.63,0.818,0.2,0.37,0.182,27.3,0.06,0.105,10.4,0.94,0.895
10,10,0,0,1,9,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
11,11,0,0,1,24,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
12,12,0,0,1,16,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.1,10.4,0.94,0.9
13,13,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
14,14,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
15,15,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
