,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,0,61,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.84,0.0,0.2,0.16
1,1,0,0,0,73,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.868,0.0,0.2,0.132
2,2,0,0,0,34,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.714,0.0,0.2,0.286
3,3,0,0,0,35,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.692,0.0,0.2,0.308
4,4,0,0,0,29,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.667,0.0,0.2,0.333
5,5,0,0,0,47,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
6,6,0,0,0,46,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.778,0.0,0.2,0.222
7,7,0,0,0,76,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.9,0.0,0.2,0.1
8,8,0,0,0,26,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.615,0.0,0.2,0.385
9,9,0,0,0,79,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.872,0.0,0.2,0.128
10,10,0,0,0,30,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.667,0.0,0.2,0.333
11,11,0,0,0,95,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.9,0.0,0.2,0.1
12,12,0,0,0,42,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.765,0.0,0.2,0.235
13,13,0,0,0,27,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.636,0.0,0.2,0.364
14,14,0,0,0,68,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.853,0.0,0.2,0.147
15,15,0,0,0,41,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.783,0.0,0.2,0.217
16,16,0,0,0,47,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.812,0.0,0.2,0.188
17,17,0,0,0,48,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.783,0.0,0.2,0.217
18,18,0,0,0,37,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
19,19,0,0,0,15,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.444,0.0,0.2,0.556
20,0,1,0,1,17,3.0,0.25,0.167,0.0,0.75,0.833,4.0,0.2,0.6,0.0,0.8,0.4
21,1,1,0,1,60,3.0,0.25,0.379,0.0,0.75,0.621,4.0,0.2,0.323,0.0,0.8,0.677
22,2,1,0,1,24,3.0,0.25,0.071,0.0,0.75,0.929,4.0,0.2,0.3,0.0,0.8,0.7
23,3,1,0,1,48,3.0,0.25,0.048,0.0,0.75,0.952,4.0,0.2,0.148,0.0,0.8,0.852
24,4,1,0,1,26,3.0,0.25,0.053,0.0,0.75,0.947,4.0,0.2,0.143,0.0,0.8,0.857
25,5,1,0,0,91,3.0,0.25,0.308,0.0,0.75,0.692,4.0,0.2,0.103,0.0,0.8,0.897
26,6,1,0,1,200,3.0,0.25,0.265,0.0,0.75,0.735,4.0,0.2,0.167,0.0,0.8,0.833
27,7,1,0,1,34,3.0,0.25,0.235,0.0,0.75,0.765,4.0,0.2,0.294,0.0,0.8,0.706
28,8,1,0,1,32,3.0,0.25,0.312,0.0,0.75,0.688,4.0,0.2,0.375,0.0,0.8,0.625
29,9,1,0,1,61,3.0,0.25,0.148,0.0,0.75,0.852,4.0,0.2,0.176,0.0,0.8,0.824
30,10,1,0,1,31,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.188,0.0,0.8,0.812
31,11,1,0,1,36,3.0,0.25,0.312,0.0,0.75,0.688,4.0,0.2,0.35,0.0,0.8,0.65
32,12,1,0,1,138,3.0,0.25,0.266,0.0,0.75,0.734,4.0,0.2,0.189,0.0,0.8,0.811
33,13,1,0,0,200,3.0,0.25,0.237,0.0,0.75,0.763,4.0,0.2,0.131,0.0,0.8,0.869
34,14,1,0,1,94,3.0,0.25,0.262,0.0,0.75,0.738,4.0,0.2,0.212,0.0,0.8,0.788
35,15,1,0,1,8,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.75,0.0,0.8,0.25
36,16,1,0,1,23,3.0,0.25,0.143,0.0,0.75,0.857,4.0,0.2,0.333,0.0,0.8,0.667
37,17,1,0,1,9,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.571,0.0,0.8,0.429
38,18,1,0,1,17,3.0,0.25,0.333,0.0,0.75,0.667,4.0,0.2,0.8,0.0,0.8,0.2
39,19,1,0,1,38,3.0,0.25,0.211,0.0,0.75,0.789,4.0,0.2,0.263,0.0,0.8,0.737
40,0,2,0,1,3,-32.0,0.1,0.5,0.0,0.9,0.5,-3.0,1.0,1.0,0.0,0.0,0.0
41,1,2,0,1,15,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
