,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,46,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
1,1,0,0,1,80,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.757,0.0,0.2,0.243
2,2,0,0,1,24,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.909,0.0,0.2,0.091
3,3,0,0,0,69,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.618,0.0,0.2,0.382
4,4,0,0,1,27,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.867,0.0,0.2,0.133
5,5,0,0,1,59,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.781,0.0,0.2,0.219
6,6,0,0,1,30,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.867,0.0,0.2,0.133
7,7,0,0,1,18,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,1.0,0.0,0.2,0.0
8,8,0,0,1,65,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
9,9,0,0,1,25,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.9,0.0,0.2,0.1
10,10,0,0,1,24,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.909,0.0,0.2,0.091
11,11,0,0,0,16,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.444,0.0,0.2,0.556
12,12,0,0,1,26,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.867,0.0,0.2,0.133
13,13,0,0,1,22,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.909,0.0,0.2,0.091
14,14,0,0,1,87,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.75,0.0,0.2,0.25
15,15,0,0,1,29,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.867,0.0,0.2,0.133
16,16,0,0,1,42,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.808,0.0,0.2,0.192
17,17,0,0,0,16,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.286,0.0,0.2,0.714
18,18,0,0,1,26,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.9,0.0,0.2,0.1
19,19,0,0,1,48,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.8,0.8,0.0,0.2,0.2
20,0,1,0,0,54,3.0,0.25,0.286,0.0,0.75,0.714,4.0,0.2,0.115,0.0,0.8,0.885
21,1,1,0,1,82,3.0,0.25,0.298,0.0,0.75,0.702,4.0,0.2,0.286,0.0,0.8,0.714
22,2,1,0,1,18,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.286,0.0,0.8,0.714
23,3,1,0,1,10,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.6,0.0,0.8,0.4
24,4,1,0,0,7,3.0,0.25,1.0,0.0,0.75,0.0,4.0,0.2,0.0,0.0,0.8,1.0
25,5,1,0,1,7,3.0,0.25,0.0,0.0,0.75,1.0,4.0,0.2,0.75,0.0,0.8,0.25
26,6,1,0,1,52,3.0,0.25,0.154,0.0,0.75,0.846,4.0,0.2,0.192,0.0,0.8,0.808
27,7,1,0,1,23,3.0,0.25,0.167,0.0,0.75,0.833,4.0,0.2,0.364,0.0,0.8,0.636
28,8,1,0,1,82,3.0,0.25,0.257,0.0,0.75,0.743,4.0,0.2,0.234,0.0,0.8,0.766
29,9,1,0,1,19,3.0,0.25,0.143,0.0,0.75,0.857,4.0,0.2,0.333,0.0,0.8,0.667
30,10,1,0,1,80,3.0,0.25,0.324,0.0,0.75,0.676,4.0,0.2,0.279,0.0,0.8,0.721
31,11,1,0,0,30,3.0,0.25,0.4,0.0,0.75,0.6,4.0,0.2,0.133,0.0,0.8,0.867
32,12,1,0,1,115,3.0,0.25,0.232,0.0,0.75,0.768,4.0,0.2,0.203,0.0,0.8,0.797
33,13,1,0,1,56,3.0,0.25,0.192,0.0,0.75,0.808,4.0,0.2,0.233,0.0,0.8,0.767
34,14,1,0,0,40,3.0,0.25,0.217,0.0,0.75,0.783,4.0,0.2,0.0,0.0,0.8,1.0
35,15,1,0,0,64,3.0,0.25,0.304,0.0,0.75,0.696,4.0,0.2,0.146,0.0,0.8,0.854
36,16,1,0,1,103,3.0,0.25,0.218,0.0,0.75,0.782,4.0,0.2,0.208,0.0,0.8,0.792
37,17,1,0,0,15,3.0,0.25,0.5,0.0,0.75,0.5,4.0,0.2,0.0,0.0,0.8,1.0
38,18,1,0,0,86,3.0,0.25,0.282,0.0,0.75,0.718,4.0,0.2,0.149,0.0,0.8,0.851
39,19,1,0,1,26,3.0,0.25,0.2,0.0,0.75,0.8,4.0,0.2,0.364,0.0,0.8,0.636
40,0,2,0,1,12,-32.0,0.1,0.25,0.0,0.9,0.75,-3.0,1.0,1.0,0.0,0.0,0.0
41,1,2,0,1,12,-32.0,0.1,0.25,0.0,0.9,0.75,-3.0,1.0,1.0,0.0,0.0,0.0
42,2,2,0,0,9,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
43,3,2,0,0,10,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
44,4,2,0,0,6,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
45,5,2,0,0,9,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
46,6,2,0,0,8,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
47,7,2,0,0,6,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
48,8,2,0,0,5,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
