,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,27,-0.3,0.96,0.833,-2.1,0.04,0.167,-0.3,1.0,1.0,0.0,0.0,0.0
1,1,0,0,1,77,-0.3,0.96,0.952,-2.1,0.04,0.048,-0.3,1.0,1.0,0.0,0.0,0.0
2,2,0,0,1,88,-0.3,0.96,0.962,-2.1,0.04,0.038,-0.3,1.0,1.0,0.0,0.0,0.0
3,3,0,0,1,100,-0.3,0.96,0.98,-2.1,0.04,0.02,-0.3,1.0,1.0,0.0,0.0,0.0
4,4,0,0,1,134,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
5,5,0,0,1,127,-0.3,0.96,0.986,-2.1,0.04,0.014,-0.3,1.0,1.0,0.0,0.0,0.0
6,6,0,0,1,44,-0.3,0.96,0.9,-2.1,0.04,0.1,-0.3,1.0,1.0,0.0,0.0,0.0
7,7,0,0,1,78,-0.3,0.96,0.973,-2.1,0.04,0.027,-0.3,1.0,1.0,0.0,0.0,0.0
8,8,0,0,1,43,-0.3,0.96,0.905,-2.1,0.04,0.095,-0.3,1.0,1.0,0.0,0.0,0.0
9,9,0,0,1,95,-0.3,0.96,0.978,-2.1,0.04,0.022,-0.3,1.0,1.0,0.0,0.0,0.0
10,10,0,0,1,55,-0.3,0.96,0.939,-2.1,0.04,0.061,-0.3,1.0,1.0,0.0,0.0,0.0
11,11,0,0,1,52,-0.3,0.96,0.943,-2.1,0.04,0.057,-0.3,1.0,1.0,0.0,0.0,0.0
12,12,0,0,1,27,-0.3,0.96,0.85,-2.1,0.04,0.15,-0.3,1.0,1.0,0.0,0.0,0.0
13,13,0,0,1,130,-0.3,0.96,1.0,-2.1,0.04,0.0,-0.3,1.0,1.0,0.0,0.0,0.0
14,14,0,0,1,110,-0.3,0.96,0.979,-2.1,0.04,0.021,-0.3,1.0,1.0,0.0,0.0,0.0
15,15,0,0,1,21,-0.3,0.96,0.833,-2.1,0.04,0.167,-0.3,1.0,1.0,0.0,0.0,0.0
16,16,0,0,1,105,-0.3,0.96,0.983,-2.1,0.04,0.017,-0.3,1.0,1.0,0.0,0.0,0.0
17,17,0,0,1,106,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
18,18,0,0,1,78,-0.3,0.96,0.95,-2.1,0.04,0.05,-0.3,1.0,1.0,0.0,0.0,0.0
19,19,0,0,1,99,-0.3,0.96,0.981,-2.1,0.04,0.019,-0.3,1.0,1.0,0.0,0.0,0.0
20,0,1,0,1,120,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
21,1,1,0,1,13,-0.9,0.95,0.667,-4.2,0.05,0.333,-1.0,1.0,1.0,0.0,0.0,0.0
22,2,1,0,1,25,-0.9,0.95,0.818,-4.2,0.05,0.182,-1.0,1.0,1.0,0.0,0.0,0.0
23,3,1,0,1,92,-0.9,0.95,0.981,-4.2,0.05,0.019,-1.0,1.0,1.0,0.0,0.0,0.0
24,4,1,0,1,41,-0.9,0.95,0.944,-4.2,0.05,0.056,-1.0,1.0,1.0,0.0,0.0,0.0
25,5,1,0,1,17,-0.9,0.95,0.818,-4.2,0.05,0.182,-1.0,1.0,1.0,0.0,0.0,0.0
26,6,1,0,1,61,-0.9,0.95,0.971,-4.2,0.05,0.029,-1.0,1.0,1.0,0.0,0.0,0.0
27,7,1,0,1,124,-0.9,0.95,0.985,-4.2,0.05,0.015,-1.0,1.0,1.0,0.0,0.0,0.0
28,8,1,0,1,19,-0.9,0.95,0.8,-4.2,0.05,0.2,-1.0,1.0,1.0,0.0,0.0,0.0
29,9,1,0,1,96,-0.9,0.95,0.979,-4.2,0.05,0.021,-1.0,1.0,1.0,0.0,0.0,0.0
30,10,1,0,1,64,-0.9,0.95,0.969,-4.2,0.05,0.031,-1.0,1.0,1.0,0.0,0.0,0.0
31,11,1,0,1,52,-0.9,0.95,0.964,-4.2,0.05,0.036,-1.0,1.0,1.0,0.0,0.0,0.0
32,12,1,0,1,78,-0.9,0.95,0.973,-4.2,0.05,0.027,-1.0,1.0,1.0,0.0,0.0,0.0
33,13,1,0,1,73,-0.9,0.95,0.956,-4.2,0.05,0.044,-1.0,1.0,1.0,0.0,0.0,0.0
34,14,1,0,1,91,-0.9,0.95,0.98,-4.2,0.05,0.02,-1.0,1.0,1.0,0.0,0.0,0.0
35,15,1,0,1,66,-0.9,0.95,0.973,-4.2,0.05,0.027,-1.0,1.0,1.0,0.0,0.0,0.0
36,16,1,0,1,25,-0.9,0.95,0.9,-4.2,0.05,0.1,-1.0,1.0,1.0,0.0,0.0,0.0
37,17,1,0,1,33,-0.9,0.95,0.933,-4.2,0.05,0.067,-1.0,1.0,1.0,0.0,0.0,0.0
38,18,1,0,1,130,-0.9,0.95,1.0,-4.2,0.05,0.0,-1.0,1.0,1.0,0.0,0.0,0.0
39,19,1,0,1,44,-0.9,0.95,0.941,-4.2,0.05,0.059,-1.0,1.0,1.0,0.0,0.0,0.0
40,0,2,0,0,17,-6.3,0.3,0.429,-15.2,0.7,0.571,-12.2,1.0,1.0,0.0,0.0,0.0
41,1,2,0,0,33,-6.3,0.3,0.2,-15.2,0.7,0.8,-12.2,1.0,1.0,0.0,0.0,0.0
42,2,2,0,0,32,-6.3,0.3,0.222,-15.2,0.7,0.778,-12.2,1.0,1.0,0.0,0.0,0.0
43,3,2,0,0,10,-6.3,0.3,1.0,-15.2,0.7,0.0,-12.2,1.0,1.0,0.0,0.0,0.0
44,4,2,0,0,18,-6.3,0.3,0.4,-15.2,0.7,0.6,-12.2,1.0,1.0,0.0,0.0,0.0
45,5,2,0,0,22,-6.3,0.3,0.3,-15.2,0.7,0.7,-12.2,1.0,1.0,0.0,0.0,0.0
46,6,2,0,0,28,-6.3,0.3,0.214,-15.2,0.7,0.786,-12.2,1.0,1.0,0.0,0.0,0.0
47,7,2,0,0,22,-6.3,0.3,0.375,-15.2,0.7,0.625,-12.2,1.0,1.0,0.0,0.0,0.0
48,8,2,0,0,19,-6.3,0.3,0.333,-15.2,0.7,0.667,-12.2,1.0,1.0,0.0,0.0,0.0
49,9,2,0,0,30,-6.3,0.3,0.222,-15.2,0.7,0.778,-12.2,1.0,1.0,0.0,0.0,0.0
50,10,2,0,0,28,-6.3,0.3,0.214,-15.2,0.7,0.786,-12.2,1.0,1.0,0.0,0.0,0.0
51,11,2,0,0,39,-6.3,0.3,0.15,-15.2,0.7,0.85,-12.2,1.0,1.0,0.0,0.0,0.0
52,12,2,0,0,25,-6.3,0.3,0.25,-15.2,0.7,0.75,-12.2,1.0,1.0,0.0,0.0,0.0
53,13,2,0,0,31,-6.3,0.3,0.235,-15.2,0.7,0.765,-12.2,1.0,1.0,0.0,0.0,0.0
54,14,2,0,0,17,-6.3,0.3,0.429,-15.2,0.7,0.571,-12.2,1.0,1.0,0.0,0.0,0.0
55,15,2,0,0,20,-6.3,0.3,0.333,-15.2,0.7,0.667,-12.2,1.0,1.0,0.0,0.0,0.0
56,16,2,0,0,25,-6.3,0.3,0.294,-15.2,0.7,0.706,-12.2,1.0,1.0,0.0,0.0,0.0
57,17,2,0,0,25,-6.3,0.3,0.273,-15.2,0.7,0.727,-12.2,1.0,1.0,0.0,0.0,0.0
58,18,2,0,0,23,-6.3,0.3,0.286,-15.2,0.7,0.714,-12.2,1.0,1.0,0.0,0.0,0.0
59,19,2,0,0,15,-6.3,0.3,0.444,-15.2,0.7,0.556,-12.2,1.0,1.0,0.0,0.0,0.0
