,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_s,bf_prelec_gamma
0,,,,,,0.5,,,0.5,,,0.35579375433653065,0.10000028549917937
1,,,,,,0.5,,,1,,,7.2638551574568622,1.0729518928311936
2,,,,,,0.5,,,1.5,,,4.0397060320307485,1.1682620785168847
3,,,,,,1,,,0.5,,,0.51387817934605562,0.10000027170932818
4,,,,,,1,,,1,,,0.46990475785572028,1.1599926235346043
5,,,,,,1,,,1.5,,,4.5692175191681361,1.180446015051853
6,,,,,,3,,,0.5,,,5.362471147285806,0.10000000303794804
7,,,,,,3,,,1,,,4.1743041309218345,1.0297629780813535
8,,,,,,3,,,1.5,,,5.4392242775195729,1.4442367312564
9,,,,,,5,,,0.5,,,8.8400366897489775,0.10247981039855854
10,,,,,,5,,,1,,,10.229444166914217,1.0257276643815336
11,,,,,,5,,,1.5,,,5.9424898951886096,1.6130670183001423
