,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_s,bf_prelec_gamma
0,,,,,,0.5,,,0.5,,,0.12254481307420734,0.10000184069991963
1,,,,,,0.5,,,1,,,15.010445642471288,0.44737911224361793
2,,,,,,0.5,,,1.5,,,13.763574218750019,0.25634765624998135
3,,,,,,1,,,0.5,,,0.2537137948475342,0.10000010944887054
4,,,,,,1,,,1,,,42.1004756927491,1.1211658477782454
5,,,,,,1,,,1.5,,,1.128290924501705,2.999999895335745
6,,,,,,3,,,0.5,,,0.65570507111669341,0.10000000858774505
7,,,,,,3,,,1,,,49.999992752866987,1.064636711753169
8,,,,,,3,,,1.5,,,5.1594808999663027,2.9999990563205658
9,,,,,,5,,,0.5,,,0.8629262885790574,0.10000001409931024
10,,,,,,5,,,1,,,49.999929921879428,1.0089097149693584
11,,,,,,5,,,1.5,,,49.99998957199729,2.3868883645752845
