,iteration,success,nllh,k,N,bic,theta,p_stay,prelec_gamma
0,0,True,20908.0606146,3,10000,41843.7522502,1,0.999999930379,1.29958948024
1,0,True,27789.3473066,3,10000,55606.3256343,2,0.907955568842,0.848392808351
2,0,True,59500.1395621,3,10000,119027.910145,3,0.156279546531,0.865863385003
3,0,True,92959.3003912,3,10000,185946.231803,4,0.195476528878,0.899888619095
4,0,True,175159.547174,3,10000,350346.725368,5,1.0,4.5390353899
5,0,True,174844.035685,3,10000,349715.702392,6,0.999999999996,4.48911970517
6,0,True,175150.262518,3,10000,350328.156057,7,0.999999992219,4.35744617325
7,0,True,175331.413851,3,10000,350690.458724,8,0.99999998781,4.68334597729
8,0,True,116233.14409,3,10000,232493.919201,9,0.00711826391304,1.73678933851
9,0,True,175332.106801,3,10000,350691.844624,10,1.0,4.49312772996
