,iteration,success,nllh,k,N,bic,theta,p_stay
0,0,True,22345.94845,2,6000,44709.2959295,1,0.892566014121
1,0,True,21544.7025706,2,6000,43106.8041706,2,0.623852285152
2,0,True,24587.0323238,2,6000,49191.4636771,3,0.303795984294
3,0,True,29812.0565386,2,6000,59641.5121066,4,0.134864482947
4,0,True,36147.9525575,2,6000,72313.3041444,5,0.0738384878817
5,0,True,43015.8977448,2,6000,86049.1945191,6,0.0514895895281
6,0,True,48953.2736839,2,6000,97923.9463972,7,0.0480384616122
7,0,True,53206.4302611,2,6000,106430.259552,8,0.0396921814715
8,0,True,56628.261729,2,6000,113273.922488,9,0.0399015560716
9,0,True,59272.5340586,2,6000,118562.467147,10,0.0345594979892
