,iteration,success,nllh,k,N,bic,theta,p_stay
0,0,True,12054.7878069,2,6000,24126.9746433,1,0.527178465666
1,0,True,12117.063349,2,6000,24251.5257274,2,0.144726651362
2,0,True,33951.7255549,2,6000,67920.8501392,3,0.0543431182909
3,0,True,55732.8973485,2,6000,111483.193726,4,0.0500180981827
4,0,True,63692.896523,2,6000,127403.192076,5,0.0481008256811
5,0,True,67534.4175712,2,6000,135086.234172,6,0.0410224009545
6,0,True,69953.7466519,2,6000,139924.892333,7,0.0366750148653
7,0,True,71542.8610697,2,6000,143103.121169,8,0.0340619012541
8,0,True,72564.5409676,2,6000,145146.480965,9,0.0373215800083
9,0,True,73359.7869101,2,6000,146736.97285,10,0.0321323514109
10,1,True,12054.7878079,2,6000,24126.9746454,1,0.527191419646
11,1,True,12117.0633183,2,6000,24251.5256662,2,0.144780219835
12,1,True,33951.72548,2,6000,67920.8499896,3,0.0542986465511
13,1,True,55732.8973646,2,6000,111483.193759,4,0.0500871164621
14,1,True,63692.8965234,2,6000,127403.192076,5,0.0481006928424
15,1,True,67534.4175565,2,6000,135086.234143,6,0.0409993426919
16,1,True,69953.7466362,2,6000,139924.892302,7,0.0367373305348
17,1,True,71542.8610684,2,6000,143103.121166,8,0.0340818645695
18,1,True,72564.5409579,2,6000,145146.480945,9,0.0373271658794
19,1,True,73359.7869229,2,6000,146736.972875,10,0.0321517552708
20,2,True,12054.787808,2,6000,24126.9746454,1,0.527191482361
21,2,True,12117.063369,2,6000,24251.5257676,2,0.14480099708
22,2,True,33951.7254611,2,6000,67920.8499518,3,0.0543031949133
23,2,True,55732.8973448,2,6000,111483.193719,4,0.0500186787893
24,2,True,63692.896499,2,6000,127403.192027,5,0.0481175330468
25,2,True,67534.4175561,2,6000,135086.234142,6,0.0409999640184
26,2,True,69953.746676,2,6000,139924.892382,7,0.0367474993726
27,2,True,71542.861069,2,6000,143103.121167,8,0.0340824390526
28,2,True,72564.5409557,2,6000,145146.480941,9,0.0373286071486
29,2,True,73359.7869158,2,6000,146736.972861,10,0.032112459919
30,3,True,12054.7878571,2,6000,24126.9747437,1,0.527228188907
31,3,True,12117.0633059,2,6000,24251.5256413,2,0.144769597131
32,3,True,33951.7255556,2,6000,67920.8501407,3,0.054287053187
33,3,True,55732.8972816,2,6000,111483.193593,4,0.050071758882
34,3,True,63692.8964999,2,6000,127403.192029,5,0.0481236374585
35,3,True,67534.4175645,2,6000,135086.234158,6,0.0410187297373
36,3,True,69953.7466144,2,6000,139924.892258,7,0.0367298408815
37,3,True,71542.8610859,2,6000,143103.121201,8,0.034051013717
38,3,True,72564.5409372,2,6000,145146.480904,9,0.0373485843067
39,3,True,73359.7869099,2,6000,146736.972849,10,0.0321310519785
40,4,True,12054.7878116,2,6000,24126.9746527,1,0.527197833748
41,4,True,12117.0633041,2,6000,24251.5256378,2,0.144766716908
42,4,True,33951.7254486,2,6000,67920.8499267,3,0.0543075945772
43,4,True,55732.8972607,2,6000,111483.193551,4,0.0500372965814
44,4,True,63692.8965387,2,6000,127403.192107,5,0.0480955473052
45,4,True,67534.4175631,2,6000,135086.234156,6,0.0410178285501
46,4,True,69953.7465993,2,6000,139924.892228,7,0.0366942406022
47,4,True,71542.8610661,2,6000,143103.121162,8,0.0340667001125
48,4,True,72564.5409368,2,6000,145146.480903,9,0.0373499356329
49,4,True,73359.7869116,2,6000,146736.972853,10,0.0321373134427
