,iteration,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,msd_cp_mn,msd_ss_mn
0,0.0,0.56,1.90833333333,1.0,0.0,0.001,0.54005,2.0,1.0,0.561075489342,,0.0217864588889,24.9751851852
0,1.0,0.55,2.00833333333,1.0,0.0,0.001,0.54005,2.0,1.0,0.58735558136,,0.0217864588889,24.9751851852
0,2.0,0.543333333333,1.96666666667,1.0,0.0,0.001,0.54005,2.0,1.0,0.592701190839,,0.0217864588889,24.9751851852
0,3.0,0.553333333333,2.03333333333,1.0,0.0,0.001,0.54005,2.0,1.0,0.595957851622,,0.0217864588889,24.9751851852
0,4.0,0.571666666667,1.85833333333,1.0,0.0,0.001,0.54005,2.0,1.0,0.572945855634,,0.0217864588889,24.9751851852
0,0.0,0.555,1.94166666667,1.0,0.0,0.3,0.54005,2.0,1.0,0.572631418341,,0.0217864588889,24.9751851852
0,1.0,0.543333333333,1.88333333333,1.0,0.0,0.3,0.54005,2.0,1.0,0.578978600312,,0.0217864588889,24.9751851852
0,2.0,0.58,1.85833333333,1.0,0.0,0.3,0.54005,2.0,1.0,0.574476686432,,0.0217864588889,24.9751851852
0,3.0,0.555,1.86666666667,1.0,0.0,0.3,0.54005,2.0,1.0,0.572662854651,,0.0217864588889,24.9751851852
0,4.0,0.546666666667,1.925,1.0,0.0,0.3,0.54005,2.0,1.0,0.587619663605,,0.0217864588889,24.9751851852
0,0.0,0.575,1.66666666667,1.0,0.0,0.6,0.54005,2.0,1.0,0.546822154931,,0.0217864588889,24.9751851852
0,1.0,0.543333333333,1.775,1.0,0.0,0.6,0.54005,2.0,1.0,0.551555682862,,0.0217864588889,24.9751851852
0,2.0,0.51,1.88333333333,1.0,0.0,0.6,0.54005,2.0,1.0,0.582446113196,,0.0217864588889,24.9751851852
0,3.0,0.553333333333,1.675,1.0,0.0,0.6,0.54005,2.0,1.0,0.544779533602,,0.0217864588889,24.9751851852
0,4.0,0.558333333333,1.95833333333,1.0,0.0,0.6,0.54005,2.0,1.0,0.58820299789,,0.0217864588889,24.9751851852
0,0.0,0.616666666667,10.2,3.0,0.0,0.001,0.628566666667,9.98333333333,4.0,0.0244040630203,,0.0217864588889,24.9751851852
0,1.0,0.64,10.0583333333,3.0,0.0,0.001,0.628566666667,10.3666666667,4.0,0.0257747102292,,0.0217864588889,24.9751851852
0,2.0,0.595,9.13333333333,3.0,0.0,0.001,0.628566666667,10.5,4.0,0.0302281142609,,0.0217864588889,24.9751851852
0,3.0,0.626666666667,10.1666666667,3.0,0.0,0.001,0.628566666667,10.4833333333,4.0,0.0268391736948,,0.0217864588889,24.9751851852
0,4.0,0.625,9.375,3.0,0.0,0.001,0.628566666667,10.1833333333,4.0,0.0252899814628,,0.0217864588889,24.9751851852
0,0.0,0.615,8.93333333333,3.0,0.0,0.3,0.599,8.0,3.0,0.32407338142,,0.0217864588889,24.9751851852
0,1.0,0.583333333333,8.91666666667,3.0,0.0,0.3,0.599,8.5,3.0,0.339822739408,,0.0217864588889,24.9751851852
0,2.0,0.636666666667,9.675,3.0,0.0,0.3,0.628566666667,9.93333333333,4.0,0.0127429559932,,0.0217864588889,24.9751851852
0,3.0,0.616666666667,9.43333333333,3.0,0.0,0.3,0.599,8.56666666667,3.0,0.355903408358,,0.0217864588889,24.9751851852
0,4.0,0.618333333333,9.275,3.0,0.0,0.3,0.628566666667,9.96666666667,4.0,0.0192609295899,,0.0217864588889,24.9751851852
0,0.0,0.585,8.64166666667,3.0,0.0,0.6,0.599,8.0,3.0,0.29717841691,,0.0217864588889,24.9751851852
0,1.0,0.606666666667,8.8,3.0,0.0,0.6,0.599,7.96666666667,3.0,0.287619813539,,0.0217864588889,24.9751851852
0,2.0,0.608333333333,8.69166666667,3.0,0.0,0.6,0.599,8.0,3.0,0.300574300175,,0.0217864588889,24.9751851852
0,3.0,0.618333333333,8.14166666667,3.0,0.0,0.6,0.599,8.0,3.0,0.292233210905,,0.0217864588889,24.9751851852
0,4.0,0.628333333333,8.68333333333,3.0,0.0,0.6,0.599,8.0,3.0,0.297510499227,,0.0217864588889,24.9751851852
0,0.0,0.688333333333,21.5166666667,5.0,0.0,0.001,0.679833333333,23.0666666667,6.0,0.029155670563,,0.0217864588889,24.9751851852
0,1.0,0.691666666667,23.125,5.0,0.0,0.001,0.679833333333,22.2166666667,6.0,0.00434746176928,,0.0217864588889,24.9751851852
0,2.0,0.683333333333,23.0916666667,5.0,0.0,0.001,0.679833333333,22.2166666667,6.0,0.00368282952959,,0.0217864588889,24.9751851852
0,3.0,0.678333333333,22.7333333333,5.0,0.0,0.001,0.679833333333,22.8666666667,6.0,0.015482818805,,0.0217864588889,24.9751851852
