,iteration,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,msd_cp_mn,msd_ss_mn
0,0.0,0.55,2.09166666667,1.0,0.0,0.001,0.54005,2.0,1.0,0.604739958003,,0.0226668777778,66.1631481481
0,1.0,0.568333333333,2.06666666667,1.0,0.0,0.001,0.54005,2.0,1.0,0.590708372087,,0.0226668777778,66.1631481481
0,2.0,0.513333333333,2.10833333333,1.0,0.0,0.001,0.54005,2.0,1.0,0.591580254116,,0.0226668777778,66.1631481481
0,3.0,0.545,2.075,1.0,0.0,0.001,0.54005,2.0,1.0,0.601820723396,,0.0226668777778,66.1631481481
0,4.0,0.555,2.1,1.0,0.0,0.001,0.54005,2.0,1.0,0.608365289843,,0.0226668777778,66.1631481481
0,0.0,0.581666666667,2.95833333333,1.0,0.3,0.001,0.5687,3.0,2.0,0.0548157714741,,0.0226668777778,66.1631481481
0,1.0,0.56,2.9,1.0,0.3,0.001,0.5687,3.0,2.0,0.061768842302,,0.0226668777778,66.1631481481
0,2.0,0.556666666667,2.75,1.0,0.3,0.001,0.54005,2.0,1.0,0.702388822095,,0.0226668777778,66.1631481481
0,3.0,0.59,2.86666666667,1.0,0.3,0.001,0.54005,3.0,1.0,0.726036095147,,0.0226668777778,66.1631481481
0,4.0,0.565,2.75,1.0,0.3,0.001,0.5687,3.0,2.0,0.0355864619952,,0.0226668777778,66.1631481481
0,0.0,0.596666666667,5.50833333333,1.0,0.6,0.001,0.5687,5.0,2.0,0.471937916031,,0.0226668777778,66.1631481481
0,1.0,0.556666666667,4.94166666667,1.0,0.6,0.001,0.5687,4.5,2.0,0.437633093668,,0.0226668777778,66.1631481481
0,2.0,0.546666666667,5.05,1.0,0.6,0.001,0.54005,5.0,1.0,0.844342984299,,0.0226668777778,66.1631481481
