,iteration,success,nllh,k,N,bic,theta,prelec_gamma
0,0,True,14238.5234589,2,6000,28494.4459473,1,0.692755276311
1,0,True,14538.7918892,2,6000,29094.982808,2,0.688695258339
2,0,True,18791.3150214,2,6000,37600.0290723,3,0.606704815809
3,0,True,23086.0178203,2,6000,46189.4346702,4,0.606704208445
4,0,True,27324.3580591,2,6000,54666.1151477,5,0.606704826205
5,0,True,31524.614525,2,6000,63066.6280795,6,0.606703342518
6,0,True,35704.3730177,2,6000,71426.1450649,7,0.606705009984
7,0,True,40146.0520584,2,6000,80309.5031462,8,0.965221098493
8,0,True,44031.2595619,2,6000,88079.9181534,9,0.606703785871
9,0,True,48472.7928248,2,6000,96962.9846791,10,0.97016559919
