,iteration,success,nllh,k,N,bic,theta,prelec_gamma
0,0,True,12741.8302593,2,2000,25498.8623235,1,1.90090480157
1,0,True,10379.5068992,2,2000,20774.2156034,2,0.372291446374
2,0,True,9917.14331144,2,2000,19849.4884278,3,1.1131683787
3,0,True,13953.8206466,2,2000,27922.8430982,4,1.0257383566
4,0,True,18367.8538555,2,2000,36750.9095159,5,0.91881938276
5,0,True,20859.7189843,2,2000,41734.6397736,6,0.761341075119
6,0,True,22065.1654625,2,2000,44145.5327299,7,0.742392239934
7,0,True,22724.7746233,2,2000,45464.7510514,8,0.694771172714
8,0,True,23183.2497394,2,2000,46381.7012837,9,0.566772122123
9,0,True,23449.3470323,2,2000,46913.8958695,10,0.464543945151
