,iteration,success,nllh,k,N,bic,theta,sc
0,0,True,107297.129413,2,20000,214614.065802,1,7.74229224091
1,0,True,58498.5965551,2,20000,117017.000085,2,3.96691208665
2,0,True,70930.0791425,2,20000,141879.96526,3,2.97235537853
3,0,True,98919.7893293,2,20000,197859.385634,4,2.33773930209
4,0,True,170079.975339,2,20000,340179.757653,5,0.0237490768439
5,0,True,164099.815237,2,20000,328219.43745,6,1.0216514707
6,0,True,189899.849144,2,20000,379819.505262,7,0.971372468514
7,0,True,204486.032312,2,20000,408991.871598,8,0.830083164259
8,0,True,215131.931631,2,20000,430283.670237,9,0.928850931204
9,0,True,220977.252663,2,20000,441974.312301,10,0.804959600874
