,iteration,success,nllh,k,N,bic,theta,tau
0,0,False,39536.6521349,2,6000,79090.7032992,1,
1,0,True,23315.0830855,2,6000,46647.5652005,2,0.61063397981
2,0,True,19302.1018921,2,6000,38621.6028137,3,0.720324655712
3,0,True,19868.76075,2,6000,39754.9205295,4,0.979763432184
4,0,True,21020.1113065,2,6000,42057.6216424,5,0.999999245978
5,0,True,22050.696379,2,6000,44118.7917876,6,0.999999764295
6,0,True,23005.5382875,2,6000,46028.4756044,7,0.999999851235
7,0,True,23846.203673,2,6000,47709.8063754,8,0.999999941774
8,0,True,24589.1126422,2,6000,49195.6243139,9,0.999999870515
9,0,True,25252.2693974,2,6000,50521.9378244,10,0.999999926713
