,iteration,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,msd_cp_mn,msd_ss_mn
0,0.0,0.588333333333,1.95833333333,1.0,0.0,0.001,0.56685,2.0,2.0,,0.739664135867,0.0227823,21.6811111111
0,1.0,0.606666666667,1.925,1.0,0.0,0.001,0.567383333333,2.0,2.0,,0.658295270859,0.0227823,21.6811111111
0,2.0,0.558333333333,1.98333333333,1.0,0.0,0.001,0.56735,2.0,2.0,,0.676455521476,0.0227823,21.6811111111
0,3.0,0.54,1.98333333333,1.0,0.0,0.001,0.567066666667,2.0,2.0,,0.714575824515,0.0227823,21.6811111111
0,4.0,0.591666666667,2.05833333333,1.0,0.0,0.001,0.56685,2.0,2.0,,0.744816365186,0.0227823,21.6811111111
0,0.0,0.543333333333,1.94166666667,1.0,0.0,0.3,0.566516666667,2.0,2.0,,0.804339385124,0.0227823,21.6811111111
0,1.0,0.555,1.90833333333,1.0,0.0,0.3,0.56665,2.0,2.0,,0.782016626567,0.0227823,21.6811111111
0,2.0,0.558333333333,1.94166666667,1.0,0.0,0.3,0.56735,2.0,2.0,,0.676480134069,0.0227823,21.6811111111
0,3.0,0.518333333333,2.11666666667,1.0,0.0,0.3,0.566816666667,2.0,2.0,,0.755216051638,0.0227823,21.6811111111
0,4.0,0.548333333333,1.79166666667,1.0,0.0,0.3,0.5665,2.0,2.0,,0.810035530094,0.0227823,21.6811111111
0,0.0,0.548333333333,1.90833333333,1.0,0.0,0.6,0.566883333333,2.0,2.0,,0.734558603227,0.0227823,21.6811111111
0,1.0,0.531666666667,1.76666666667,1.0,0.0,0.6,0.56585,2.0,2.0,,0.928588635086,0.0227823,21.6811111111
0,2.0,0.545,1.775,1.0,0.0,0.6,0.566416666667,2.0,2.0,,0.815787479972,0.0227823,21.6811111111
0,3.0,0.523333333333,1.875,1.0,0.0,0.6,0.566516666667,2.0,2.0,,0.804367573446,0.0227823,21.6811111111
0,4.0,0.523333333333,1.99166666667,1.0,0.0,0.6,0.566366666667,2.0,2.0,,0.827469020078,0.0227823,21.6811111111
0,0.0,0.661666666667,9.76666666667,3.0,0.0,0.001,0.63285,10.5,4.0,,0.389824694173,0.0227823,21.6811111111
0,1.0,0.61,10.3333333333,3.0,0.0,0.001,0.632566666667,10.5,4.0,,0.399912699741,0.0227823,21.6811111111
0,2.0,0.65,9.98333333333,3.0,0.0,0.001,0.631883333333,10.5,4.0,,0.416054549219,0.0227823,21.6811111111
