,iteration,success,nllh,k,N,bic,theta,p_stay,prelec_gamma
0,0,True,35385.0128462,3,6000,70796.1242367,1,0.985800129225,0.881072858538
1,0,True,35115.2777235,3,6000,70256.6539912,2,0.950449640297,0.953995547794
2,0,True,34878.0716912,3,6000,69782.2419266,3,0.891258211758,0.990130185568
3,0,True,34655.123429,3,6000,69336.3454022,4,0.808624596233,1.0103193462
4,0,True,34484.6138939,3,6000,68995.3263321,5,0.704636164022,1.02254416052
5,0,True,34382.0266294,3,6000,68790.151803,6,0.582041918897,1.03072197528
6,0,True,34347.6519166,3,6000,68721.4023774,7,0.443148084187,1.03593940125
7,0,True,34376.4760192,3,6000,68779.0505827,8,0.291122837732,1.04047588481
8,0,True,34461.9359063,3,6000,68949.9703569,9,0.129497751152,1.04354116117
9,0,True,34617.9063697,3,6000,69261.9112837,10,0.0127382561275,1.04436609521
