,iteration,success,nllh,k,N,bic,theta,prelec_gamma,tau
0,0,True,73046.9849987,3,6000,146120.068542,1,1.03904096589,
1,0,True,53813.2103776,3,6000,107652.519299,2,1.04027054754,0.50091630875
2,0,True,39801.8634616,3,6000,79629.8254675,3,1.05881240776,0.334925305324
3,0,True,33288.7615565,3,6000,66603.6216573,4,1.06017950962,0.358522982243
4,0,True,30639.7805212,3,6000,61305.6595866,5,1.05178916145,0.374070740664
5,0,True,30082.4644774,3,6000,60191.027499,6,1.05415179588,0.47318071793
6,0,True,30318.3324569,3,6000,60662.763458,7,1.05269572216,0.590934649238
7,0,True,30907.668746,3,6000,61841.4360362,8,1.05208184312,0.749546355743
8,0,True,31512.9099504,3,6000,63051.918445,9,1.04996401773,0.873008106437
9,0,True,32058.7857511,3,6000,64143.6700464,10,1.04744361037,0.971566909438
