,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_s,bf_prelec_gamma,bf_theta
0,,,,,,1,,,0.6,,,,0.593226069907,1.4803157813
1,,,,,,1,,,1,,,,1.0110143229599999,1.09872833708
2,,,,,,1,,,1.4,,,,1.3858335322799999,1.11252688147
3,,,,,,2,,,0.6,,,,0.59904579994499996,1.99911605772
4,,,,,,2,,,1,,,,0.99997943240199993,2.00141097295
5,,,,,,2,,,1.4,,,,1.4000166613299998,1.99975221076
6,,,,,,3,,,0.6,,,,0.59990484494899998,3.0034523433
7,,,,,,3,,,1,,,,1.00004692028,3.00129580343
8,,,,,,3,,,1.4,,,,1.4010893564500002,3.0047962897
9,,,,,,4,,,0.6,,,,0.60017481639399994,3.99881945134
10,,,,,,4,,,1,,,,1.0003938855600001,4.00613657109
11,,,,,,4,,,1.4,,,,1.3988790476299997,3.99648703674
12,,,,,,5,,,0.6,,,,0.60004063328400004,4.99650510919
13,,,,,,5,,,1,,,,0.99987386197500006,4.99448338574
14,,,,,,5,,,1.4,,,,1.3996580919400001,4.99724814618
15,,,,,,7,,,0.6,,,,0.59890332469700003,7.03473354604
16,,,,,,7,,,1,,,,1.0007368717,7.02158328543
17,,,,,,7,,,1.4,,,,1.40023876852,7.00052786619
18,,,,,,9,,,0.6,,,,0.600044220543,9.00641114361
19,,,,,,9,,,1,,,,0.99948680326100003,8.97176221496
20,,,,,,9,,,1.4,,,,1.4014816298100001,9.02861436559
