,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,1,0.6,,,,0.42699264672499998,0.78573777390699995
1,,0,,,,1,1,,,,0.50341991576300005,1.1366639546600001
2,,0,,,,1,1.4,,,,0.40458118638999996,1.41561309068
3,,0,,,,2,0.6,,,,0.44955404008799998,0.82414516658500003
4,,0,,,,2,1,,,,0.50562242022699999,1.0541366620899999
5,,0,,,,2,1.4,,,,0.44490648545299999,1.2186046913299999
6,,0,,,,3,0.6,,,,0.52953687227599999,0.78382170591100009
7,,0,,,,3,1,,,,0.51742498479800003,1.0233745816399999
8,,0,,,,3,1.4,,,,0.46472766067500004,1.24111956791
9,,0,,,,4,0.6,,,,0.63526583898800004,0.8907471499420001
10,,0,,,,4,1,,,,0.56834622955300007,1.0640914886299999
11,,0,,,,4,1.4,,,,0.550710370206,1.3432563611500001
12,,0,,,,5,0.6,,,,0.66901361581300001,0.74614431149900007
13,,0,,,,5,1,,,,0.64907227747100005,1.07655540932
14,,0,,,,5,1.4,,,,0.72748857980100001,1.45319295194
15,,0,,,,7,0.6,,,,0.68382105314899999,0.70084083220899995
16,,0,,,,7,1,,,,0.65627193041999998,1.10432787669
17,,0,,,,7,1.4,,,,0.71456987356000001,1.4329292245200003
18,,0,,,,9,0.6,,,,0.80910266561999988,0.63573036263299998
19,,0,,,,9,1,,,,0.84699284043199996,1.0115700485500001
20,,0,,,,9,1.4,,,,1.12451301807,1.3821820782799998
21,,0,,,,15,0.6,,,,1.04024885813,0.57198124361000002
22,,0,,,,15,1,,,,1.0405656658,1.0646882251100001
23,,0,,,,15,1.4,,,,1.43635299688,1.4010790549599998
24,,1,,,,1,0.6,,,,0.45839165089199996,0.85870618616400007
25,,1,,,,1,1,,,,0.54953842283600007,1.0351885813899999
26,,1,,,,1,1.4,,,,0.34513858405999998,1.5579584441700001
27,,1,,,,2,0.6,,,,0.50201277241599995,0.82300400688099995
28,,1,,,,2,1,,,,0.54117630896799995,1.0265680821900001
29,,1,,,,2,1.4,,,,0.40188754527699999,1.3291723284200001
30,,1,,,,3,0.6,,,,0.56064899503599996,0.84774161172900009
31,,1,,,,3,1,,,,0.49588864708999997,1.0018341633299999
32,,1,,,,3,1.4,,,,0.46859006734600001,1.2866578318599999
33,,1,,,,4,0.6,,,,0.53248105906199994,0.73992606736399991
34,,1,,,,4,1,,,,0.61252731604300004,1.0817152889700001
35,,1,,,,4,1.4,,,,0.51275851767199998,1.41248406141
36,,1,,,,5,0.6,,,,0.58017293020400007,0.79761500495900006
37,,1,,,,5,1,,,,0.61032504698700007,1.0446626751200001
38,,1,,,,5,1.4,,,,0.63818282616700006,1.3916135112200001
39,,1,,,,7,0.6,,,,0.71149677395699995,0.65179438626599995
40,,1,,,,7,1,,,,0.68860686786300007,1.07585670423
41,,1,,,,7,1.4,,,,0.84727458069600003,1.4446176042899999
42,,1,,,,9,0.6,,,,0.84510607722100006,0.66153506337500001
43,,1,,,,9,1,,,,0.94396833942399994,1.06165421091
44,,1,,,,9,1.4,,,,0.93110282340000006,1.4570912934600002
45,,1,,,,15,0.6,,,,1.0488191865500001,0.60641769242999999
46,,1,,,,15,1,,,,1.8418238031799998,1.0061741268100002
47,,1,,,,15,1.4,,,,1.5415949155500002,1.4721006952700002
48,,2,,,,1,0.6,,,,0.42255620225999996,0.85739101259600004
49,,2,,,,1,1,,,,0.481221229242,1.02339078611
50,,2,,,,1,1.4,,,,0.39938978877999998,1.4989353980899998
51,,2,,,,2,0.6,,,,0.47437360457900002,0.94753848652999995
52,,2,,,,2,1,,,,0.48426611285499999,1.00193970456
53,,2,,,,2,1.4,,,,0.42277793373299999,1.3792611307499998
54,,2,,,,3,0.6,,,,0.54455296103899997,0.80282224549100001
55,,2,,,,3,1,,,,0.52645781159399996,0.97294404411599988
56,,2,,,,3,1.4,,,,0.41457495421200002,1.2465260148299999
57,,2,,,,4,0.6,,,,0.49617690015499999,0.74170963301100001
58,,2,,,,4,1,,,,0.55130358060200002,1.08739307135
59,,2,,,,4,1.4,,,,0.523739865262,1.4356052551700003
60,,2,,,,5,0.6,,,,0.58823073637199996,0.73157472554299996
61,,2,,,,5,1,,,,0.62643996550300007,1.0933534148799999
62,,2,,,,5,1.4,,,,0.69731184164100002,1.45327807754
63,,2,,,,7,0.6,,,,0.69786591264099995,0.65936220709100002
64,,2,,,,7,1,,,,0.71997676864099991,1.18630421131
65,,2,,,,7,1.4,,,,0.86138887429900002,1.37456551502
66,,2,,,,9,0.6,,,,0.85878316886299999,0.57481728566699997
67,,2,,,,9,1,,,,0.79507153148800003,1.00407494327
68,,2,,,,9,1.4,,,,1.0617219306999999,1.3938752086000001
69,,2,,,,15,0.6,,,,1.2059703233000001,0.56287172341300007
70,,2,,,,15,1,,,,1.8751428665700001,1.02813561483
71,,2,,,,15,1.4,,,,1.5266799235600002,1.4493894991999998
72,,3,,,,1,0.6,,,,0.42248456648599997,0.88365486549999994
73,,3,,,,1,1,,,,0.48878095625600004,1.01973291449
74,,3,,,,1,1.4,,,,0.37828075643600001,1.4057687005599999
75,,3,,,,2,0.6,,,,0.475391468235,0.81927461503199994
76,,3,,,,2,1,,,,0.51371134200900004,1.05309554662
77,,3,,,,2,1.4,,,,0.44106544466000008,1.2939169453299999
78,,3,,,,3,0.6,,,,0.58578755924500003,0.87075405787100002
79,,3,,,,3,1,,,,0.56712203880599998,1.1065920286599999
80,,3,,,,3,1.4,,,,0.49191985164599999,1.2573354899299998
81,,3,,,,4,0.6,,,,0.51775112194299999,0.77072198232400002
82,,3,,,,4,1,,,,0.60505440294200008,1.064411357
83,,3,,,,4,1.4,,,,0.56978652649999995,1.42880246852
84,,3,,,,5,0.6,,,,0.53777709810599994,0.62175839923600007
85,,3,,,,5,1,,,,0.71315132920699997,1.12442712572
86,,3,,,,5,1.4,,,,0.67554252836000006,1.36701736645
87,,3,,,,7,0.6,,,,0.72387095656699996,0.72830904689500009
88,,3,,,,7,1,,,,0.66133160983499995,1.0870980878600001
89,,3,,,,7,1.4,,,,0.91532607995800008,1.3589292233700001
90,,3,,,,9,0.6,,,,0.79549703053200005,0.65132005462200004
91,,3,,,,9,1,,,,0.81647054136499997,1.0414018892899999
92,,3,,,,9,1.4,,,,1.0818473744299999,1.4097450416699999
93,,3,,,,15,0.6,,,,1.1139722164799999,0.55179602398700001
94,,3,,,,15,1,,,,1.0850266844100001,1.0044200168000001
95,,3,,,,15,1.4,,,,1.7690995161900003,1.39519176115
96,,4,,,,1,0.6,,,,0.42751931432899998,0.90473727737499998
97,,4,,,,1,1,,,,0.54354174920499998,1.0606626779100001
98,,4,,,,1,1.4,,,,0.40283408133100002,1.4434450559000001
99,,4,,,,2,0.6,,,,0.50047451030199996,0.79891896252200012
100,,4,,,,2,1,,,,0.51536198934499999,1.0330178734200002
101,,4,,,,2,1.4,,,,0.4442930531,1.32604826385
102,,4,,,,3,0.6,,,,0.529167469291,0.85470588917699997
103,,4,,,,3,1,,,,0.56328605831599998,1.0340949660500001
104,,4,,,,3,1.4,,,,0.41458950154399998,1.3792177130700001
105,,4,,,,4,0.6,,,,0.57935482596400001,0.872075602999
106,,4,,,,4,1,,,,0.63528001670900003,1.14255408542
107,,4,,,,4,1.4,,,,0.50423734028900002,1.48702494911
108,,4,,,,5,0.6,,,,0.56022030716100002,0.78118514353799995
109,,4,,,,5,1,,,,0.60031656066100003,1.0868219940799999
110,,4,,,,5,1.4,,,,0.69586677674999997,1.4315431578600002
111,,4,,,,7,0.6,,,,0.70818102462200005,0.67859141243999999
112,,4,,,,7,1,,,,0.66041666269999999,1.05392264609
113,,4,,,,7,1.4,,,,0.84439785619700003,1.46653039601
114,,4,,,,9,0.6,,,,0.98565093966100004,0.62926674582800002
115,,4,,,,9,1,,,,0.79363449555199994,1.0681916123699999
116,,4,,,,9,1.4,,,,1.12947030312,1.4187428121799999
117,,4,,,,15,0.6,,,,1.0210078568400001,0.590923414097
118,,4,,,,15,1,,,,1.02852831281,0.97314226431399997
