,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,1,0.6,,,,0.47940047805000002,0.0100000000001
1,,0,,,,1,1,,,,0.51191178456300002,0.34292324456999995
2,,0,,,,1,1.4,,,,0.58131346950000007,1.3554759384799999
3,,0,,,,2,0.6,,,,0.44414631608800004,0.139783752861
4,,0,,,,2,1,,,,0.53340472452099996,0.23704146505199999
5,,0,,,,2,1.4,,,,0.62489797428000005,1.13127480926
6,,0,,,,3,0.6,,,,0.43218275266900003,0.17950224160799999
7,,0,,,,3,1,,,,0.53021494580499995,0.58731258865000002
8,,0,,,,3,1.4,,,,0.56590681370100004,1.11074419931
9,,0,,,,4,0.6,,,,0.44045897945399998,0.63674551706000004
10,,0,,,,4,1,,,,0.59190457263499996,0.973083059709
11,,0,,,,4,1.4,,,,0.65916338939599994,1.11351420259
12,,0,,,,5,0.6,,,,0.48677462360099999,0.43859291433799996
13,,0,,,,5,1,,,,0.70361109187699999,1.1953069465000001
14,,0,,,,5,1.4,,,,0.64506203224799996,1.9454088580700002
15,,0,,,,7,0.6,,,,0.55802075835499998,0.68906782527300003
16,,0,,,,7,1,,,,0.75250333179399997,0.93144975128800001
17,,0,,,,7,1.4,,,,0.76331610165000008,1.28296442638
18,,0,,,,9,0.6,,,,0.76973589368899997,0.57985341515800004
19,,0,,,,9,1,,,,1.2672860376100001,0.95617162432600011
20,,0,,,,9,1.4,,,,0.66521743745100004,1.4872060415499999
21,,0,,,,15,0.6,,,,1.6233870105599999,0.511311390664
22,,0,,,,15,1,,,,1.8783314893700001,0.93757139646300003
23,,0,,,,15,1.4,,,,0.95851045424899994,1.45121460391
24,,1,,,,1,0.6,,,,0.508974132405,0.85834764619299997
25,,1,,,,1,1,,,,0.49592718143299996,0.0622003008747
26,,1,,,,1,1.4,,,,0.52312152506700005,3.0
27,,1,,,,2,0.6,,,,0.43454799138899997,0.28863172532800002
28,,1,,,,2,1,,,,0.517247252948,0.23421285130300001
29,,1,,,,2,1.4,,,,0.58169836657200003,1.34831137532
30,,1,,,,3,0.6,,,,0.48378095242200003,0.092076935593899997
31,,1,,,,3,1,,,,0.60589418927399996,0.41161875795000002
32,,1,,,,3,1.4,,,,0.59396365154999997,1.12957593417
33,,1,,,,4,0.6,,,,0.40604392497899999,0.77138604392100008
