,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_s,bf_prelec_gamma,bf_theta
0,,,,,,1,,,0.6,,,,0.76614451414499996,2.21113132061
1,,,,,,1,,,1,,,,0.99259856946400005,1.10529587132
2,,,,,,1,,,1.4,,,,1.1607197034000001,1.21725454227
3,,,,,,2,,,0.6,,,,0.68021476141100001,3.20301904716
4,,,,,,2,,,1,,,,1.0203002078299999,1.9244778504
5,,,,,,2,,,1.4,,,,1.4271145696,2.38734065322
6,,,,,,3,,,0.6,,,,0.58009683791800004,3.35141678417
7,,,,,,3,,,1,,,,1.0150803640499999,3.11942922251
8,,,,,,3,,,1.4,,,,1.4012315169299998,3.01708083513
9,,,,,,4,,,0.6,,,,0.59918542985299994,4.00832967004
10,,,,,,4,,,1,,,,0.99476791249200003,3.82353873876
11,,,,,,4,,,1.4,,,,1.41288393784,4.09849865492
12,,,,,,5,,,0.6,,,,0.60056441847099995,5.0180137169
13,,,,,,5,,,1,,,,1.0078206702500001,5.08064806054
14,,,,,,5,,,1.4,,,,1.3882246029299998,4.92086610871
15,,,,,,7,,,0.6,,,,0.60208825695900003,6.88659093781
16,,,,,,7,,,1,,,,0.99868696490500009,6.86853568102
17,,,,,,7,,,1.4,,,,1.4032424065600002,7.00895955716
18,,,,,,9,,,0.6,,,,0.59690240964700003,9.01091849413
19,,,,,,9,,,1,,,,1.0015624847600002,9.00483682728
20,,,,,,9,,,1.4,,,,1.3984495443399998,8.97313707778
