,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,1,0.6,,,,4.9405265697300003,0.59094175245300007
1,,0,,,,1,1,,,,4.0695313498100001,1.1276630963200001
2,,0,,,,1,1.4,,,,4.1550303184099997,1.4062271433000002
3,,0,,,,2,0.6,,,,1.7287701877599999,0.01
4,,0,,,,2,1,,,,2.1778235645800001,1.21148666715
5,,0,,,,2,1.4,,,,5.2003745867400006,1.1271037901400001
6,,0,,,,3,0.6,,,,2.55531689181,0.01
7,,0,,,,3,1,,,,6.2564462991600003,1.0754880547499999
8,,0,,,,3,1.4,,,,4.6056230071900002,1.36886509722
9,,0,,,,4,0.6,,,,2.2281488143400003,0.01
10,,0,,,,4,1,,,,5.0899111214900001,1.1025910786199999
11,,0,,,,4,1.4,,,,10.0,1.0725521027299998
12,,0,,,,5,0.6,,,,4.7599143559800003,0.010000000003299999
13,,0,,,,5,1,,,,4.2905189348999997,1.0866607337300001
14,,0,,,,5,1.4,,,,8.4162624345400001,1.29222302277
15,,0,,,,7,0.6,,,,2.0146425751499999,0.01
16,,0,,,,7,1,,,,8.5441256127800003,1.05431322468
17,,0,,,,7,1.4,,,,8.9951373754999988,1.6456278345399999
18,,0,,,,9,0.6,,,,2.5553170018599998,0.01
19,,0,,,,9,1,,,,7.9298445418100014,1.0527480281200001
20,,0,,,,9,1.4,,,,10.0,1.3704813746899998
21,,0,,,,15,0.6,,,,2.5553171035299997,0.01
22,,0,,,,15,1,,,,0.231127983807,3.0
23,,0,,,,15,1.4,,,,26.089989943499997,1.29299706254
24,,1,,,,1,0.6,,,,1.69220872299e-16,2.8908499653500002
25,,1,,,,1,1,,,,4.48940720519,1.09066901448
26,,1,,,,1,1.4,,,,3.4344783795700002,1.4607655873199998
27,,1,,,,2,0.6,,,,2.0146419743699999,0.01
28,,1,,,,2,1,,,,2.50100932368,1.2185270243200002
29,,1,,,,2,1.4,,,,7.52881501347,1.7206295252599999
30,,1,,,,3,0.6,,,,1.74600786097,0.01
31,,1,,,,3,1,,,,6.7996307160800002,1.0735998250100001
32,,1,,,,3,1.4,,,,10.0,1.0790337782600001
33,,1,,,,4,0.6,,,,1.54146760773,0.01
34,,1,,,,4,1,,,,6.72897359201,1.0655311485600001
35,,1,,,,4,1.4,,,,4.9748352223900003,1.3972041409600002
36,,1,,,,5,0.6,,,,4.7599143215900002,0.010000000013299998
37,,1,,,,5,1,,,,5.7280793621000008,1.09485837202
38,,1,,,,5,1.4,,,,10.0,1.9754521469899999
39,,1,,,,7,0.6,,,,2.55531717149,0.01
40,,1,,,,7,1,,,,6.4421532953999998,1.0611244907799999
41,,1,,,,7,1.4,,,,10.0,1.0613568312799999
42,,1,,,,9,0.6,,,,3.8123262655599999,0.0100000004585
43,,1,,,,9,1,,,,10.0,1.0411663094900001
44,,1,,,,9,1.4,,,,10.0,2.25885428042
45,,1,,,,15,0.6,,,,4.7599144124999997,0.01
46,,1,,,,15,1,,,,13.422307546600001,1.0285423918200001
47,,1,,,,15,1.4,,,,19.308283539200001,1.5237691030399998
48,,2,,,,1,0.6,,,,1.6253904367800001,0.01
49,,2,,,,1,1,,,,5.3580107730400002,1.0830298771
50,,2,,,,1,1.4,,,,2.49321973705,1.28701600029
51,,2,,,,2,0.6,,,,1.8625162455000002,0.01
52,,2,,,,2,1,,,,4.7168649879600002,1.1057204360700001
53,,2,,,,2,1.4,,,,4.7930203307300001,1.23087959261
54,,2,,,,3,0.6,,,,2.2281482506799999,0.01
55,,2,,,,3,1,,,,3.5113461850499998,1.1458011021899999
56,,2,,,,3,1.4,,,,6.8002072585800004,1.3080601079500001
57,,2,,,,4,0.6,,,,2.55530698412,0.0100000000001
58,,2,,,,4,1,,,,6.2564463948399993,1.0754880546600001
59,,2,,,,4,1.4,,,,10.0,1.0733322991700001
60,,2,,,,5,0.6,,,,3.0746060502299999,0.01
61,,2,,,,5,1,,,,6.7742602028199999,1.0689342172
62,,2,,,,5,1.4,,,,6.6776744421699998,1.5858860248700002
63,,2,,,,7,0.6,,,,2.0146455061400004,0.01
64,,2,,,,7,1,,,,5.9383718229400007,1.0518626366600001
65,,2,,,,7,1.4,,,,9.8695814538200004,1.7580380586099997
66,,2,,,,9,0.6,,,,3.0746119199400002,0.010000000000299998
67,,2,,,,9,1,,,,9.9999999999699991,1.05696269296
68,,2,,,,9,1.4,,,,10.0,1.7525936929400003
69,,2,,,,15,0.6,,,,6.0283916859800009,0.010000000006200001
70,,2,,,,15,1,,,,14.0937135473,1.03608890311
71,,2,,,,15,1.4,,,,24.4884874446,1.38893620959
72,,3,,,,1,0.6,,,,5.86040834785e-16,1.7036523940999999
73,,3,,,,1,1,,,,3.1566503901999998,1.1673564053100001
74,,3,,,,1,1.4,,,,4.6859204936900003,1.1158308963400001
75,,3,,,,2,0.6,,,,0.0888512505742,0.010000000136499999
76,,3,,,,2,1,,,,2.2694188199499998,1.1970040886700002
77,,3,,,,2,1.4,,,,4.1120811075299999,1.18401050482
78,,3,,,,3,0.6,,,,1.57330990095,0.01
79,,3,,,,3,1,,,,5.1013250263499996,1.0800758439899998
80,,3,,,,3,1.4,,,,5.7539283983800003,1.5722085451299999
81,,3,,,,4,0.6,,,,1.57328351039,0.01
82,,3,,,,4,1,,,,4.8432353504699996,1.0902929881299999
83,,3,,,,4,1.4,,,,9.869581221619999,1.75803808865
84,,3,,,,5,0.6,,,,2.22814835457,0.01
85,,3,,,,5,1,,,,5.0734813384800006,1.0760290564399999
86,,3,,,,5,1.4,,,,10.0,1.7505613799200002
87,,3,,,,7,0.6,,,,2.5553171003199999,0.01
88,,3,,,,7,1,,,,5.9765563565199997,1.06604175888
89,,3,,,,7,1.4,,,,10.0,1.9789827082
90,,3,,,,9,0.6,,,,4.75991437356,0.0100000000029
91,,3,,,,9,1,,,,9.8035413778899994,1.0415222624299998
92,,3,,,,9,1.4,,,,10.0,2.3693945193500001
93,,3,,,,15,0.6,,,,4.7599143432400002,0.0100000000002
94,,3,,,,15,1,,,,12.0631004007,1.0304296747600001
95,,3,,,,15,1.4,,,,27.550555603899998,1.2541192160299999
96,,4,,,,1,0.6,,,,0.077670342671700004,0.01
97,,4,,,,1,1,,,,1.27467839988,1.5410368940600001
98,,4,,,,1,1.4,,,,4.5225905319399997,1.1775731438700001
99,,4,,,,2,0.6,,,,8.5567469484700003e-12,2.9138547433499999
100,,4,,,,2,1,,,,2.7375528764300001,1.53767217019
101,,4,,,,2,1.4,,,,3.56998150052,1.3687161915299999
102,,4,,,,3,0.6,,,,2.0146442067299999,0.01
103,,4,,,,3,1,,,,5.1221730858600001,1.0685328145999999
104,,4,,,,3,1.4,,,,6.2608844173699998,1.2064814471800001
105,,4,,,,4,0.6,,,,1.02695629778e-15,1.7684037371300001
106,,4,,,,4,1,,,,6.9478897043300005,1.0812196674099999
107,,4,,,,4,1.4,,,,10.0,1.9701080048800002
108,,4,,,,5,0.6,,,,2.2281492267500003,0.01
109,,4,,,,5,1,,,,8.5826159811100009,1.07639127527
110,,4,,,,5,1.4,,,,8.39324568382,1.2919952058099999
111,,4,,,,7,0.6,,,,2.5553170934200002,0.01
112,,4,,,,7,1,,,,9.6866455817299997,1.0558332973
113,,4,,,,7,1.4,,,,10.0,1.3704786554899999
114,,4,,,,9,0.6,,,,3.8125057402699993,0.01
115,,4,,,,9,1,,,,9.9999999999899991,1.0513502003699999
116,,4,,,,9,1.4,,,,8.4237818410600003,1.2922924756299998
117,,4,,,,15,0.6,,,,4.7599146549500002,0.0100000000695
118,,4,,,,15,1,,,,11.934928710299999,1.03493844112
119,,4,,,,15,1.4,,,,19.7838381979,1.4403821021200001
120,,5,,,,1,0.6,,,,1.7287915754099998,0.01
121,,5,,,,1,1,,,,2.4948284801299998,1.2157919019900001
122,,5,,,,1,1.4,,,,3.7214250484599996,1.1775093080700001
123,,5,,,,2,0.6,,,,2.6784130469099998e-15,2.3867793116400002
124,,5,,,,2,1,,,,3.0253295221799998,1.13667063506
125,,5,,,,2,1.4,,,,3.0538745355099999,1.2994074789000001
126,,5,,,,3,0.6,,,,1.5056882763299999,0.01
127,,5,,,,3,1,,,,3.5796305603099996,1.1077469663299999
