,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,1,0.6,,,,0.20123557808699999,0.01
1,,0,,,,1,1,,,,21.117940837799999,0.56031967665399995
2,,0,,,,1,1.4,,,,30.0,1.7417614401299999
3,,0,,,,2,0.6,,,,0.56718552219499996,0.022516213566999999
4,,0,,,,2,1,,,,29.999719591799998,1.32005814269
5,,0,,,,2,1.4,,,,29.9999917584,1.1018231822799998
6,,0,,,,3,0.6,,,,0.22674169615299999,0.025382396973000002
7,,0,,,,3,1,,,,29.9999999998,1.25093700814
8,,0,,,,3,1.4,,,,30.0,2.4542578694599997
9,,0,,,,4,0.6,,,,30.0,0.43458127554100001
10,,0,,,,4,1,,,,30.0,1.18039580727
11,,0,,,,4,1.4,,,,30.0,2.3593894727000002
12,,0,,,,5,0.6,,,,0.28170921756299999,0.0129165068702
13,,0,,,,5,1,,,,30.0,1.12239119165
14,,0,,,,5,1.4,,,,30.0,2.3818424754300001
15,,0,,,,7,0.6,,,,30.0,0.45381003382700003
16,,0,,,,7,1,,,,30.0,1.3907348352899997
17,,0,,,,7,1.4,,,,30.0,2.3790996503400001
18,,0,,,,9,0.6,,,,0.47333302812899997,0.01
19,,0,,,,9,1,,,,22.970774406599997,1.13721508721
20,,0,,,,9,1.4,,,,30.0,2.66880792651
21,,0,,,,15,0.6,,,,0.84594003535500006,0.037584092
22,,0,,,,15,1,,,,17.656848958599998,1.1652160279100001
23,,0,,,,15,1.4,,,,30.0,2.6748135777400002
24,,1,,,,1,0.6,,,,0.36284492039399996,0.01
25,,1,,,,1,1,,,,20.2321721197,0.44361777938899999
26,,1,,,,1,1.4,,,,30.0,1.74176118645
27,,1,,,,2,0.6,,,,29.999995768000002,0.30339103034299997
28,,1,,,,2,1,,,,30.0,0.95386555668500006
29,,1,,,,2,1.4,,,,29.999999981999999,1.3594493545399999
30,,1,,,,3,0.6,,,,29.999996619499999,0.0186557003195
31,,1,,,,3,1,,,,9.5315761778399999,1.48611590032
32,,1,,,,3,1.4,,,,17.136448326,3.0
33,,1,,,,4,0.6,,,,30.0,0.36153277729
34,,1,,,,4,1,,,,29.999999999899998,1.3423974380399999
35,,1,,,,4,1.4,,,,30.0,2.6563164116999998
36,,1,,,,5,0.6,,,,0.40970317534,0.01
37,,1,,,,5,1,,,,30.0,1.20819919842
38,,1,,,,5,1.4,,,,30.0,2.1693981030500002
39,,1,,,,7,0.6,,,,0.28334465635700001,0.01
40,,1,,,,7,1,,,,30.0,1.2728167821
41,,1,,,,7,1.4,,,,30.0,2.6763195084799998
42,,1,,,,9,0.6,,,,0.28687971959300002,0.040820853896999999
43,,1,,,,9,1,,,,30.0,1.25552800261
44,,1,,,,9,1.4,,,,30.0,1.9255944649900001
45,,1,,,,15,0.6,,,,0.311650031459,0.01
46,,1,,,,15,1,,,,30.0,1.0777843566399998
47,,1,,,,15,1.4,,,,30.0,2.1372793860699999
48,,2,,,,1,0.6,,,,0.27765835025199997,0.01
49,,2,,,,1,1,,,,19.905096456900001,0.166950879085
50,,2,,,,1,1.4,,,,19.113076151400001,0.034920796429699995
51,,2,,,,2,0.6,,,,0.33759955103100003,0.01
52,,2,,,,2,1,,,,29.999999964600001,1.16710245571
53,,2,,,,2,1.4,,,,29.999999999899998,1.70065419164
54,,2,,,,3,0.6,,,,0.446860270916,0.01
55,,2,,,,3,1,,,,30.0,1.89122245352
56,,2,,,,3,1.4,,,,20.313169011999999,3.0
57,,2,,,,4,0.6,,,,29.9999851388,0.026566375737299999
58,,2,,,,4,1,,,,29.999999999499998,1.3021023443399999
59,,2,,,,4,1.4,,,,30.0,1.9558811700999998
60,,2,,,,5,0.6,,,,30.0,0.40064758924599997
61,,2,,,,5,1,,,,30.0,1.1808405105199999
62,,2,,,,5,1.4,,,,30.0,2.1066652215800001
63,,2,,,,7,0.6,,,,30.0,0.42427449769299996
64,,2,,,,7,1,,,,29.9999999988,1.10054601335
65,,2,,,,7,1.4,,,,30.0,2.4478046051
66,,2,,,,9,0.6,,,,30.0,0.42445597626800002
67,,2,,,,9,1,,,,30.0,1.16935232252
68,,2,,,,9,1.4,,,,30.0,2.6819650559200001
69,,2,,,,15,0.6,,,,30.0,0.46365292805799996
70,,2,,,,15,1,,,,30.0,1.07198074104
71,,2,,,,15,1.4,,,,30.0,2.6788856020599998
72,,3,,,,1,0.6,,,,0.46480793040599999,0.01
73,,3,,,,1,1,,,,22.968182545300003,0.82763892695099994
74,,3,,,,1,1.4,,,,29.995041494899997,1.0060848007600001
75,,3,,,,2,0.6,,,,0.58056552581400001,0.01
76,,3,,,,2,1,,,,30.0,1.8784091235
77,,3,,,,2,1.4,,,,29.999999995300001,2.9999999969800002
78,,3,,,,3,0.6,,,,0.246585029984,0.015894387835600002
79,,3,,,,3,1,,,,25.4133420163,1.7133401159299999
80,,3,,,,3,1.4,,,,6.2187038227000002,3.0
81,,3,,,,4,0.6,,,,0.56414359674400005,0.037197001762300001
82,,3,,,,4,1,,,,30.0,1.2829043410500001
83,,3,,,,4,1.4,,,,30.0,2.6158246265000002
84,,3,,,,5,0.6,,,,0.66840247882600001,0.023401505708700001
85,,3,,,,5,1,,,,30.0,1.18492643025
86,,3,,,,5,1.4,,,,29.9999999946,2.99999999981
87,,3,,,,7,0.6,,,,0.36172786407099999,0.032216830588100001
88,,3,,,,7,1,,,,30.0,1.0958862384100001
89,,3,,,,7,1.4,,,,30.0,1.9945273816799998
90,,3,,,,9,0.6,,,,30.0,0.44292457197899998
91,,3,,,,9,1,,,,30.0,1.1594573602399998
92,,3,,,,9,1.4,,,,30.0,2.04861976198
93,,3,,,,15,0.6,,,,30.0,0.45608161633599997
94,,3,,,,15,1,,,,30.0,1.1460647688100001
