,problem,iteration,gen_N,gen_cp,gen_ss_mn,gen_theta,gen_prelec_gamma,bf_cp,bf_ss_mn,bf_theta,bf_s,bf_prelec_gamma
0,,0,,,,1,0.6,,,,3.5394861668000002,0.72495546046800008
1,,0,,,,1,1,,,,6.6177957750800003,1.2502711183299999
2,,0,,,,1,1.4,,,,20.0,1.9257722097900001
3,,0,,,,2,0.6,,,,3.9351994908099996,0.69735962203700008
4,,0,,,,2,1,,,,4.2436198541800003,1.1647098955099999
5,,0,,,,2,1.4,,,,20.0,1.9118431888499998
6,,0,,,,3,0.6,,,,4.4395035547300008,0.68182024513799999
7,,0,,,,3,1,,,,3.7559953063699996,1.0850877328200002
8,,0,,,,3,1.4,,,,20.0,1.89867894885
9,,0,,,,4,0.6,,,,5.0477919771699993,0.68059357277400001
10,,0,,,,4,1,,,,3.40734903791,1.0400744830500002
11,,0,,,,4,1.4,,,,20.0,1.2964808976100002
12,,0,,,,5,0.6,,,,8.4993901420500002,0.66338161177900001
13,,0,,,,5,1,,,,4.16790712313,1.0282620757200001
14,,0,,,,5,1.4,,,,20.0,1.29900800095
15,,0,,,,7,0.6,,,,12.510420928499999,0.67456609922599997
16,,0,,,,7,1,,,,9.4189943470100008,1.00342528205
17,,0,,,,7,1.4,,,,20.0,1.3058674079999999
18,,0,,,,9,0.6,,,,6.9568279910199999,0.62641192164899995
19,,0,,,,9,1,,,,11.0617582903,0.984111981596
20,,0,,,,9,1.4,,,,20.0,1.29622554537
21,,0,,,,15,0.6,,,,9.4850772777899994,0.60418748030199998
22,,0,,,,15,1,,,,15.561377588800001,0.99063883370299999
23,,0,,,,15,1.4,,,,30.0,1.3630510178100002
24,,1,,,,1,0.6,,,,3.4584487249900002,0.709795127453
25,,1,,,,1,1,,,,7.3968497623100005,1.2236751569600002
26,,1,,,,1,1.4,,,,20.0,2.1466546930000003
27,,1,,,,2,0.6,,,,4.0874684089399995,0.71695046666500006
28,,1,,,,2,1,,,,3.4882338151999996,1.1540468453799999
29,,1,,,,2,1.4,,,,20.0,1.9375380307700003
30,,1,,,,3,0.6,,,,4.3341077348699999,0.67943545645899994
31,,1,,,,3,1,,,,3.99553067057,1.09990755343
32,,1,,,,3,1.4,,,,20.0,1.3141751962600001
33,,1,,,,4,0.6,,,,5.0826845652500001,0.68682662519500004
34,,1,,,,4,1,,,,3.5581576995499997,1.05322006143
35,,1,,,,4,1.4,,,,20.0,1.4542454365399999
36,,1,,,,5,0.6,,,,5.44150963461,0.64645488702200005
37,,1,,,,5,1,,,,7.2051871814300004,1.02352821165
38,,1,,,,5,1.4,,,,20.0,1.2736676019600002
39,,1,,,,7,0.6,,,,7.9108406114100003,0.66350515023900003
40,,1,,,,7,1,,,,10.7146993517,0.999497274346
41,,1,,,,7,1.4,,,,20.0,1.3177882299799999
42,,1,,,,9,0.6,,,,7.6024716644600012,0.628835357815
43,,1,,,,9,1,,,,11.0351672473,0.98733673387999998
44,,1,,,,9,1.4,,,,20.0,1.2996147090200001
45,,1,,,,15,0.6,,,,1.21774278612e-16,2.2916457710599998
46,,1,,,,15,1,,,,17.660844985200001,0.99801756028799993
47,,1,,,,15,1.4,,,,29.125141109099999,1.2914996222700001
48,,2,,,,1,0.6,,,,3.5966175508099996,0.72187514966400002
49,,2,,,,1,1,,,,8.4813118315199993,1.24231678613
50,,2,,,,1,1.4,,,,20.0,1.9617945865900002
51,,2,,,,2,0.6,,,,4.0223565097000007,0.71857729519800007
52,,2,,,,2,1,,,,5.2565407043399999,1.1459227887299999
53,,2,,,,2,1.4,,,,19.999999998900002,1.7703634325299999
54,,2,,,,3,0.6,,,,5.7603831445700004,0.684177766839
55,,2,,,,3,1,,,,4.0795588685300004,1.0863442548200002
56,,2,,,,3,1.4,,,,20.0,1.8970241862299999
57,,2,,,,4,0.6,,,,5.0977215409699994,0.6759577643800001
58,,2,,,,4,1,,,,4.8985474162499996,1.03643360968
59,,2,,,,4,1.4,,,,11.979352626300001,1.8705988755400003
60,,2,,,,5,0.6,,,,1.11467380643e-16,2.1018486160399998
61,,2,,,,5,1,,,,8.3393280617399999,1.0193111258800001
62,,2,,,,5,1.4,,,,20.0,1.2815732127899999
63,,2,,,,7,0.6,,,,7.1697549176600006,0.68220956809099997
64,,2,,,,7,1,,,,5.9407292949999997,1.00528780216
65,,2,,,,7,1.4,,,,20.0,1.2966465274400001
66,,2,,,,9,0.6,,,,8.972025606719999,0.62892395067100004
67,,2,,,,9,1,,,,9.3301175888200003,0.97753410584800005
68,,2,,,,9,1.4,,,,20.0,1.27754488519
69,,2,,,,15,0.6,,,,1.35447209004e-14,1.8606853054199999
70,,2,,,,15,1,,,,15.154366101199999,0.98115196712699992
71,,2,,,,15,1.4,,,,30.0,1.3089330421500001
72,,3,,,,1,0.6,,,,2.9433472493499999,0.69478600382900002
73,,3,,,,1,1,,,,9.1836621477300007,1.2259959164899998
74,,3,,,,1,1.4,,,,20.0,2.1241936341200001
75,,3,,,,2,0.6,,,,3.70445949386,0.70497672014199997
76,,3,,,,2,1,,,,3.3306304727599998,1.1608751241299999
77,,3,,,,2,1.4,,,,20.0,1.9374969559599999
78,,3,,,,3,0.6,,,,4.2107183199999998,0.66890697646099995
79,,3,,,,3,1,,,,3.6731683133999997,1.1175774763500002
80,,3,,,,3,1.4,,,,20.0,1.9129607113299998
81,,3,,,,4,0.6,,,,5.1949180982599996,0.66631742125399995
82,,3,,,,4,1,,,,4.8543364125699995,1.0234516716399999
83,,3,,,,4,1.4,,,,19.9999999994,1.32630414826
84,,3,,,,5,0.6,,,,7.1766983557000001,0.65698483935800001
85,,3,,,,5,1,,,,4.5687618755399999,1.0119918698000001
86,,3,,,,5,1.4,,,,20.0,1.33016573983
87,,3,,,,7,0.6,,,,8.157520085669999,0.66756312922499994
88,,3,,,,7,1,,,,9.849518119239999,0.98466452444499997
89,,3,,,,7,1.4,,,,20.0,1.2890968761299999
90,,3,,,,9,0.6,,,,13.701469232499999,0.66878495837399998
91,,3,,,,9,1,,,,10.624086439899999,0.98805363862299989
92,,3,,,,9,1.4,,,,20.0,1.2914396937799999
93,,3,,,,15,0.6,,,,7.9309919694199991,0.63291203673600005
94,,3,,,,15,1,,,,12.8783595455,1.0088168738600001
95,,3,,,,15,1.4,,,,25.4625919309,1.3201400784100001
96,,4,,,,1,0.6,,,,3.25509386426,0.71669545289699998
97,,4,,,,1,1,,,,8.2713117614100007,1.21156535936
98,,4,,,,1,1.4,,,,20.0,1.9258055892599999
99,,4,,,,2,0.6,,,,3.4618397777399998,0.67133491772800002
100,,4,,,,2,1,,,,2.82602329286,1.19249239028
101,,4,,,,2,1.4,,,,20.0,1.85810941031
102,,4,,,,3,0.6,,,,4.1381191792600003,0.66765059514199998
103,,4,,,,3,1,,,,3.9796329716199996,1.0843885451999999
104,,4,,,,3,1.4,,,,20.0,1.3044389196600001
105,,4,,,,4,0.6,,,,5.4203888398099993,0.67656780153699991
106,,4,,,,4,1,,,,4.1117281333499998,1.0456598271100002
107,,4,,,,4,1.4,,,,20.0,1.31005695434
108,,4,,,,5,0.6,,,,5.1533112428699992,0.65984054418600002
109,,4,,,,5,1,,,,4.9328929952499996,1.01516108097
110,,4,,,,5,1.4,,,,20.0,1.31160669206
111,,4,,,,7,0.6,,,,9.2969950202600007,0.66459893207699994
112,,4,,,,7,1,,,,9.6097422848700003,1.0127328046899999
113,,4,,,,7,1.4,,,,20.0,1.31738597644
