,dataset,stoprule,model,N,k,nllh,bic,p_stop_geom,theta,tau,tau_trunc,c_sigma,prelec_elevation,prelec_gamma
4,HBWE04,geometric,0,150,3,693.57516633,1402.18223854,0.0509540250989,,27.1048616189,,0.386312569895,,
5,HBWE04,geometric,1,150,5,688.565709635,1402.18459574,0.0558501824124,,18.5285719335,,24.18654833,1.22915244685,1.6419477004
0,HBWE04,optional,0,150,3,685.961439766,1386.95478541,,28.3284283077,9.64336320052,,5.91538229908,,
1,HBWE04,optional,1,150,5,679.540453484,1384.13408344,,127.535890797,33.8931791524,,29.4385279363,0.96023754278,2.24755570038
2,HBWE04,optional,2,150,3,692.247153834,1399.52621355,,103.00683108,,58.7323750342,23.631165487,,
3,HBWE04,optional,3,150,5,677.742123378,1380.53742323,,74.9119951844,,44.5939139799,17.2198854198,0.411553481344,2.72936997566
4,HPKH08-1,geometric,0,230,3,966.87558903,1950.06541599,0.0763120695371,,0.101789090081,,2.67252485368,,
5,HPKH08-1,geometric,1,230,5,950.633799836,1928.45799622,0.0742916856684,,4.76146327083,,9.46251561047,2.09171008455,1.48003662529
0,HPKH08-1,optional,0,230,3,968.211371421,1952.73698077,,93.252728193,34.2910383512,,26.6118450088,,
1,HPKH08-1,optional,1,230,5,947.679519055,1922.54943466,,57.1628175331,20.3372163972,,16.8646258359,2.87548104358,1.87276050002
2,HPKH08-1,optional,2,230,3,968.29694472,1952.90812737,,89.3261964981,,67.8682520118,24.7095824171,,
3,HPKH08-1,optional,3,230,5,944.404552151,1915.99950085,,41.7875898031,,55.8953911263,11.2006032693,2.01775895544,0.976579424201
4,HPKH08-2,geometric,0,234,3,1242.96516628,2502.29629592,0.0267637024463,,23.7020888087,,35.6081158951,,
5,HPKH08-2,geometric,1,234,5,1239.22983548,2505.73627654,0.0250960364327,,25.7671018708,,36.4868942033,1.63382028035,0.939720254195
0,HPKH08-2,optional,0,234,3,1238.29072956,2492.94742247,,84.7351447311,21.6536836475,,13.6500232093,,
1,HPKH08-2,optional,1,234,5,1234.35575006,2495.9881057,,90.5719160599,28.257135422,,14.3258991513,1.18457199617,0.883037365819
2,HPKH08-2,optional,2,234,3,1244.17743753,2504.72083841,,122.759322398,,75.761852534,19.2498874762,,
3,HPKH08-2,optional,3,234,5,1237.47401681,2502.22463919,,113.447407495,,58.7929700236,17.9643170018,1.21958841913,1.02356242644
